asset_id,type,expiry_days,usage_hours,priority
191,router,2062,66081,2
192,server,527,73226,1
193,server,2320,54934,2
194,laptop,1139,80630,1
195,iot,219,47211,1
196,router,98,23330,1
197,iot,2088,4374,2
198,iot,1469,68730,2
199,server,1817,77885,1
200,router,427,56460,2
201,laptop,1858,8935,1
202,iot,2439,20245,1
203,server,1719,1473,1
204,server,68,43359,1
205,iot,2302,47377,2
206,iot,1711,2912,1
207,router,2427,52763,3
208,iot,768,9293,2
209,iot,548,29775,3
210,server,2392,33036,1
211,laptop,2711,20898,2
212,router,2679,36169,2
213,router,2808,53681,1
214,laptop,1264,41650,1
215,server,929,24775,2
216,server,2982,89984,1
217,laptop,2931,38604,2
218,iot,551,24227,3
219,server,2973,35175,2
220,iot,2586,74377,1
221,laptop,1763,39094,1
222,iot,545,76389,1
223,server,2393,73555,2
224,laptop,1190,69706,1
225,router,2847,75725,2
226,laptop,756,64650,3
227,laptop,1560,26544,3
228,iot,259,35996,3
229,router,2619,84756,3
230,laptop,1599,85066,3
231,router,191,44574,1
232,router,2282,45955,1
233,server,2611,73541,3
234,laptop,617,19898,2
235,iot,2819,24836,3
236,laptop,1560,49094,1
237,laptop,2577,57991,2
238,server,1784,87076,2
239,laptop,2001,41227,2
240,laptop,1859,45232,3
241,iot,1858,67867,3
242,server,47,58456,2
243,iot,1771,14368,1
244,laptop,1144,56946,2
245,laptop,1248,30859,3
246,router,966,38998,1
247,router,516,31917,2
248,iot,2045,11765,2
249,server,1838,88212,3
250,router,622,34040,1
251,router,325,50630,1
252,server,2305,44241,1
253,router,617,30157,1
254,server,2948,72667,2
255,iot,918,70564,3
256,router,930,1983,1
257,iot,2476,77554,3
258,server,2438,88360,3
259,iot,2344,54300,1
260,laptop,2220,52208,2
261,router,167,35869,1
262,server,2807,1933,3
263,router,1202,8608,2
264,iot,1634,69947,3
265,server,1194,43848,2
266,server,1214,21017,3
267,laptop,2470,84031,3
268,iot,2341,15017,1
269,iot,587,75563,1
270,server,1493,69103,3
271,iot,353,11356,2
272,iot,953,57548,1
273,laptop,2604,37206,2
274,iot,1853,30849,3
275,router,1679,18423,1
276,iot,1861,65234,2
277,server,2886,625,2
278,iot,94,39949,2
279,router,1995,26521,2
280,router,1935,80338,3
281,iot,1307,24481,1
282,laptop,1547,35740,3
283,server,899,6751,3
284,server,1792,39165,2
285,laptop,2460,64133,3
286,router,1979,34980,2
287,router,2403,1410,2
288,iot,1996,41534,3
289,laptop,1519,74637,1
290,router,1827,67584,3
291,laptop,2290,13915,3
292,iot,483,8981,2
293,server,2191,42392,1
294,laptop,2367,33289,3
295,server,525,15576,2
296,laptop,1056,37800,2
297,iot,2713,55837,2
298,iot,2100,2251,1
299,laptop,2965,37183,1
300,router,1155,13585,2
301,iot,546,10246,2
302,router,1636,32002,2
303,laptop,2733,36748,3
304,laptop,291,18090,1
305,server,988,15602,2
306,server,856,43985,1
307,laptop,1456,15415,1
308,iot,1663,50404,3
309,server,648,66370,2
310,iot,1447,2856,1
311,laptop,822,3855,2
312,router,92,55738,2
313,iot,2257,38179,1
314,iot,2872,12178,2
315,router,1623,26280,2
316,iot,1330,1102,2
317,iot,117,1369,1
318,laptop,9,65906,3
319,iot,2896,54097,1
320,iot,485,40394,1
321,router,940,4656,2
322,router,1454,80817,1
323,server,1694,5889,1
324,laptop,740,45820,2
325,router,1381,77639,3
326,iot,2522,74967,1
327,server,484,36970,2
328,laptop,1404,15583,1
329,iot,667,78157,1
330,router,2054,4848,2
331,laptop,644,51192,3
332,iot,2220,49777,3
333,router,801,41664,3
334,router,2577,53715,1
335,iot,532,47607,3
336,router,2944,75760,1
337,router,2250,65693,3
338,server,1245,14464,1
339,laptop,270,88515,1
340,iot,1539,30901,1
341,laptop,249,51761,1
342,router,2854,61723,3
343,server,2453,83788,3
344,iot,1718,22123,3
345,router,1337,71658,1
346,iot,2330,78523,3
347,iot,361,49938,2
348,laptop,2505,58765,3
349,router,2083,22248,2
350,router,1523,22240,1
351,router,1800,52621,3
352,laptop,2037,73196,3
353,server,2538,62941,2
354,router,2500,84524,2
355,server,472,50212,1
356,laptop,1858,87423,3
357,laptop,2657,69309,1
358,router,2634,41436,2
359,laptop,1500,65054,2
360,laptop,2610,43389,3
361,server,157,89027,2
362,iot,201,12666,1
363,laptop,1953,63819,3
364,laptop,2634,22760,2
365,router,1475,89983,3
366,server,2907,82037,3
367,router,974,33374,1
368,iot,368,18396,3
369,server,554,43833,2
370,laptop,1917,65940,1
371,laptop,852,17746,3
372,router,675,49189,2
373,laptop,1232,80301,2
374,iot,2732,46475,3
375,iot,72,11985,2
376,laptop,1668,59449,1
377,router,1768,42096,3
378,iot,1036,72242,1
379,server,398,35977,3
380,laptop,2403,51849,2
381,laptop,2068,81739,3
382,iot,755,17929,2
383,iot,1141,52199,2
384,laptop,1345,24717,1
385,router,706,72317,2
386,laptop,1449,86232,3
387,router,1919,69774,3
388,laptop,2720,63978,3
389,server,598,86357,2
390,iot,2544,63068,1
391,iot,1615,44540,2
392,server,1227,35582,1
393,iot,1756,32425,1
394,iot,2042,3861,2
395,server,1305,66691,2
396,server,2974,17191,1
397,iot,2926,14297,1
398,router,2486,13645,1
399,router,2256,4792,1
400,laptop,306,51805,2
401,server,1794,31387,3
402,router,573,56969,2
403,router,1284,59230,3
404,server,682,26409,2
405,server,213,80825,2
406,router,1034,77331,2
407,router,1556,21191,2
408,router,421,46490,2
409,iot,2776,66596,1
410,server,1734,71204,1
411,iot,2217,88924,2
412,server,1342,69494,3
413,laptop,1745,6347,2
414,server,275,78081,3
415,laptop,387,31989,3
416,iot,1094,70949,3
417,router,2130,46607,2
418,server,776,79987,1
419,server,1415,78599,2
420,router,2982,81466,1
421,iot,994,14751,1
422,laptop,286,84262,3
423,server,266,22951,1
424,router,505,81682,2
425,server,1014,1285,2
426,server,2642,87201,3
427,laptop,2573,84440,1
428,server,2572,31068,3
429,router,2631,1852,1
430,laptop,2379,49182,3
431,iot,2847,62216,2
432,server,852,65180,2
433,laptop,2051,13728,2
434,server,1079,40171,2
435,laptop,744,29178,2
436,server,2623,2067,3
437,server,1344,82043,1
438,server,1587,5737,3
439,iot,150,46979,3
440,router,1141,72371,3
441,server,42,9864,3
442,iot,88,55272,2
443,server,685,80791,1
444,iot,648,30898,2
445,iot,341,62620,3
446,iot,2389,59563,3
447,laptop,1832,16585,3
448,iot,329,4765,2
449,iot,2175,67601,1
450,iot,925,35317,1
451,laptop,434,70688,1
452,router,662,62880,2
453,iot,133,65878,2
454,iot,333,7343,2
455,iot,286,52292,2
456,iot,2305,3499,3
457,router,1218,65721,3
458,server,1763,80403,3
459,router,1786,69011,3
460,router,1372,25362,2
461,server,2996,68257,2
462,server,4,18956,1
463,laptop,1916,36935,2
464,iot,187,50083,2
465,server,477,54115,3
466,router,1182,27056,1
467,router,467,8549,1
468,router,2003,87622,3
469,server,2552,85465,2
470,laptop,862,34557,2
471,server,1267,160,3
472,router,889,73408,2
473,iot,761,73689,2
474,router,888,53636,2
475,iot,2058,87992,1
476,laptop,535,16572,2
477,server,2959,79771,3
478,iot,1848,73319,1
479,iot,353,33799,3
480,router,322,43214,2
481,router,2581,40813,3
482,laptop,2997,69252,1
483,laptop,2932,70427,1
484,router,490,68665,2
485,server,2191,40859,1
486,router,2164,77031,3
487,iot,1508,21553,2
488,laptop,1181,10785,2
489,iot,1942,75719,2
490,router,2934,18030,2
491,iot,2153,65901,2
492,server,1609,39719,2
493,router,2806,12297,2
494,router,1910,20633,1
495,router,2220,79631,1
496,server,1807,87426,2
497,router,2409,5799,3
498,server,648,66308,3
499,server,211,36987,2
500,server,1265,32974,3
501,iot,2736,55664,3
502,iot,227,16810,1
503,laptop,2367,74508,2
504,router,2446,54128,3
505,router,1318,73718,2
506,laptop,414,18404,2
507,laptop,1524,5581,1
508,iot,2083,76405,1
509,router,2462,27048,3
510,router,2990,28334,1
511,laptop,1088,51376,2
512,iot,1297,85140,3
513,server,2822,38738,3
514,iot,840,87088,3
515,laptop,2312,3480,1
516,router,1121,66510,3
517,iot,878,787,3
518,laptop,686,1718,2
519,router,1286,40720,2
520,laptop,980,38010,1
521,server,1000,47850,3
522,laptop,329,43029,1
523,iot,2320,84223,1
524,router,2158,55127,2
525,iot,2568,35075,2
526,server,94,87097,2
527,server,764,72496,1
528,laptop,761,52732,2
529,router,446,6160,1
530,laptop,1541,67091,3
531,iot,1778,55381,3
532,iot,2503,14633,2
533,server,555,8610,2
534,router,254,29276,2
535,server,2996,63860,2
536,iot,160,71573,1
537,router,114,25618,3
538,laptop,2742,61969,1
539,laptop,1056,34625,2
540,server,2441,7797,1
541,server,2230,6025,3
542,iot,1385,53972,1
543,router,2487,65639,3
544,iot,2553,50721,2
545,router,2604,81082,1
546,server,2246,28461,1
547,server,1465,31149,2
548,laptop,1559,13997,1
549,router,1365,43560,3
550,server,701,31806,3
551,iot,2097,6438,1
552,server,1475,49439,2
553,iot,2889,41282,2
554,laptop,1327,23113,3
555,iot,1584,89296,1
556,iot,1944,86160,2
557,router,987,3476,3
558,iot,1285,9415,3
559,server,553,49939,1
560,router,1595,26556,1
561,iot,2015,65597,3
562,router,2416,60421,1
563,server,2654,87252,1
564,server,892,7890,1
565,router,1616,44309,2
566,iot,1739,3438,3
567,router,1656,75195,1
568,server,1597,77689,3
569,router,2224,31584,2
570,iot,2150,49059,1
571,laptop,2335,81973,1
572,iot,2360,39328,3
573,server,1821,54572,3
574,laptop,775,89916,2
575,iot,757,72216,3
576,router,554,42531,1
577,router,1245,5795,2
578,laptop,183,71048,3
579,router,2455,32681,3
580,iot,2117,37255,1
581,laptop,574,27305,1
582,laptop,1094,36216,3
583,router,1459,30291,2
584,router,381,1370,1
585,server,673,62115,2
586,router,2436,60864,1
587,laptop,2833,14436,3
588,router,2737,14600,1
589,iot,994,907,2
590,iot,2771,26683,1
591,router,1104,37121,3
592,router,961,14488,1
593,server,763,3241,2
594,router,2016,47232,1
595,laptop,431,62572,3
596,laptop,2971,9158,3
597,router,2677,54937,2
598,laptop,833,12666,1
599,router,1985,81554,2
600,laptop,540,65717,3
601,iot,1460,33678,3
602,iot,960,79521,1
603,iot,1343,16322,3
604,iot,442,89882,1
605,server,2733,85875,2
606,laptop,773,8824,2
607,iot,1605,68467,1
608,laptop,2909,26909,2
609,server,1439,67153,3
610,router,44,5259,2
611,server,2045,28071,2
612,laptop,842,56267,1
613,iot,814,51060,2
614,laptop,1772,79934,3
615,router,2249,50828,3
616,iot,2436,8433,3
617,router,213,11582,2
618,laptop,334,87149,1
619,iot,2514,50965,3
620,router,2233,86124,1
621,iot,2761,62088,1
622,router,2180,43135,2
623,laptop,93,35144,2
624,iot,1657,64611,1
625,server,1721,85003,2
626,server,2142,61974,3
627,router,625,40346,1
628,server,2973,18948,3
629,router,2781,65751,3
630,server,2734,69327,1
631,server,2071,47985,1
632,server,1539,23078,2
633,server,2845,24466,1
634,server,1266,61135,1
635,laptop,2429,19043,2
636,router,595,63756,3
637,router,1614,29336,1
638,server,2940,73139,2
639,router,872,2378,3
640,router,891,1541,2
641,router,1942,74861,3
642,server,1262,11472,1
643,server,1563,26947,2
644,server,2763,48828,1
645,iot,586,9835,3
646,laptop,1569,14895,3
647,server,2453,84880,1
648,router,2902,53952,1
649,laptop,1523,4729,1
650,laptop,2501,83263,1
651,laptop,1262,20046,2
652,router,573,11501,2
653,laptop,1083,6128,3
654,server,2568,61291,2
655,iot,537,36890,2
656,server,708,4186,2
657,iot,1272,34520,1
658,router,1395,72477,2
659,iot,158,57156,3
660,iot,2655,39136,1
661,laptop,1413,22971,1
662,iot,1756,15515,1
663,laptop,74,40591,2
664,laptop,1424,44102,1
665,laptop,1372,13915,3
666,iot,2649,13588,3
667,iot,223,72750,3
668,router,432,12851,1
669,iot,2680,31155,1
670,iot,1724,89792,1
671,router,1136,54973,1
672,laptop,1486,3392,1
673,router,1606,60106,2
674,router,164,60431,3
675,iot,18,76507,2
676,laptop,2136,7707,3
677,server,1839,13665,3
678,server,1866,8950,3
679,router,581,75946,3
680,router,1357,30079,1
681,server,1382,64402,1
682,server,2581,80923,1
683,server,2526,32082,3
684,iot,909,23226,2
685,router,1894,26881,1
686,iot,2632,55475,3
687,iot,2266,88886,2
688,laptop,1038,55795,3
689,router,2411,1963,1
690,laptop,451,79538,1
691,iot,2208,78314,2
692,router,2428,26859,1
693,server,1549,34793,2
694,server,773,15161,2
695,server,2814,34620,2
696,laptop,195,69088,2
697,iot,1613,57715,2
698,iot,1129,79161,1
699,laptop,2615,30880,3
700,router,1798,77285,2
701,server,600,57801,2
702,laptop,2996,67547,3
703,router,2248,60196,2
704,server,1559,58747,2
705,iot,695,60594,3
706,router,2066,68887,2
707,laptop,1810,87177,1
708,router,2744,72391,3
709,iot,949,29312,2
710,server,428,72686,1
711,laptop,2176,10559,3
712,server,615,40151,1
713,router,52,45813,3
714,server,1160,45790,3
715,iot,1757,43757,1
716,server,2543,81090,2
717,router,2141,84506,3
718,laptop,1328,21090,2
719,router,1152,57268,3
720,router,1629,88882,3
721,iot,2032,70434,3
722,server,40,26200,2
723,laptop,2873,72287,3
724,iot,1711,12408,3
725,server,1831,6344,3
726,iot,74,51419,1
727,laptop,1375,61253,1
728,laptop,2295,25805,3
729,server,1024,36504,3
730,iot,391,79325,3
731,server,2520,51560,3
732,iot,950,11905,3
733,laptop,2734,71734,2
734,router,1405,48604,1
735,server,1041,83444,2
736,server,2526,50479,3
737,iot,2749,6561,1
738,laptop,1678,56817,1
739,router,2833,77591,2
740,iot,1493,76049,2
741,server,1912,46686,2
742,iot,1028,48081,1
743,router,505,64389,2
744,server,2542,47253,3
745,iot,57,84992,2
746,iot,2696,78559,3
747,laptop,1338,1829,1
748,router,2825,52148,3
749,iot,1629,75583,2
750,laptop,976,43156,2
751,server,1990,70056,3
752,router,1212,40980,3
753,router,2278,48655,1
754,laptop,2763,21883,1
755,server,393,62573,3
756,router,314,40218,2
757,laptop,736,68214,2
758,laptop,2670,50341,1
759,laptop,1466,72967,1
760,router,2031,31552,1
761,server,933,81494,3
762,server,321,46165,1
763,iot,1126,74184,3
764,router,1431,32055,1
765,iot,1697,27785,2
766,iot,629,39274,1
767,laptop,57,77233,2
768,router,2181,20980,2
769,server,1283,2363,1
770,laptop,2150,65046,3
771,server,35,65282,3
772,iot,300,28800,2
773,laptop,2520,73071,2
774,iot,2818,87448,1
775,laptop,299,48065,2
776,server,2894,28342,1
777,iot,2471,3890,3
778,server,1698,74975,2
779,router,2371,28330,1
780,router,2505,82759,3
781,server,328,77971,2
782,server,2811,27113,3
783,server,1260,46257,1
784,router,1913,999,1
785,server,937,74860,3
786,router,349,24633,3
787,iot,336,55612,1
788,laptop,2525,67198,1
789,server,159,25919,1
790,laptop,826,56461,2
791,laptop,2442,66365,2
792,router,1018,12854,2
793,laptop,2346,80483,2
794,iot,196,43061,1
795,laptop,1517,46667,1
796,router,2429,27098,3
797,router,2216,63551,2
798,laptop,169,19689,2
799,router,406,18502,1
800,laptop,2355,25587,1
801,laptop,354,62268,3
802,router,465,5989,1
803,laptop,2700,64150,3
804,iot,1567,50348,3
805,router,112,70770,2
806,laptop,2884,28655,2
807,server,273,22689,1
808,laptop,2988,62262,2
809,iot,861,18950,3
810,laptop,2287,23281,2
811,laptop,2029,84857,3
812,iot,2823,78870,1
813,laptop,2861,794,1
814,router,2473,64675,3
815,laptop,688,61340,2
816,server,2538,23252,3
817,iot,1960,44810,3
818,router,2667,3786,3
819,iot,2493,88193,2
820,server,56,87271,2
821,iot,1476,59047,1
822,router,767,29041,1
823,router,2393,18080,1
824,router,360,21535,3
825,iot,1238,62416,2
826,router,2679,82990,3
827,server,2511,30323,2
828,router,1665,43719,2
829,iot,2958,27123,1
830,server,646,42127,1
831,iot,1209,47932,3
832,iot,2029,61453,3
833,router,669,45392,1
834,laptop,225,65020,3
835,router,777,27777,2
836,iot,1532,18941,1
837,laptop,2358,31307,3
838,laptop,409,20899,1
839,iot,873,16085,3
840,server,2281,59479,2
841,laptop,1191,5061,1
842,server,877,35009,1
843,server,126,28599,3
844,iot,506,63031,2
845,iot,58,40569,3
846,server,2544,35955,3
847,laptop,190,80493,1
848,laptop,2692,69410,2
849,router,768,76140,2
850,laptop,2056,10896,3
851,laptop,705,68741,2
852,router,381,4877,1
853,laptop,2122,83282,2
854,laptop,640,74018,2
855,laptop,555,80438,1
856,iot,2928,45400,1
857,laptop,552,66779,1
858,router,1218,52201,1
859,iot,322,50354,1
860,iot,697,86081,2
861,server,817,42909,2
862,iot,842,16401,3
863,laptop,2500,47422,3
864,router,2726,89538,2
865,laptop,1123,46281,3
866,router,299,27744,1
867,laptop,2933,10044,3
868,iot,526,61991,2
869,laptop,2396,76624,2
870,laptop,2937,35203,2
871,laptop,945,81957,1
872,router,416,8034,2
873,laptop,464,61562,3
874,iot,1493,63525,1
875,laptop,2082,52084,1
876,laptop,2984,49652,3
877,iot,1350,35975,2
878,laptop,2521,74978,1
879,laptop,559,82992,3
880,router,1972,17631,3
881,router,278,85925,3
882,iot,2533,55840,1
883,iot,60,7191,2
884,laptop,2724,74402,1
885,server,1066,69135,3
886,router,1397,58401,3
887,laptop,350,89604,2
888,iot,1722,69852,3
889,server,1313,85449,1
890,iot,115,64752,3
891,server,1947,22886,1
892,router,2106,49387,1
893,laptop,2848,34228,2
894,iot,2374,61616,2
895,laptop,2741,54299,3
896,laptop,1222,63569,1
897,laptop,1588,87421,2
898,router,336,84985,3
899,laptop,2686,87683,1
900,server,2857,77940,2
901,server,643,84869,2
902,laptop,1470,22540,3
903,laptop,2775,68746,2
904,router,1717,11956,3
905,laptop,2395,27979,3
906,iot,1054,12480,1
907,router,2100,8573,3
908,laptop,514,78844,2
909,laptop,1189,76794,1
910,router,713,41352,1
911,server,1022,82520,2
912,router,1903,13838,2
913,server,1178,49064,1
914,iot,1180,35090,2
915,server,1619,52925,1
916,iot,1370,66357,3
917,laptop,1303,66989,2
918,router,166,3139,2
919,iot,1382,71737,2
920,iot,2022,41475,2
921,server,2058,84576,3
922,laptop,849,75576,3
923,server,2075,47642,1
924,router,2063,18411,2
925,laptop,1405,58193,2
926,laptop,1176,21441,2
927,router,898,6845,1
928,router,2999,35189,1
929,iot,2700,2328,1
930,laptop,2480,18287,2
931,laptop,2502,34297,3
932,router,1709,27473,2
933,iot,1914,19655,3
934,server,689,47353,3
935,server,1580,26199,1
936,router,674,52696,1
937,laptop,211,22035,1
938,router,638,88186,2
939,laptop,2165,29696,3
940,router,1589,47198,1
941,router,1692,72794,2
942,router,736,41345,2
943,iot,259,86629,2
944,server,2242,49606,2
945,laptop,634,87487,3
946,router,2069,52205,1
947,server,871,62294,3
948,server,249,62365,2
949,server,2151,83478,3
950,server,938,69910,1
951,iot,940,21721,1
952,laptop,2419,38497,3
953,router,1932,50859,2
954,iot,263,20295,3
955,server,386,24084,3
956,laptop,1089,63210,1
957,router,638,71283,3
958,server,116,64202,1
959,iot,1538,74294,3
960,iot,329,82667,2
961,iot,1857,83295,1
962,iot,1541,41114,1
963,laptop,1701,64836,3
964,iot,2316,60214,1
965,iot,2088,62237,2
966,iot,648,83533,2
967,router,1052,73541,1
968,laptop,909,17070,3
969,server,1802,51218,3
970,laptop,2094,62328,1
971,laptop,1699,2071,3
972,server,687,65977,1
973,router,31,24051,3
974,router,947,75138,3
975,iot,1460,40619,1
976,laptop,233,46119,2
977,iot,367,27369,1
978,server,1090,33053,3
979,router,222,83201,1
980,server,2468,1628,2
981,iot,2702,19262,1
982,router,2663,33492,3
983,server,1215,26228,2
984,iot,971,74644,2
985,iot,922,33053,1
986,router,2788,50290,1
987,server,2638,56501,2
988,router,1587,85106,2
989,router,1901,5094,2
990,server,1379,78962,1
991,server,1567,22454,2
992,laptop,300,68801,1
993,laptop,924,63618,1
994,laptop,1324,82089,2
995,iot,568,66849,1
996,router,2166,86083,3
997,router,2681,47979,1
998,iot,2198,44917,2
999,laptop,606,75014,1
1000,iot,125,47330,3
1001,iot,801,4201,2
1002,laptop,1499,45712,1
1003,iot,257,30952,1
1004,laptop,856,61344,2
1005,iot,1488,435,3
1006,server,2636,87198,1
1007,iot,1772,61603,2
1008,router,1650,74271,2
1009,server,943,55251,2
1010,server,1044,75156,3
1011,server,1992,56490,3
1012,router,1669,83791,3
1013,laptop,2164,61971,3
1014,laptop,2605,46197,3
1015,server,2700,63317,1
1016,iot,1814,61466,2
1017,router,2281,72371,3
1018,iot,2238,75194,2
1019,server,2376,70663,1
1020,server,744,71584,2
1021,router,284,70266,2
1022,server,126,60176,2
1023,iot,2127,85835,2
1024,laptop,1847,56232,3
1025,router,1236,3746,2
1026,router,2386,76012,2
1027,iot,1861,20258,2
1028,iot,1790,1041,3
1029,iot,1142,18888,3
1030,laptop,1402,81275,3
1031,iot,2255,35773,2
1032,iot,174,72464,2
1033,laptop,1548,29576,1
1034,laptop,1827,73125,1
1035,server,1976,43645,3
1036,iot,2993,81327,3
1037,server,1480,74652,2
1038,server,2782,79726,2
1039,laptop,1670,14261,2
1040,iot,1853,710,3
1041,iot,2224,33412,3
1042,router,2342,85127,1
1043,iot,1108,61398,3
1044,router,970,45767,1
1045,iot,970,64886,1
1046,laptop,1473,22687,2
1047,router,164,54051,1
1048,iot,1120,65535,1
1049,iot,2159,88744,2
1050,server,72,34004,2
1051,iot,1998,42713,2
1052,iot,2481,6074,3
1053,server,1766,32933,3
1054,server,1348,24388,1
1055,router,2418,79747,3
1056,server,2420,1219,2
1057,router,1916,89353,3
1058,server,440,40312,2
1059,router,2744,46967,1
1060,laptop,1115,16370,2
1061,router,49,46383,2
1062,iot,718,5487,2
1063,laptop,1044,64594,2
1064,router,2057,24229,3
1065,laptop,112,31215,2
1066,iot,137,47661,1
1067,iot,147,33636,1
1068,laptop,366,7804,2
1069,laptop,1946,68354,1
1070,server,32,55437,3
1071,server,2701,83009,3
1072,server,2144,31016,3
1073,laptop,2026,37185,3
1074,router,195,2239,1
1075,router,2502,6152,3
1076,laptop,2291,37220,2
1077,server,321,22461,3
1078,iot,613,50203,1
1079,router,538,38098,1
1080,server,2614,73337,2
1081,router,179,12284,1
1082,iot,2167,51790,1
1083,iot,1382,76221,1
1084,router,1371,55042,2
1085,router,1271,60609,2
1086,iot,469,36806,1
1087,laptop,1720,35479,1
1088,iot,2509,63985,3
1089,server,2462,18010,3
1090,server,2927,76963,1
1091,laptop,737,52314,2
1092,server,2154,69252,1
1093,laptop,2904,1498,2
1094,laptop,2783,59164,3
1095,router,2002,5295,2
1096,iot,1765,16246,3
1097,router,1669,29221,3
1098,laptop,470,34934,1
1099,router,1357,50416,1
1100,router,584,28902,3
1101,router,2608,7278,3
1102,iot,1536,30041,1
1103,server,2839,39035,2
1104,laptop,1772,4216,1
1105,server,786,53663,1
1106,server,194,44322,1
1107,iot,192,9309,3
1108,iot,2940,80780,2
1109,laptop,1878,43544,3
1110,iot,679,60661,3
1111,iot,1756,78467,2
1112,iot,2542,47270,3
1113,iot,1092,60336,2
