product_id,warehouse,stock,category,priority
636,13,512,medicine,2
637,8,56,tech,2
638,7,102,food,2
639,35,569,food,2
640,6,308,food,3
641,28,195,tech,1
642,6,661,tech,3
643,6,847,food,2
644,46,530,food,1
645,47,610,food,1
646,37,830,food,1
647,45,270,medicine,1
648,54,545,tech,3
649,16,851,tech,2
650,28,488,tech,1
651,24,220,medicine,2
652,33,156,tech,1
653,50,2,medicine,1
654,33,42,food,3
655,19,585,food,3
656,56,180,food,3
657,56,154,medicine,2
658,27,496,medicine,2
659,35,23,tech,1
660,1,412,medicine,1
661,47,676,medicine,3
662,57,92,tech,2
663,57,244,tech,3
664,52,255,medicine,2
665,7,258,food,2
666,35,44,food,3
667,58,295,food,1
668,41,303,medicine,3
669,14,343,tech,2
670,50,326,medicine,1
671,5,129,tech,3
672,15,137,medicine,2
673,3,649,medicine,2
674,22,64,medicine,1
675,4,483,food,1
676,35,280,food,2
677,1,888,medicine,3
678,39,301,tech,3
679,30,236,medicine,1
680,21,223,food,3
681,12,518,tech,2
682,8,729,food,2
683,28,748,food,2
684,17,593,food,3
685,1,800,medicine,1
686,51,223,tech,3
687,50,622,tech,2
688,40,243,medicine,2
689,27,267,food,1
690,12,430,tech,2
691,19,321,tech,1
692,12,567,food,2
693,10,125,food,3
694,22,673,food,2
695,18,404,tech,3
696,48,210,medicine,1
697,58,104,food,2
698,14,315,food,2
699,10,682,tech,3
700,35,340,medicine,3
701,39,608,tech,1
702,31,427,food,1
703,13,419,medicine,1
704,51,876,tech,3
705,28,584,medicine,1
706,55,737,food,1
707,53,333,tech,3
708,27,777,medicine,2
709,41,891,tech,1
710,34,666,medicine,1
711,38,319,food,3
712,31,180,medicine,2
713,52,322,tech,1
714,11,805,tech,2
715,39,397,food,2
716,27,781,medicine,1
717,50,155,food,1
718,49,97,medicine,1
719,57,710,medicine,1
720,26,118,food,1
721,47,331,medicine,2
722,38,239,medicine,2
723,30,857,medicine,2
724,14,825,tech,1
725,49,442,tech,3
726,40,56,medicine,1
727,17,403,medicine,1
728,33,341,tech,3
729,4,89,tech,1
730,42,762,tech,1
731,55,460,medicine,1
732,18,269,medicine,3
733,42,863,food,1
734,5,858,food,1
735,36,328,medicine,2
736,27,99,medicine,1
737,1,210,tech,1
738,26,186,food,3
739,58,571,medicine,1
740,46,318,medicine,1
741,56,599,medicine,3
742,5,173,food,1
743,49,646,food,3
744,41,317,tech,3
745,9,315,food,2
746,56,727,medicine,2
747,40,618,food,2
748,52,702,tech,1
749,14,786,medicine,3
750,57,33,medicine,3
751,48,276,tech,1
752,54,517,medicine,2
753,11,811,medicine,3
754,47,613,medicine,2
755,57,878,tech,1
756,25,396,tech,1
757,3,472,medicine,1
758,31,702,tech,3
759,30,886,tech,3
760,5,455,food,3
761,12,355,tech,3
762,11,881,tech,1
763,38,218,medicine,1
764,41,270,medicine,3
765,38,213,tech,3
766,10,545,tech,1
767,18,770,tech,2
768,37,690,food,2
769,39,358,food,2
770,28,593,medicine,3
771,3,715,food,1
772,48,286,tech,1
773,58,575,tech,3
774,50,54,tech,2
775,24,26,tech,1
776,23,850,medicine,3
777,22,466,tech,1
778,54,184,medicine,1
779,35,82,tech,2
780,5,395,medicine,1
781,27,622,food,1
782,51,338,food,3
783,3,819,medicine,1
784,19,777,tech,3
785,10,277,food,3
786,37,499,food,2
787,8,758,tech,2
788,31,774,tech,2
789,13,764,tech,1
790,5,517,tech,2
791,15,633,tech,2
792,7,699,medicine,1
793,50,852,medicine,2
794,17,371,food,3
795,32,786,food,3
796,49,848,medicine,2
797,42,43,food,3
798,36,660,food,3
799,59,114,medicine,2
800,49,532,tech,3
801,48,894,medicine,3
802,47,585,medicine,2
803,16,379,food,2
804,57,484,food,2
805,42,820,tech,2
806,11,696,medicine,1
807,35,269,medicine,2
808,32,505,medicine,3
809,10,391,medicine,1
810,6,270,tech,1
811,37,85,tech,2
812,59,761,medicine,1
813,10,582,tech,3
814,41,169,food,1
815,42,585,medicine,3
816,24,432,tech,2
817,1,627,tech,1
818,25,844,food,1
819,21,772,food,1
820,5,339,medicine,3
821,54,788,tech,2
822,10,717,tech,3
823,20,697,tech,1
824,29,353,medicine,3
825,1,604,tech,3
826,58,85,medicine,2
827,42,279,food,3
828,23,795,medicine,2
829,21,69,tech,1
830,36,729,medicine,3
831,50,328,medicine,2
832,19,602,medicine,3
833,29,242,medicine,2
834,17,642,medicine,3
835,5,329,food,1
836,15,387,medicine,3
837,52,770,food,1
838,24,501,tech,1
839,49,87,medicine,1
840,13,590,food,3
841,2,205,medicine,2
842,42,247,food,1
843,20,681,tech,3
844,56,708,medicine,2
845,29,609,tech,1
846,10,567,tech,1
847,41,825,medicine,3
848,24,46,medicine,2
849,25,885,medicine,3
850,19,44,tech,2
851,9,733,tech,1
852,31,781,tech,2
853,17,515,medicine,1
854,41,821,medicine,2
855,51,488,food,3
856,7,143,medicine,1
857,26,39,medicine,3
858,9,200,medicine,3
859,23,186,food,3
860,55,862,food,1
861,6,114,tech,1
862,38,538,medicine,3
863,57,85,food,2
864,3,162,tech,1
865,34,157,medicine,3
866,38,837,medicine,2
867,44,821,medicine,3
868,50,235,food,2
869,47,64,tech,3
870,42,664,tech,1
871,14,332,food,2
872,23,70,food,3
873,18,798,tech,3
874,1,662,tech,1
875,29,21,medicine,1
876,41,594,medicine,2
877,59,655,tech,3
878,20,332,food,3
879,21,625,medicine,2
880,20,800,tech,3
881,17,851,medicine,1
882,59,483,medicine,1
883,7,584,medicine,3
884,51,73,tech,2
885,57,333,tech,3
886,26,879,food,2
887,7,800,medicine,2
888,23,862,food,1
889,13,1,tech,3
890,50,145,food,3
891,55,204,medicine,2
892,3,193,food,1
893,18,727,food,3
894,53,501,food,1
895,45,147,tech,1
896,41,144,medicine,3
897,47,522,food,2
898,50,275,medicine,3
899,2,620,tech,3
900,27,31,tech,2
901,43,20,medicine,2
902,58,664,tech,2
903,36,143,food,1
904,36,316,tech,1
905,10,799,food,1
906,40,82,food,2
907,1,787,medicine,1
908,22,99,medicine,3
909,10,790,tech,1
910,14,855,food,1
911,8,617,medicine,2
912,52,782,tech,2
913,33,751,food,3
914,31,256,medicine,3
915,52,687,tech,2
916,33,888,food,3
917,20,751,medicine,3
918,36,711,medicine,3
919,8,608,food,3
920,19,261,medicine,2
921,22,733,medicine,3
922,19,840,food,3
923,36,529,medicine,3
924,43,326,medicine,1
925,39,372,medicine,2
926,30,65,food,2
927,39,862,medicine,1
928,45,270,tech,2
929,33,871,food,3
930,12,153,tech,2
931,4,87,food,2
932,58,242,medicine,1
933,42,66,tech,3
934,11,385,medicine,1
935,35,686,medicine,1
936,18,471,food,3
937,18,827,food,3
938,29,891,tech,1
939,37,584,tech,3
940,45,778,medicine,1
941,39,384,medicine,3
942,16,346,food,2
943,48,190,medicine,3
944,55,439,tech,1
945,41,693,medicine,1
946,31,60,food,1
947,14,868,food,3
948,34,767,medicine,1
949,42,350,tech,3
950,15,449,tech,1
951,22,196,medicine,3
952,58,693,food,1
953,13,419,tech,2
954,43,816,food,3
955,37,304,medicine,1
956,37,451,food,3
957,52,785,tech,2
958,6,402,tech,2
959,17,349,medicine,3
960,26,233,tech,1
961,15,648,medicine,3
962,3,882,medicine,3
963,37,405,tech,1
964,13,665,medicine,2
965,5,185,food,1
966,35,220,medicine,1
967,54,508,food,2
968,5,898,medicine,1
969,47,181,medicine,2
970,34,443,medicine,3
971,23,814,food,1
972,27,734,tech,2
973,53,698,medicine,2
974,31,21,food,3
975,58,817,medicine,3
976,2,166,medicine,1
977,39,101,medicine,1
978,48,763,food,3
979,7,767,food,2
980,50,869,medicine,3
981,46,44,medicine,1
982,17,489,tech,3
983,30,689,tech,1
984,56,423,food,3
985,7,33,medicine,2
986,51,528,medicine,1
987,10,540,food,3
988,39,34,medicine,2
989,47,427,medicine,2
990,1,225,tech,2
991,11,635,medicine,1
992,27,338,medicine,1
993,36,671,food,2
994,49,771,medicine,1
995,6,542,food,2
996,17,119,medicine,3
997,25,235,medicine,2
998,16,578,tech,2
999,46,488,medicine,1
1000,2,615,tech,1
1001,4,171,medicine,2
1002,6,6,tech,1
1003,47,333,medicine,3
1004,57,704,medicine,3
1005,25,198,tech,2
1006,31,753,medicine,3
1007,3,858,tech,2
1008,22,345,food,1
1009,52,464,medicine,2
1010,54,140,food,3
1011,6,121,food,1
1012,53,521,tech,1
1013,39,134,food,1
1014,53,668,tech,1
1015,2,17,medicine,1
1016,53,762,medicine,1
1017,15,622,food,2
1018,22,748,medicine,1
1019,56,673,medicine,3
1020,38,667,tech,3
1021,58,871,food,2
1022,3,98,food,2
1023,13,890,medicine,3
1024,47,173,medicine,1
1025,39,464,tech,2
1026,59,854,medicine,1
1027,7,604,tech,1
1028,6,541,tech,3
1029,55,563,medicine,1
1030,34,457,food,2
1031,44,874,medicine,3
1032,31,661,food,3
1033,43,418,food,1
1034,33,852,medicine,2
1035,2,562,medicine,2
1036,20,121,food,2
1037,51,679,medicine,1
1038,24,555,food,1
1039,8,267,tech,1
1040,10,493,tech,2
1041,10,40,tech,2
1042,45,386,medicine,3
1043,59,294,medicine,1
1044,44,616,food,1
1045,46,321,food,3
1046,56,755,food,1
1047,3,769,food,2
1048,24,543,food,1
1049,41,697,medicine,1
1050,55,770,medicine,2
1051,50,255,tech,3
1052,44,301,tech,3
1053,39,41,tech,2
1054,15,766,food,2
1055,11,171,medicine,2
1056,54,864,medicine,1
1057,56,730,tech,2
1058,21,693,medicine,3
1059,12,830,food,2
1060,40,498,medicine,1
1061,15,598,medicine,3
1062,16,151,medicine,1
1063,15,331,tech,2
1064,7,680,medicine,2
1065,1,148,food,3
1066,21,546,food,3
1067,55,295,medicine,3
1068,58,486,food,3
1069,33,87,medicine,2
1070,59,269,tech,3
1071,47,625,food,2
1072,6,674,medicine,3
1073,8,490,medicine,2
1074,46,156,food,3
1075,21,260,food,3
1076,8,701,food,3
1077,47,889,food,1
1078,31,538,food,2
1079,45,607,food,1
1080,24,600,food,1
1081,42,630,food,2
1082,32,129,medicine,2
1083,51,339,food,1
1084,13,235,medicine,3
1085,49,239,tech,1
1086,40,209,tech,1
1087,2,322,medicine,3
1088,25,574,food,1
1089,37,772,medicine,2
1090,51,705,medicine,1
1091,26,281,medicine,3
1092,1,60,tech,3
1093,45,613,food,1
1094,43,591,tech,2
1095,56,157,food,2
1096,2,115,medicine,1
1097,42,788,tech,2
1098,1,96,food,1
1099,27,641,food,1
1100,18,235,food,2
1101,40,756,food,3
1102,44,118,food,3
1103,56,16,food,3
1104,21,452,medicine,1
1105,43,161,tech,3
1106,42,540,tech,1
1107,16,592,medicine,2
1108,47,270,medicine,2
1109,1,639,tech,3
1110,40,3,food,2
1111,27,547,tech,2
1112,33,804,medicine,2
1113,14,625,food,1
1114,48,187,food,3
1115,33,519,medicine,1
1116,48,337,medicine,1
1117,24,594,food,3
1118,10,585,medicine,2
1119,24,256,medicine,2
1120,44,275,tech,1
1121,51,198,tech,3
1122,23,795,medicine,1
1123,44,518,tech,2
1124,47,311,tech,1
1125,48,205,food,2
1126,59,558,food,2
1127,38,143,medicine,3
1128,2,818,tech,3
1129,24,823,tech,1
1130,48,372,tech,1
1131,20,133,tech,1
1132,12,78,medicine,3
1133,31,71,food,3
1134,13,157,medicine,1
1135,6,779,tech,3
1136,28,295,food,1
1137,5,692,tech,2
1138,15,18,tech,1
1139,7,79,tech,2
1140,15,772,medicine,3
1141,4,250,food,1
1142,25,506,medicine,3
1143,28,354,medicine,2
1144,22,570,medicine,1
1145,42,620,medicine,1
1146,6,214,tech,2
1147,15,33,tech,1
1148,34,363,medicine,1
1149,11,858,tech,3
1150,35,601,food,2
1151,52,669,food,3
1152,10,835,tech,2
1153,42,354,food,1
1154,53,328,medicine,1
1155,47,647,tech,2
1156,56,698,food,2
1157,26,237,tech,1
1158,46,168,medicine,2
1159,12,607,tech,1
1160,45,532,medicine,3
1161,15,538,tech,1
1162,35,897,tech,1
1163,47,179,medicine,1
1164,47,363,tech,1
1165,50,555,food,2
1166,8,133,medicine,3
1167,15,286,food,1
1168,46,711,food,1
1169,45,896,tech,3
1170,10,237,tech,2
1171,16,704,tech,1
1172,46,857,medicine,2
1173,47,414,food,1
1174,14,849,food,1
1175,10,425,tech,1
1176,27,877,medicine,3
1177,36,786,tech,2
1178,33,514,medicine,2
1179,50,403,food,3
1180,1,607,medicine,3
1181,8,352,medicine,3
1182,46,537,medicine,3
1183,3,380,tech,2
1184,50,624,tech,3
1185,15,632,tech,3
1186,21,869,tech,3
1187,53,541,food,1
1188,14,335,medicine,1
1189,20,784,tech,1
1190,32,519,medicine,3
1191,38,112,tech,3
1192,32,173,tech,3
1193,47,851,medicine,2
1194,40,825,tech,1
1195,55,166,tech,1
1196,10,792,food,2
1197,24,844,medicine,2
1198,12,99,medicine,3
1199,18,841,medicine,3
1200,8,214,food,3
1201,34,536,medicine,3
1202,52,733,food,3
1203,23,222,food,1
1204,13,352,medicine,3
1205,27,879,tech,1
1206,56,499,food,1
1207,37,66,food,2
1208,26,702,tech,1
1209,54,844,tech,2
1210,33,175,medicine,1
1211,22,126,food,2
1212,13,409,medicine,2
1213,18,673,tech,3
1214,9,55,medicine,1
1215,39,591,medicine,1
1216,57,410,tech,1
1217,31,849,medicine,3
1218,12,199,tech,2
1219,37,698,food,2
1220,12,139,medicine,3
1221,56,216,medicine,1
1222,59,285,medicine,3
1223,23,707,medicine,1
1224,56,699,tech,1
1225,29,633,medicine,3
1226,2,133,food,2
1227,17,417,tech,3
1228,28,93,food,3
1229,23,799,medicine,3
1230,55,325,medicine,1
1231,1,537,tech,3
1232,9,337,medicine,1
1233,26,679,food,3
1234,46,570,food,1
1235,31,256,food,2
1236,36,372,medicine,1
1237,34,474,medicine,2
1238,21,630,medicine,3
1239,42,544,food,1
