u,v,dist,road_type,traffic_factor
55,59,55,street,0.17747527936214336
56,54,111,highway,0.5954848203799528
99,75,104,street,0.22121843074014957
19,5,11,street,0.2635047635038442
29,79,80,street,0.07040436689402851
73,49,57,highway,0.2466387627333323
77,107,169,street,0.6751351985253911
66,43,79,street,0.7900652538461524
104,47,97,highway,0.5871267771108282
52,42,52,highway,0.5616732922419301
93,20,177,highway,0.16632972543809188
92,117,158,street,0.5467448355134455
8,9,161,highway,0.7342686104863918
25,60,10,street,0.3433244628891119
40,10,68,highway,0.14186602480670463
17,94,72,street,0.6918456065050161
67,87,96,street,0.7308572957941631
108,13,28,street,0.18408022713566463
14,70,64,street,0.9951760363991736
95,90,148,street,0.12182482276420425
11,95,85,street,0.016424341247916474
114,34,120,street,0.8478392295657143
31,24,174,highway,0.8534567385797598
76,25,137,highway,0.7553097281494439
75,97,78,highway,0.31941533035941005
43,56,70,highway,0.9388844847135126
54,35,77,highway,0.3938126668342913
58,44,107,street,0.6704320594374054
36,63,160,highway,0.15851838703479726
13,49,74,street,0.32006041793951523
97,52,147,street,0.17004556024975448
4,101,34,highway,0.13236227003205525
107,59,107,highway,0.2803486613057271
20,103,86,street,0.08423288547247687
2,7,125,highway,0.9594682355299312
56,11,99,street,0.5131179250343858
26,116,15,highway,0.7998423947138797
49,117,167,street,0.015039224982240973
119,55,161,highway,0.31812088322725984
25,102,143,highway,0.32773403656712263
92,117,3,highway,0.781370694011453
72,82,120,street,0.1005916641265604
13,43,133,street,0.563620581082893
38,107,45,street,0.22769233699747737
31,8,105,highway,0.2675531811508707
45,83,179,highway,0.4753258757185532
102,77,152,highway,0.03437141516405373
80,60,131,street,0.45320699136372933
76,93,130,highway,0.8518279847030413
1,118,60,street,0.6627822393163133
22,11,14,street,0.4295033705156175
47,102,6,street,0.8114907134357507
119,111,20,highway,0.6780670691883356
4,74,50,highway,0.2728419635426318
86,24,13,street,0.9368502409516593
106,75,167,street,0.9398289887081327
77,75,174,street,0.6040390202494611
14,108,107,highway,0.9075478163262258
83,94,130,highway,0.7890742575984043
37,114,47,highway,0.3401970572483436
52,82,87,highway,0.789255082913317
5,103,140,highway,0.31759324330223704
76,31,88,street,0.1861538884534233
93,102,135,highway,0.010388749359364846
71,91,8,highway,0.5235950369119228
42,115,159,highway,0.713516053511086
41,34,112,highway,0.16984776619715147
87,1,36,street,0.6548893460367013
36,108,75,street,0.8949111030452893
45,57,78,highway,0.833575835422119
69,120,84,street,0.9651991616611766
40,92,24,street,0.9676858707869086
105,102,25,street,0.3365127777097756
34,25,151,highway,0.6611598775060251
4,1,65,highway,0.022468190762776508
28,114,39,street,0.49827189305381014
7,37,162,highway,0.5905494573624209
36,81,49,street,0.8021759837798295
59,5,154,highway,0.2205709344897876
107,97,172,highway,0.8401548480436661
19,54,192,street,0.6072263774321066
119,97,169,highway,0.4618378083065643
120,83,172,highway,0.5035707087710253
3,101,21,highway,0.456238301017703
54,35,169,street,0.6733565067875278
72,87,198,street,0.06158147577554285
9,25,10,highway,0.9295048564189601
8,52,1,street,0.8914565458495958
105,17,28,street,0.6699315294410169
33,98,25,street,0.753616730583244
112,64,141,highway,0.6986201200537259
113,62,59,highway,0.6663097891878627
73,72,192,street,0.3054442026396037
34,112,185,street,0.620229649472119
14,89,13,street,0.5953115664419321
118,95,21,street,0.7054802518292891
109,52,188,street,0.6397803009337302
44,95,110,street,0.05676240654594478
3,18,87,street,0.9593586674575931
41,81,108,street,0.14558272600597943
104,13,41,highway,0.11568711540304999
42,32,42,street,0.9589868506228488
27,116,67,street,0.3781372201100075
91,33,45,street,0.8512714384925545
75,51,179,street,0.7765268984810882
112,79,46,street,0.30765575229696407
3,5,5,highway,0.9049503453009304
114,13,15,street,0.5901622625475145
57,18,54,street,0.8763988409884471
103,49,58,highway,0.017474559590870298
107,23,190,highway,0.769147291659991
57,42,59,street,0.42246563717729657
87,71,184,highway,0.8529131968412557
114,93,88,street,0.010154883895589717
89,17,26,street,0.3841101487746337
31,120,90,street,0.6847146141459958
26,95,25,highway,0.16135930308313273
13,24,170,highway,0.6970293867002054
17,34,99,street,0.13151958594891622
60,24,135,street,0.7584482172555397
40,6,79,street,0.5055888118116807
73,40,80,street,0.7022456363256429
0,106,153,highway,0.329903272660523
62,60,76,street,0.8441555022612492
114,83,146,highway,0.981773026417573
68,18,31,street,0.5384340478106914
39,19,6,street,0.2170335370873211
50,25,126,highway,0.07061695193463713
48,106,23,highway,0.8466462350036452
10,22,98,highway,0.47188586148987455
57,1,102,highway,0.6059314451112813
23,120,39,highway,0.8115245666405339
19,58,119,street,0.2926546699909707
22,93,56,highway,0.15201155419984302
55,68,79,highway,0.3821354809151195
100,6,167,street,0.027390962254588924
57,16,7,highway,0.02340411137481513
98,35,98,street,0.8966531520898494
110,3,154,highway,0.023778876425935014
39,9,172,highway,0.15867506410745913
11,66,186,highway,0.29401306599767396
116,41,1,street,0.600373191662009
115,98,135,highway,0.38955899144322537
86,111,73,street,0.2081987841300229
64,88,1,street,0.5365844331344466
86,115,110,highway,0.17531748378551182
19,51,30,street,0.8677958456939654
103,92,40,street,0.9425932625734941
8,53,192,highway,0.14303872118908967
50,96,50,highway,0.5512263663992402
84,60,1,highway,0.007750148333913742
118,81,111,highway,0.2017982030951636
109,11,3,highway,0.3875634555372839
63,76,48,street,0.095674974090727
14,51,1,highway,0.9358781357447654
69,19,157,highway,0.9741152327373771
81,88,76,street,0.8360335042466125
100,45,57,highway,0.061174888664622284
41,78,21,street,0.8752508598457879
111,118,100,highway,0.8987078135266281
117,6,39,highway,0.2944128647277514
49,73,142,street,0.3851535162008287
116,65,40,highway,0.48183192577682843
30,8,146,highway,0.7158734480116832
3,106,35,highway,0.14327698539451605
78,85,101,street,0.7864973457337391
93,58,79,street,0.5434330653593363
64,33,102,street,0.39204318842107333
112,48,24,street,0.9697705551506536
30,102,195,street,0.6467359495394518
14,112,65,street,0.19988902475095938
17,78,163,street,0.49552256749198653
99,60,41,street,0.8736566463314098
36,52,58,highway,0.9374881720538303
81,118,65,street,0.6891759604311567
79,86,163,highway,0.43116643677483135
21,10,192,street,0.643802998041828
94,77,10,highway,0.585604808804171
34,19,180,street,0.7017837039077474
39,107,104,highway,0.3389540525650341
39,33,57,street,0.011224069666113667
109,61,188,street,0.023397818060264974
61,71,168,street,0.7399825089120355
26,88,167,street,0.14807910559358461
11,119,63,street,0.714934834253588
66,102,85,highway,0.33915842624433024
102,72,94,highway,0.9547537930762954
35,19,126,highway,0.5716480686152938
12,45,52,street,0.27858702151555204
61,3,198,street,0.04073138679114641
38,10,70,highway,0.1791621940839726
106,37,51,street,0.5200408518263905
82,64,171,highway,0.8211139662562694
70,17,6,street,0.5213211173807882
38,64,95,highway,0.9025749175806204
114,82,124,highway,0.11962393398659099
114,50,100,highway,0.2190020941946632
69,106,51,street,0.8018304943780268
120,48,4,highway,0.3514140859812733
23,96,159,street,0.43860228261905776
39,100,48,street,0.8503207762569542
31,88,135,highway,0.3451714641914866
60,13,111,street,0.655300735135633
64,112,61,highway,0.37688873382271315
113,24,104,highway,0.23838329345370368
26,97,146,street,0.33294815669936184
94,115,63,highway,0.5556934423352499
52,90,53,street,0.6714729418986419
43,10,90,highway,0.02313476633632705
70,20,14,street,0.17828971953644357
44,23,94,street,0.12518531502263142
62,105,114,street,0.0925177545809942
35,53,147,street,0.5627871932788401
26,94,65,highway,0.8403437149608746
43,98,173,street,0.41484353390357653
39,68,94,highway,0.2673315223427999
50,71,2,street,0.34328192672425795
4,109,125,highway,0.1502487986208817
98,51,84,street,0.11234822586402493
84,14,43,highway,0.1942292883882324
112,42,97,street,0.131039564065223
14,47,24,highway,0.5433181149774234
97,76,146,highway,0.501474331410778
16,44,173,street,0.6521288667159104
63,34,147,street,0.6804967178321252
46,62,3,highway,0.5711327970179101
108,59,14,highway,0.3127042079876735
47,16,92,street,0.41169709698118084
49,91,139,street,0.788286282466178
43,96,102,street,0.6024496812911386
106,47,3,highway,0.9699341105701397
42,84,107,highway,0.34565642380579764
76,45,96,highway,0.19729681922546494
66,72,25,highway,0.34352695354168583
37,105,10,street,0.21264309082594413
53,58,187,street,0.31788217413469
85,9,2,highway,0.6563431767881575
0,37,69,highway,0.54904631720211
18,77,121,street,0.7190680565685535
68,97,35,street,0.27841225395736713
102,35,107,highway,0.46198406916273427
56,47,183,highway,0.6003953223321309
104,2,132,street,0.7967206738097147
95,75,151,highway,0.33219789717576953
4,81,13,street,0.9356048700007669
57,26,183,street,0.49325499345846546
54,71,88,highway,0.7043289254484411
95,106,60,highway,0.5711838954312086
11,21,72,highway,0.9796283222638482
67,54,196,street,0.8553450877752222
98,111,72,street,0.5889442703959039
98,14,63,highway,0.3000756757543933
40,52,150,highway,0.768529121592108
7,119,32,highway,0.1758397631436176
34,41,39,street,0.4654597958664196
48,95,156,highway,0.02651759546299337
68,37,128,street,0.8162339421744548
52,51,173,highway,0.6679531052884923
31,94,163,highway,0.5092046181528077
83,52,158,highway,0.5219974108184149
37,117,120,street,0.25580511605789913
53,52,8,street,0.10302909513290015
53,105,70,street,0.7634056513963272
99,111,54,street,0.4427149163352768
92,58,38,street,0.9648720682480122
42,100,71,highway,0.28316123745810295
9,113,20,street,0.681121923080961
58,73,40,street,0.45679438425682806
100,111,120,street,0.5112924123714663
65,116,104,street,0.8588312207194997
91,20,48,street,0.41933480260613587
5,64,14,highway,0.37016185592572337
74,37,76,highway,0.9869580518087683
13,26,13,street,0.016283498066543167
76,21,138,street,0.18639731079610755
53,85,109,highway,0.29232709405937884
3,73,29,street,0.889978754902999
0,4,149,highway,0.9350188678971054
53,99,95,street,0.5867056107046238
87,66,63,highway,0.3395418490438803
57,61,137,street,0.4254064957123006
63,88,131,highway,0.2363492757987743
2,73,173,highway,0.3340517986697332
36,119,47,street,0.32082346081806923
7,76,196,highway,0.40815099815001177
75,82,65,highway,0.7354755650889855
53,18,76,highway,0.11172050175575754
43,112,142,highway,0.5943034986006287
41,62,194,street,0.1317819160125303
77,62,151,highway,0.4403542622048531
1,98,99,street,0.8217042990503072
41,98,71,highway,0.1738718059856772
50,70,145,highway,0.09482093264871105
107,2,117,street,0.7710153845224257
85,20,86,highway,0.5197210854165627
98,48,178,street,0.13091207438884733
68,52,130,street,0.9592013364103026
41,0,125,street,0.7529153921115872
117,23,200,street,0.2687362534561938
74,43,127,highway,0.6468678845923627
40,88,34,street,0.649666034586429
73,18,41,street,0.13797357883791872
98,6,154,street,0.04106715383035997
49,48,72,street,0.09908395970212158
2,100,184,street,0.7398316623593029
98,42,88,street,0.5898640871731755
89,105,90,highway,0.7836882814811476
34,16,1,street,0.4572134970835212
119,49,67,highway,0.3236245385126093
79,42,23,street,0.6228090521684343
22,6,119,highway,0.1440895720945381
84,39,191,street,0.04234216301893334
8,79,14,street,0.13237751068053283
64,10,159,highway,0.13316878307875002
109,51,77,street,0.5603886751639992
32,21,72,street,0.24767222319902715
70,16,158,highway,0.1746040940301875
13,61,91,street,0.46830351442139007
2,33,14,highway,0.7718622416657944
89,108,40,highway,0.8714211235506687
0,105,165,highway,0.4031783649929803
10,110,164,highway,0.11676132655307203
53,88,27,highway,0.8941205401463083
119,31,36,highway,0.4761138737482101
113,3,186,street,0.09597349718634296
114,20,37,street,0.41355909408764047
64,74,194,highway,0.8582332638635668
37,102,115,street,0.9500706872852697
61,59,66,highway,0.20930206962726972
73,108,152,highway,0.9334581569577822
67,94,165,highway,0.32902186063867245
69,51,9,street,0.7551503278998852
44,92,169,street,0.05878603467698029
59,8,141,street,0.8993494477042305
114,89,93,highway,0.3213193943533801
30,26,182,highway,0.7764632330506951
109,112,151,street,0.4322551083607954
82,48,166,street,0.33433796428255713
64,37,141,street,0.7777800138668344
109,4,91,street,0.28582317874387375
110,46,18,highway,0.013452553173620263
42,109,69,street,0.49513318681844887
76,22,83,highway,0.32270543839731125
115,116,59,street,0.7924478719857825
120,20,93,street,0.5079012027182459
27,36,103,street,0.9785942406110492
77,59,185,highway,0.38508155059408555
63,55,186,highway,0.560261376995108
109,44,167,highway,0.8497590658676663
87,17,58,highway,0.864966464637609
83,106,98,highway,0.8437004062502977
59,78,6,highway,0.28618703458278383
58,111,139,street,0.21914976689529186
47,10,64,highway,0.05675562115753152
56,74,59,street,0.4124418585646259
45,105,103,street,0.7388045603504625
25,46,63,street,0.38613483023271655
21,119,12,highway,0.6446037521011971
98,30,149,street,0.20856501180825338
44,7,118,street,0.8257881934910766
33,84,159,highway,0.6153048284402486
3,8,122,highway,0.47628401559454203
9,93,120,street,0.5089123120418819
36,86,163,highway,0.22021215030203412
87,8,14,street,0.3211552269313179
88,40,179,street,0.32199615287670846
50,65,157,street,0.610983612644079
67,119,151,highway,0.7548567286525104
97,34,110,highway,0.9614727117025126
53,4,181,street,0.9526927718731881
45,82,190,street,0.037076173466336626
63,8,47,street,0.16505705656188463
32,83,47,highway,0.44795565181113917
8,83,143,highway,0.6695629151816256
33,22,164,highway,0.03011790533234371
99,30,145,street,0.7836315833944089
88,18,178,highway,0.45591374365106074
114,112,24,street,0.31044452672229084
23,24,117,street,0.045483153237149576
87,69,166,street,0.9241071509263918
35,43,74,street,0.7824990105048029
85,104,19,highway,0.9905260557493469
98,44,163,highway,0.9868660729264055
21,104,42,highway,0.5366209965614547
19,80,45,highway,0.08383282791587221
47,45,48,street,0.28815487144246565
120,107,148,street,0.41399326244966117
117,91,157,highway,0.13363239284701245
33,8,63,street,0.0457846054288632
19,73,137,highway,0.834471792208067
3,88,87,highway,0.9971681347347617
18,3,42,street,0.31066840393667094
17,14,40,street,0.11430182456117777
45,80,126,highway,0.8006069071381768
59,78,192,street,0.6673855809223058
100,101,162,highway,0.17808780965618765
63,92,152,highway,0.8674752609357184
21,23,198,highway,0.35118036065790303
89,92,183,street,0.32786578588310344
41,9,85,highway,0.8440884711646184
23,120,124,street,0.4071660567983797
0,64,13,street,0.8270677082953313
111,5,10,street,0.5155690443672167
20,88,32,highway,0.47952108700759066
7,24,143,highway,0.25604815231635447
47,105,138,highway,0.7498245124983008
67,111,93,street,0.2658121236113292
16,1,100,highway,0.16002189603512318
117,2,39,highway,0.14497063378124941
96,15,130,street,0.7199159737899039
21,75,68,street,0.17566431808758154
112,5,182,highway,0.38478786049711
120,5,66,street,0.1312386858262341
57,50,159,highway,0.2558272069185291
86,74,56,highway,0.6340967630598459
55,89,40,street,0.9620572249225845
25,99,135,highway,0.36373917568253733
8,32,92,street,0.2570234089785306
92,36,131,street,0.597111739194007
92,68,23,street,0.6990616003506838
120,73,32,highway,0.6360683255601507
33,21,144,highway,0.5169374599296245
75,97,65,highway,0.383213610281787
75,71,185,street,0.38799321375537643
58,98,55,street,0.29365622280547365
112,82,132,highway,0.17479523488382398
22,11,73,street,0.6484512848013878
0,87,28,highway,0.35889575119691175
34,72,183,street,0.9541390052541162
118,2,8,highway,0.9890474189830141
4,15,156,highway,0.966801876435502
57,46,185,street,0.8735930374606545
66,111,163,street,0.5265137440789704
57,112,154,highway,0.07225441963615753
9,7,82,street,0.39893682386185036
57,7,85,highway,0.2188838813857089
69,16,63,street,0.32783209384468615
116,9,90,street,0.8046209116191886
46,118,72,highway,0.9185385494180633
62,88,28,highway,0.655595841275753
9,78,84,street,0.1646238247183497
22,77,28,street,0.9930553645832833
33,75,68,street,0.8687768562745741
3,5,161,highway,0.7151218596138076
105,2,113,street,0.2951420017922126
49,7,182,street,0.009668435105702922
56,35,141,highway,0.4708323132437122
89,98,91,highway,0.45416402241005327
52,4,36,highway,0.13460285876996714
43,27,32,street,0.7262090138976269
41,113,152,highway,0.14462581379622375
91,99,126,highway,0.1887006675093983
27,3,175,highway,0.24838508913053292
16,85,161,street,0.7937609595051014
16,61,131,highway,0.16525957279876213
10,7,179,street,0.26072642284226133
105,55,54,highway,0.8645695651380003
90,68,172,highway,0.7360545076401961
34,26,137,street,0.42454778121860903
63,9,166,highway,0.20824179737957516
92,75,24,street,0.717705729536434
109,48,116,highway,0.25026636293971216
76,39,75,street,0.0988731282437828
78,117,35,highway,0.3023117719636239
77,8,182,street,0.6831539173295826
30,87,24,street,0.6502957121100293
42,62,87,highway,0.025403681457623728
86,84,123,highway,0.034825854202548134
114,49,25,street,0.802134880571701
101,81,64,street,0.20204729520451015
10,42,184,highway,0.5044668967562771
115,98,115,street,0.10421981237186806
36,110,11,street,0.6623985831160014
9,118,58,street,0.7160675790398492
29,78,99,street,0.27524887929543895
20,93,57,highway,0.6797872426194046
97,6,195,street,0.9365800848381275
35,116,171,street,0.2459206962586894
43,95,64,highway,0.24741784021878555
97,13,200,street,0.46847827451630886
72,26,199,highway,0.311653925107493
98,28,118,highway,0.22751076329226094
44,63,93,street,0.9255365862411368
4,61,14,street,0.9174370952963914
25,93,95,street,0.13165294556306217
99,118,26,street,0.5546162193209847
64,74,123,highway,0.7327963387388627
30,45,7,street,0.8952555639161627
35,71,149,highway,0.18307629197732578
106,49,33,street,0.42806826643604523
23,95,127,highway,0.4065361274992564
115,15,187,highway,0.044879983163152004
88,99,81,street,0.6096877533464883
27,78,147,street,0.6442512903647877
109,64,171,highway,0.5187723147769722
3,51,100,highway,0.801345942098019
59,5,199,highway,0.4341028575880923
88,32,110,street,0.44078832827176373
43,91,79,street,0.867832507450114
49,90,25,highway,0.8833447037332626
21,83,66,street,0.5696399259903235
106,39,177,street,0.2439307570633641
88,9,19,street,0.014462682592874199
48,1,66,highway,0.41876552644876386
66,91,172,highway,0.5550648907821827
104,48,173,highway,0.6849699180744376
109,66,194,highway,0.8937538743789457
46,22,152,street,0.4806994210926109
87,104,75,street,0.2555575968100885
33,14,132,highway,0.9758533315224482
99,61,93,street,0.9238272951001517
42,97,120,highway,0.642210329439789
75,27,153,street,0.029734709000478587
50,39,78,street,0.3118719398609978
36,26,168,street,0.20693981579369447
31,62,152,street,0.06538433223744977
63,53,22,street,0.7633196367202167
120,71,199,highway,0.3417166670219415
78,23,35,highway,0.013239940997471056
89,65,150,street,0.4616388648100651
73,16,53,street,0.9342867869097489
77,113,72,highway,0.9132767308702237
7,67,59,street,0.08040552244137622
89,67,86,street,0.5986133976918202
109,57,28,highway,0.6456133487171789
85,33,16,street,0.8783142996121328
97,101,186,street,0.3996710584338605
101,72,162,street,0.5132987941340527
16,40,60,street,0.6704550657040746
11,90,36,highway,0.8739466946135513
81,29,66,street,0.9433465432710878
100,86,4,street,0.3254352402040147
65,99,130,highway,0.28296005482495545
10,53,188,highway,0.4510785722099384
52,90,43,street,0.6298890246118272
59,38,111,highway,0.26261086374546116
3,67,23,street,0.5521764015028972
14,44,184,street,0.02779566291332658
18,105,166,street,0.6538394037171862
4,63,95,street,0.08712213507417099
50,59,60,highway,0.6263601876582426
18,86,70,highway,0.7190756916267698
32,95,123,street,0.32970632193367655
84,116,26,street,0.6474887407283542
52,59,23,street,0.07858794557497473
4,68,53,highway,0.4965979472880958
14,31,124,street,0.6030382780456299
50,41,200,highway,0.913577138487794
60,90,142,street,0.5892622942817001
82,42,74,street,0.3555219662837915
23,87,149,highway,0.9857813188299525
39,107,140,highway,0.8669158677550275
52,67,105,street,0.9270362095960547
7,66,126,street,0.2196515894605774
34,39,70,highway,0.7633781309762762
28,99,104,street,0.19240656175139803
48,71,181,street,0.3656410145199639
81,37,126,highway,0.30423077836003465
76,77,82,street,0.961058159575994
34,0,141,highway,0.03384428223232128
103,20,135,street,0.5757068740702717
117,78,192,street,0.47851539886890926
98,56,48,highway,0.054262622773464164
31,39,17,street,0.2572742484558155
79,27,127,street,0.9249409200131945
15,100,5,highway,0.37012373945822097
115,107,73,street,0.8934305975498014
119,75,145,street,0.22519854682499751
0,79,33,street,0.24351423638088276
106,52,44,street,0.3945528391554577
85,17,199,street,0.6999010029759142
51,117,145,street,0.7704801710128258
55,69,38,highway,0.8646605920983987
40,29,72,street,0.7757130629524387
111,0,80,highway,0.5242903024893867
14,109,146,highway,0.5486527112390972
45,23,52,highway,0.5171184574301658
59,23,142,street,0.08935864558714335
117,38,190,street,0.6319272533875983
8,97,24,street,0.3930331772237964
28,0,173,street,0.7676408935897433
70,16,145,highway,0.38287395317748363
25,90,124,highway,0.3624214252938779
49,114,174,highway,0.1256219673792257
70,54,174,highway,0.265056950559992
65,74,131,street,0.4481759464873559
93,65,191,street,0.5932371176048505
64,103,178,street,0.9087826347814355
18,30,200,highway,0.6854252784603699
117,41,10,highway,0.7948018865282688
67,34,96,street,0.1360084854417205
65,105,149,street,0.678792614936574
58,14,73,highway,0.5934445407190404
30,48,107,highway,0.5600580588222328
86,31,114,street,0.38887321245212425
39,85,85,highway,0.23180056999127174
120,118,29,street,0.7193903415593118
22,90,41,street,0.8520110946838705
108,86,99,highway,0.14884483556620443
78,101,3,highway,0.4019756182353912
20,56,22,highway,0.32588008576034055
103,17,79,street,0.34469706254851606
82,116,147,street,0.4627160938123307
27,5,199,street,0.694824974357794
82,99,148,street,0.7566688581110809
25,22,15,street,0.10443567094297956
108,52,145,highway,0.3293563284726072
107,18,72,highway,0.6178914278135738
43,115,40,highway,0.9936643902980649
85,84,44,street,0.09615723706905066
9,65,21,street,0.2723592876073273
7,30,80,street,0.8109798912354153
105,49,50,street,0.3186033357592569
88,99,63,street,0.10903377484809651
107,98,185,street,0.0555018686223997
70,20,191,street,0.007573104298109978
43,39,183,highway,0.8778597907587901
51,41,157,street,0.9849077145434902
90,22,38,street,0.6301615566647111
72,80,78,highway,0.16898058850079878
9,90,41,street,0.3629610989710116
30,40,21,highway,0.7640366097885624
51,49,128,street,0.5355216010368206
56,79,157,highway,0.13421873956413966
53,21,47,street,0.5676839249234594
2,36,30,highway,0.9666989067505485
112,64,199,street,0.8302940861428814
43,21,196,street,0.32831232229249296
20,105,71,highway,0.4099262797559896
109,6,172,highway,0.2604297295177288
55,106,110,highway,0.6735216297395873
96,102,199,highway,0.28298485036808707
37,95,52,highway,0.33652808343061014
109,118,19,street,0.9698454499976918
40,99,172,street,0.24010658737253443
94,31,64,highway,0.4241185405518628
96,14,139,street,0.6472199652523598
76,0,60,street,0.7142865748028977
2,101,40,highway,0.3401078714016713
119,82,157,highway,0.570555599601653
51,120,23,highway,0.030297819434508932
34,14,80,street,0.5152677638075395
16,23,69,street,0.9463857388527828
90,1,20,street,0.26370281385266536
64,51,140,highway,0.8911225928822755
23,88,168,highway,0.32141034974970795
67,69,114,highway,0.3452970684053116
110,106,117,street,0.6608507626134047
64,63,15,street,0.7560041811129479
63,59,41,street,0.5059402060825451
51,35,21,street,0.8686326443835071
51,70,68,highway,0.28905396213760115
77,66,136,highway,0.3404876774464687
1,14,120,street,0.8565546901932766
83,104,106,highway,0.29430097620640583
6,76,178,highway,0.5841381277491922
70,56,85,highway,0.4595380829805047
45,52,166,street,0.39501323697347646
19,78,81,highway,0.4643298781776294
74,65,156,highway,0.08373952889259295
74,97,159,street,0.18794937589938476
49,46,194,street,0.9211467641155497
36,61,145,highway,0.4331871817463394
38,99,120,street,0.6164632404813682
110,102,134,street,0.8011196870491984
36,21,193,highway,0.9909140913043987
33,77,130,highway,0.4380125708658815
30,83,192,street,0.8487891791404346
119,84,70,street,0.5907372955159941
21,53,56,highway,0.23901267939180126
120,23,90,street,0.40490903471474404
84,3,182,street,0.925821133888684
9,73,70,street,0.667325169853286
106,55,132,street,0.8354550200766542
85,83,193,highway,0.20763378580967928
64,102,31,street,0.34794616455903005
111,47,9,highway,0.8957628374340478
21,14,153,street,0.32021294539108547
90,18,138,street,0.7993313696454776
10,1,94,street,0.04629760944585004
83,78,129,street,0.724692750693701
19,59,95,street,0.8071615216444918
83,63,69,highway,0.9337694735949509
104,16,24,highway,0.09471721757891194
24,75,34,street,0.18721464822777967
58,52,31,highway,0.9053707710012256
88,29,78,street,0.8621802579243618
80,66,178,highway,0.9835818587034225
42,62,94,highway,0.1368797462668444
77,13,99,highway,0.13972040939078667
65,77,161,street,0.5279821944350003
63,26,188,street,0.023649624198588848
111,16,143,street,0.1787521295908191
105,57,2,highway,0.28880010668474687
11,24,70,street,0.9135467884142452
36,89,140,street,0.5491498710071695
60,102,162,street,0.24592070499416874
38,67,45,street,0.6643332614312776
45,108,2,street,0.7821636910899821
74,99,163,highway,0.9649498068561035
47,96,6,street,0.15123010942589687
4,47,176,street,0.40098875912346776
15,95,15,street,0.44411389662961354
2,10,175,street,0.9331388827955982
73,39,195,highway,0.6947453475952483
108,80,131,street,0.5463216221629417
96,82,43,highway,0.4336343219032115
103,39,184,street,0.4984055560311714
93,96,178,street,0.05557709211792705
25,97,92,street,0.10930683847050005
104,32,104,street,0.19167793643742248
52,85,137,street,0.7337053607959142
