u,v,weight,transport_type,risk
8,59,107,road,4
34,33,20,air,4
14,40,38,rail,3
49,3,133,road,3
9,45,90,rail,1
57,36,31,road,5
25,8,67,road,4
5,17,103,road,3
19,58,90,rail,2
15,8,47,air,5
63,41,57,rail,3
9,63,86,road,2
28,70,149,rail,2
11,31,16,road,4
60,10,121,road,5
48,4,91,rail,1
3,60,17,road,4
45,18,67,air,2
18,54,90,air,3
40,69,133,rail,3
48,51,52,road,5
41,32,51,road,3
61,6,75,road,5
67,33,2,air,2
2,48,9,road,4
67,22,51,air,4
56,8,84,rail,2
39,28,149,air,4
3,12,134,road,5
36,49,144,air,1
7,20,29,air,2
3,12,2,road,1
35,38,3,air,2
41,11,37,rail,1
37,59,138,rail,5
34,53,75,road,2
36,58,14,rail,1
28,60,96,rail,2
4,42,48,road,4
64,59,99,road,3
17,56,117,rail,3
54,10,12,rail,5
34,25,91,road,5
24,53,89,road,1
62,20,87,air,2
25,56,122,air,1
3,59,139,road,4
16,38,145,air,3
57,22,66,road,2
49,70,27,air,5
63,8,26,air,2
49,39,55,rail,1
1,63,6,road,2
16,49,89,road,2
39,13,139,road,4
61,27,75,air,1
64,46,144,road,1
55,59,104,rail,3
67,26,68,air,4
9,70,83,rail,4
38,21,88,road,2
61,22,1,road,1
68,41,140,rail,3
31,26,73,air,5
37,51,131,air,3
35,40,40,road,1
2,6,122,road,5
63,47,104,road,5
34,19,41,road,4
24,11,73,rail,3
69,36,40,road,2
59,54,67,air,2
9,16,16,rail,3
0,60,21,air,5
36,9,137,air,5
67,14,137,air,2
22,65,59,rail,2
31,48,39,road,4
65,42,143,rail,4
13,44,69,road,4
25,7,14,rail,5
7,65,36,air,5
3,22,10,road,2
23,28,129,rail,3
38,35,98,rail,5
50,45,111,rail,3
7,70,122,road,2
55,63,37,road,4
51,61,99,road,4
51,58,74,air,5
28,6,134,road,1
40,49,16,air,3
42,54,63,road,1
69,13,54,rail,4
45,58,34,air,5
35,37,18,road,5
0,15,68,air,5
59,25,59,rail,4
10,30,21,air,5
33,3,134,road,4
21,1,32,rail,3
33,26,63,air,5
64,5,39,air,4
16,24,92,rail,4
57,68,86,rail,3
19,15,127,rail,4
6,66,29,air,2
37,26,76,road,5
30,28,53,road,4
62,67,74,rail,5
1,12,4,rail,1
2,54,136,rail,1
67,68,26,road,5
69,59,92,road,2
60,11,102,air,4
61,19,21,air,1
38,21,146,rail,1
31,42,106,rail,3
3,63,110,air,4
59,24,55,air,1
69,9,148,road,4
3,51,68,road,1
56,22,140,road,1
59,5,89,air,2
28,54,114,air,2
43,50,7,rail,5
43,55,139,air,5
5,34,30,road,4
68,15,32,road,1
62,47,5,rail,2
70,40,107,air,5
68,70,29,air,5
4,27,32,rail,3
33,41,95,road,5
38,15,110,rail,4
30,62,29,road,2
46,17,24,air,3
8,7,137,rail,3
21,50,73,road,2
15,10,26,road,3
67,14,146,road,1
20,28,124,rail,5
29,20,89,road,1
46,9,17,air,5
23,35,47,air,4
0,62,8,road,3
25,19,114,road,2
67,14,23,rail,3
46,14,60,air,5
47,30,63,road,3
38,27,115,rail,5
48,66,36,rail,2
4,10,84,air,1
0,38,79,road,3
59,60,11,road,3
61,5,118,road,5
55,1,108,rail,2
9,15,14,air,3
9,11,90,rail,2
51,58,62,road,3
0,13,127,air,1
67,38,130,air,1
38,58,121,air,3
44,16,125,air,1
54,34,110,road,5
7,70,148,rail,5
66,58,26,road,2
67,65,131,air,4
6,26,63,air,5
57,31,112,rail,4
4,22,7,air,2
61,21,122,road,4
48,1,44,air,4
4,54,43,rail,5
38,36,137,air,1
43,0,35,rail,1
39,36,119,rail,2
38,49,90,road,1
59,56,142,rail,4
27,12,68,road,5
27,18,30,air,2
10,49,138,road,5
54,68,69,air,5
6,1,115,air,3
23,27,103,road,4
31,0,22,rail,5
29,33,143,rail,5
17,32,47,rail,1
17,36,34,rail,1
6,38,74,rail,3
16,36,72,air,5
31,15,50,air,5
5,48,94,rail,3
35,21,26,rail,5
58,43,145,air,3
7,3,111,road,3
60,59,28,road,5
64,25,76,air,2
36,13,17,air,3
62,38,28,air,5
40,5,5,air,1
20,67,40,road,2
14,7,108,rail,5
39,40,89,air,1
69,12,116,air,3
28,43,5,rail,4
41,46,4,rail,3
56,35,80,rail,5
35,52,16,road,4
6,10,72,rail,3
21,9,39,air,1
61,45,62,air,1
32,21,8,rail,1
4,21,41,air,2
44,59,18,road,2
4,16,13,rail,1
44,55,127,rail,3
66,68,103,air,2
1,29,14,road,5
55,27,134,rail,4
10,34,63,road,3
17,18,122,air,1
65,3,19,air,4
41,54,64,road,2
31,16,132,road,1
17,11,73,rail,2
69,63,50,rail,5
26,16,80,air,3
60,16,7,air,1
0,51,3,air,4
50,14,24,rail,3
55,4,108,air,4
7,0,19,road,4
59,0,107,rail,4
68,52,22,air,3
65,24,43,air,1
51,56,58,air,3
49,21,10,road,3
44,46,18,rail,2
49,63,112,road,3
36,8,25,road,2
41,56,6,rail,3
42,64,47,road,4
61,18,65,rail,3
21,10,128,rail,3
63,67,121,road,5
0,21,96,road,4
65,34,44,road,2
9,58,15,rail,3
35,29,131,rail,5
67,17,98,air,4
56,46,150,air,1
12,48,51,air,2
59,47,64,rail,4
30,25,117,air,1
19,64,64,rail,1
22,41,50,air,1
33,62,88,rail,3
20,50,117,rail,2
27,6,42,air,2
6,35,107,air,2
27,51,48,rail,2
69,41,7,rail,4
65,60,126,road,4
5,14,126,rail,1
42,29,84,road,2
66,35,120,rail,5
66,17,27,road,5
16,57,2,road,5
60,10,149,road,3
8,3,43,rail,2
8,17,145,air,5
37,25,139,rail,4
8,29,45,road,4
19,41,132,rail,2
68,67,41,air,2
37,59,99,air,3
69,8,65,air,4
39,8,54,rail,2
0,26,5,rail,1
3,59,17,air,1
54,68,62,air,1
29,41,54,road,5
32,50,7,rail,2
18,44,149,road,1
19,33,53,air,5
49,44,33,rail,2
39,10,95,rail,1
47,66,16,air,3
61,23,16,road,2
52,19,80,air,4
54,5,88,air,1
62,52,12,air,3
25,12,90,air,3
32,37,20,rail,3
9,44,5,air,1
43,10,3,road,3
5,51,58,rail,2
7,52,112,road,5
10,16,109,air,5
60,39,36,air,5
55,13,132,air,1
3,33,75,rail,2
51,24,130,road,2
19,41,70,air,4
14,31,116,air,1
4,0,95,road,2
44,42,21,air,2
53,70,128,rail,3
56,67,35,road,2
21,36,105,rail,4
33,56,127,rail,1
23,60,54,air,1
56,32,70,air,2
9,54,89,rail,4
13,41,91,road,2
58,15,66,air,3
2,14,130,air,4
27,10,108,rail,3
39,6,67,rail,2
46,62,58,air,2
12,56,54,road,2
10,36,100,air,2
27,65,146,road,1
38,14,89,air,2
23,14,8,air,4
69,47,99,air,2
69,56,30,road,1
2,61,22,rail,4
26,10,46,air,1
14,31,5,road,4
13,15,20,road,5
69,42,87,rail,1
18,42,26,road,5
41,68,129,rail,4
31,21,145,air,2
14,59,123,rail,2
7,23,64,rail,1
28,9,73,road,5
10,28,110,rail,4
51,62,6,rail,2
56,67,141,air,1
56,30,135,air,5
48,23,60,rail,5
57,50,2,road,4
20,10,126,air,5
32,41,118,rail,5
19,60,127,air,2
46,16,118,rail,4
12,0,16,road,2
50,21,119,road,2
61,52,77,air,1
54,56,46,road,5
66,13,123,air,4
15,20,85,rail,2
63,25,33,road,2
59,13,83,air,5
0,65,84,rail,2
47,39,91,road,3
34,17,31,road,5
70,39,23,rail,5
60,23,112,rail,3
64,9,62,air,4
68,11,49,rail,5
41,19,71,rail,5
11,60,54,air,2
63,16,105,rail,3
32,1,68,rail,5
45,0,43,road,4
27,18,124,air,1
51,18,54,road,2
64,18,134,rail,5
56,57,78,road,5
35,23,92,air,5
46,22,33,road,2
5,60,123,air,4
31,30,100,rail,3
4,41,61,air,2
53,34,76,air,4
17,69,21,rail,5
50,23,91,rail,5
33,21,55,rail,1
51,5,126,rail,1
68,23,97,rail,5
21,0,132,rail,1
53,32,10,road,3
64,39,94,air,4
29,5,100,rail,5
49,53,10,air,1
56,8,109,air,4
2,33,48,road,5
22,45,10,rail,4
49,2,138,air,3
46,10,74,rail,5
44,26,98,rail,4
15,39,93,road,1
17,43,142,road,1
25,58,72,road,5
24,28,147,rail,4
22,55,29,rail,4
35,46,59,road,5
11,33,143,rail,2
64,59,120,rail,5
9,15,104,air,1
42,49,108,road,1
14,48,80,air,2
67,4,96,rail,1
56,25,52,road,3
25,55,6,road,2
41,4,97,road,4
26,30,80,road,2
42,61,105,air,3
4,53,42,road,5
25,57,67,rail,2
38,20,44,road,4
69,55,85,air,4
26,63,13,air,1
58,62,35,road,4
20,25,72,road,1
28,2,54,rail,4
29,39,46,air,1
61,50,100,rail,3
60,42,128,road,1
35,34,94,rail,1
28,30,130,rail,4
41,49,97,rail,1
67,19,113,rail,3
33,7,1,rail,4
63,7,70,air,4
58,61,60,air,5
56,18,13,air,1
17,10,118,road,3
33,9,17,air,4
2,65,41,road,3
40,62,71,rail,3
45,46,24,air,5
34,40,87,air,5
46,70,7,road,2
11,49,53,air,3
38,6,35,road,1
19,3,69,road,1
29,42,17,air,2
4,39,147,air,2
7,5,79,air,3
48,54,76,rail,4
4,58,90,air,3
7,38,33,rail,1
34,12,29,air,4
28,54,46,road,4
10,64,137,rail,2
56,42,105,air,2
62,16,17,road,5
10,49,49,air,5
35,3,71,road,3
14,40,118,air,3
54,19,95,rail,3
18,64,5,rail,5
65,30,125,air,5
49,68,117,rail,3
17,68,22,rail,2
65,10,109,rail,4
14,21,124,road,4
55,50,75,rail,3
52,5,142,rail,5
47,25,68,road,2
38,44,20,road,3
37,20,9,rail,1
14,35,33,rail,1
69,8,62,rail,2
64,28,26,road,5
56,54,86,air,3
70,62,91,rail,4
4,47,44,air,3
19,48,98,air,1
9,2,39,air,3
49,15,125,road,3
41,38,20,rail,2
0,44,14,rail,4
28,42,145,air,1
15,41,144,air,2
16,25,40,air,4
46,70,113,air,5
6,66,88,air,5
36,29,54,rail,5
67,34,60,air,5
20,25,108,air,4
17,68,13,air,4
9,19,86,air,4
47,17,135,rail,5
10,23,123,road,3
55,32,25,rail,3
9,37,31,rail,2
0,35,69,rail,2
12,68,13,rail,1
10,35,52,rail,1
17,34,117,rail,4
41,3,59,road,1
21,58,90,air,2
15,46,135,road,4
5,22,18,rail,1
46,36,131,air,3
38,0,126,road,4
15,20,109,air,4
14,22,76,rail,2
45,67,144,road,1
70,0,28,air,3
29,67,32,road,1
27,58,129,road,3
69,41,118,road,4
0,61,40,road,4
58,18,77,rail,3
18,0,30,rail,3
47,15,126,road,5
63,26,102,air,1
12,55,17,road,2
30,27,131,road,4
70,5,52,air,4
24,36,22,road,3
29,7,26,air,1
27,13,27,road,5
17,50,30,rail,1
41,38,117,road,1
17,15,121,air,3
59,46,91,rail,5
34,12,127,rail,2
26,1,57,rail,4
40,5,91,road,1
59,37,131,rail,5
9,59,53,rail,3
68,0,3,rail,2
53,14,87,air,1
38,2,146,rail,2
29,54,64,road,1
26,56,12,rail,3
22,48,25,rail,2
45,15,48,rail,3
28,22,75,road,5
41,46,31,rail,2
2,7,137,rail,1
63,41,67,air,5
52,65,77,rail,4
70,8,90,rail,4
35,2,12,rail,2
68,50,10,air,2
13,9,1,road,1
65,60,29,air,4
29,19,41,air,2
57,55,55,air,3
22,1,80,air,5
2,51,69,road,1
13,9,41,road,2
21,55,132,air,2
9,39,92,road,5
50,30,20,rail,5
25,3,121,air,1
10,69,46,road,1
58,10,104,air,5
31,16,120,road,2
58,43,55,air,4
56,48,5,rail,2
0,62,51,road,1
21,8,32,air,3
17,24,88,air,5
34,24,134,road,5
65,33,117,air,4
