sku_id,category,base_price,current_stock,min_stock_threshold,day_of_week,hour_of_day,recent_demand_7d,competitor_price,discount_pct,urgency_score
SKU00118,personal_care,721.55,109,34,0,0,146,703.35,21.1,0.839
SKU00119,food,235.08,173,92,4,20,58,217.55,16.2,0.596
SKU00120,household,621.61,66,27,0,16,146,514.92,3.6,0.885
SKU00121,electronics,2943.18,114,86,3,7,75,2808.59,11.6,0.774
SKU00122,household,747.4,82,114,6,14,153,736.0,17.2,1.399
SKU00123,clothing,570.11,99,92,2,15,98,676.23,37.9,0.852
SKU00124,electronics,3000.0,47,45,1,2,82,3251.59,15.6,0.797
SKU00125,food,224.48,335,93,2,19,137,184.95,5.3,0.786
SKU00126,electronics,3827.84,497,43,6,8,40,3586.63,6.7,0.303
SKU00127,food,293.0,25,113,0,19,136,303.37,8.6,2.717
SKU00128,clothing,1801.98,491,111,2,4,71,1559.04,30.5,0.497
SKU00129,household,511.99,315,110,2,5,78,503.54,3.8,0.586
SKU00130,household,689.22,60,68,2,11,26,633.2,18.7,0.761
SKU00131,household,441.85,267,120,4,7,119,366.05,22.6,0.8
SKU00132,food,162.73,240,73,4,21,161,177.15,39.8,0.795
SKU00133,food,82.97,350,63,4,16,30,86.74,10.3,0.21
SKU00134,food,50.98,210,89,5,13,153,48.51,39.4,0.923
SKU00135,electronics,3924.68,249,76,0,7,28,4168.31,37.7,0.264
SKU00136,personal_care,1124.84,44,91,1,8,117,1021.95,12.0,1.579
SKU00137,food,65.46,195,109,0,16,105,60.56,3.2,0.798
SKU00138,food,105.86,487,69,0,8,89,120.99,38.8,0.427
SKU00139,personal_care,441.12,498,79,6,4,180,408.47,28.8,0.899
SKU00140,personal_care,819.76,114,53,4,2,142,805.08,31.8,0.898
SKU00141,electronics,3104.04,427,40,2,21,150,2999.85,23.2,0.747
SKU00142,personal_care,814.24,57,116,0,6,59,703.68,22.3,1.336
SKU00143,household,555.88,71,102,5,14,172,592.62,26.4,1.396
SKU00144,household,702.75,68,22,1,23,53,662.16,38.3,0.471
SKU00145,clothing,1185.2,401,115,2,18,55,1317.61,21.6,0.363
SKU00146,household,516.66,110,79,2,5,136,615.62,26.9,0.9
SKU00147,electronics,1891.5,277,94,4,16,56,1544.02,25.1,0.493
SKU00148,electronics,1240.44,422,120,0,11,62,1042.14,18.6,0.49
SKU00149,personal_care,869.94,99,96,0,7,82,849.9,26.5,0.908
SKU00150,household,50.78,335,24,0,15,73,56.62,21.4,0.328
SKU00151,personal_care,501.34,113,87,0,14,86,518.74,3.6,0.726
SKU00152,household,792.03,42,100,0,21,74,666.26,21.7,1.559
SKU00153,food,268.51,137,100,3,14,58,305.03,7.2,0.594
SKU00154,clothing,1916.2,246,55,5,19,208,1667.46,29.8,1.043
SKU00155,electronics,4164.22,56,41,3,22,50,4645.31,17.2,0.56
SKU00156,electronics,4367.27,434,67,6,18,191,3686.53,26.8,0.941
SKU00157,food,249.59,166,64,3,4,38,297.22,27.6,0.344
SKU00158,household,125.45,408,55,5,21,101,144.02,17.9,0.471
SKU00159,household,557.73,80,32,6,9,93,558.29,1.3,0.57
SKU00160,electronics,3061.09,185,95,4,20,126,3187.01,24.6,0.759
SKU00161,electronics,4291.2,184,88,4,0,31,4667.38,19.2,0.362
SKU00162,electronics,2915.74,345,93,4,3,120,3157.48,33.2,0.614
SKU00163,household,294.91,144,89,3,2,42,242.22,23.3,0.575
SKU00164,electronics,4323.62,204,96,0,6,55,4906.65,27.8,0.454
SKU00165,household,576.72,293,52,1,18,161,517.5,34.6,0.832
SKU00166,food,219.18,333,31,0,23,98,194.52,5.6,0.538
SKU00167,personal_care,75.69,36,53,0,18,111,86.18,37.0,1.16
SKU00168,personal_care,765.47,460,115,6,6,92,824.5,37.3,0.493
SKU00169,clothing,1159.71,365,49,1,7,80,971.81,32.8,0.487
SKU00170,food,296.86,481,106,1,11,96,299.31,33.5,0.494
SKU00171,personal_care,966.76,53,60,4,21,191,942.69,6.1,1.42
SKU00172,electronics,3234.48,202,93,5,22,188,3676.71,16.4,0.981
SKU00173,clothing,2123.9,231,72,4,9,97,2353.07,27.6,0.543
SKU00174,electronics,1791.11,352,72,5,6,214,1723.73,2.7,1.058
SKU00175,household,60.37,477,118,6,19,84,67.55,38.4,0.459
SKU00176,clothing,2091.3,221,62,3,0,71,1806.29,9.7,0.524
SKU00177,food,183.6,488,91,1,21,170,182.0,8.6,0.873
SKU00178,clothing,643.38,458,110,1,10,77,688.38,2.8,0.428
SKU00179,electronics,2182.05,452,76,5,3,180,2602.89,19.6,0.804
SKU00180,personal_care,1008.97,116,37,4,5,146,1119.21,5.9,0.742
SKU00181,personal_care,123.33,230,68,1,20,47,119.06,32.0,0.435
SKU00182,electronics,519.64,399,33,4,13,90,494.03,19.1,0.501
SKU00183,clothing,559.55,166,79,3,2,73,653.46,2.2,0.529
SKU00184,electronics,2136.31,27,83,5,6,94,1720.72,23.7,1.958
SKU00185,household,678.67,157,111,1,9,128,574.63,36.0,0.963
SKU00186,clothing,379.03,0,71,0,11,47,426.76,39.0,1.688
SKU00187,personal_care,1131.74,88,83,2,21,46,1353.66,34.0,0.65
SKU00188,household,750.57,164,71,5,3,124,683.34,3.9,0.811
SKU00189,personal_care,1126.92,151,76,0,16,76,1176.75,5.3,0.554
SKU00190,clothing,810.06,468,27,3,14,74,764.17,24.2,0.425
SKU00191,household,341.0,39,59,1,14,60,382.09,6.1,0.978
SKU00192,household,316.23,225,44,4,17,131,284.74,22.7,0.721
SKU00193,personal_care,1131.27,301,35,3,15,132,1150.37,2.8,0.586
SKU00194,household,143.02,372,65,0,5,113,162.53,9.5,0.539
SKU00195,electronics,2880.17,153,115,3,2,72,3246.7,26.2,0.661
SKU00196,clothing,367.15,285,34,0,9,84,427.87,30.1,0.395
SKU00197,food,116.39,285,75,4,12,97,119.51,1.9,0.519
SKU00198,household,311.95,116,94,2,11,75,322.38,22.2,0.702
SKU00199,clothing,236.34,231,109,5,3,102,226.29,12.7,0.743
SKU00200,clothing,2418.34,340,49,2,16,76,2373.59,20.5,0.476
SKU00201,personal_care,968.18,38,83,5,11,109,943.4,4.6,1.6
SKU00202,household,201.16,58,21,4,20,154,165.83,15.8,0.894
SKU00203,electronics,3288.09,146,97,5,7,157,3473.31,17.4,0.958
SKU00204,personal_care,701.15,426,25,5,15,177,705.64,39.3,0.737
SKU00205,food,55.04,16,24,0,15,67,65.06,19.1,0.974
SKU00206,electronics,3082.88,482,47,4,13,120,3309.99,2.8,0.529
SKU00207,household,152.01,258,25,3,16,66,164.94,15.6,0.312
SKU00208,personal_care,901.71,368,35,6,6,154,876.98,25.2,0.763
SKU00209,household,93.69,468,111,0,3,91,98.06,10.7,0.482
SKU00210,household,553.47,96,37,2,18,138,605.84,30.8,0.743
SKU00211,household,161.96,213,89,3,9,75,194.03,13.1,0.508
SKU00212,electronics,898.33,376,91,3,23,108,1007.57,6.8,0.553
SKU00213,personal_care,687.75,467,84,0,20,178,671.88,36.6,0.902
SKU00214,clothing,2231.69,287,108,2,8,19,2115.52,26.8,0.364
SKU00215,household,308.65,402,85,4,14,149,329.08,4.0,0.701
SKU00216,household,572.36,414,21,3,10,130,622.15,17.1,0.545
SKU00217,food,177.31,174,66,5,14,148,153.72,37.2,0.881
SKU00218,clothing,222.38,103,46,4,22,80,205.71,23.4,0.641
SKU00219,personal_care,190.03,314,82,6,9,89,201.58,18.5,0.486
SKU00220,electronics,1270.42,457,106,2,16,84,1379.63,34.3,0.452
SKU00221,clothing,541.12,356,58,2,13,101,446.29,18.0,0.585
SKU00222,electronics,4085.16,468,104,0,15,93,4592.99,10.1,0.483
SKU00223,electronics,1646.79,496,42,3,8,60,1718.79,18.1,0.282
SKU00224,food,222.32,305,31,5,3,189,203.74,38.8,0.907
SKU00225,personal_care,389.28,44,46,3,10,122,417.94,24.7,0.999
SKU00226,food,174.15,338,114,6,6,113,192.43,9.7,0.62
SKU00227,household,65.76,335,69,0,8,152,75.11,29.2,0.711
SKU00228,household,454.1,381,97,5,4,139,414.02,7.8,0.783
SKU00229,personal_care,641.35,366,100,4,17,111,692.65,29.4,0.58
SKU00230,clothing,1216.2,477,46,4,1,85,1392.18,16.7,0.388
SKU00231,electronics,2087.9,156,24,6,9,172,1762.68,18.6,0.864
SKU00232,clothing,585.53,157,42,0,18,69,562.23,18.3,0.509
SKU00233,household,428.34,322,86,1,1,161,483.7,32.5,0.777
SKU00234,electronics,2439.99,223,78,2,21,69,2866.32,29.9,0.45
SKU00235,electronics,3112.56,37,23,3,13,104,3089.59,31.9,0.819
SKU00236,personal_care,330.24,433,62,0,15,98,385.69,10.7,0.463
SKU00237,household,429.24,44,82,0,6,54,409.48,2.5,1.227
SKU00238,food,65.89,352,93,5,6,137,58.74,2.2,0.78
SKU00239,clothing,489.71,244,103,0,22,106,401.02,7.4,0.734
SKU00240,food,52.34,271,28,6,9,61,44.71,30.0,0.395
SKU00241,household,81.92,362,82,6,5,114,85.68,30.3,0.569
SKU00242,clothing,1430.98,194,100,2,8,79,1330.1,0.8,0.672
SKU00243,food,86.64,386,76,6,0,187,69.78,16.5,0.946
SKU00244,household,105.22,466,68,2,3,76,101.92,22.5,0.477
SKU00245,clothing,430.49,33,45,4,10,49,450.13,20.2,0.858
SKU00246,clothing,1244.21,219,83,1,17,43,1265.82,20.6,0.361
SKU00247,personal_care,877.48,449,85,6,15,163,1037.84,35.9,0.746
SKU00248,household,51.12,232,20,1,1,69,45.3,24.4,0.419
SKU00249,household,775.06,124,50,3,20,126,700.35,18.5,0.804
SKU00250,personal_care,950.02,364,46,1,10,129,950.93,19.3,0.579
SKU00251,clothing,2473.69,166,34,2,23,24,2619.37,22.0,0.198
SKU00252,personal_care,560.65,486,66,5,23,156,469.27,31.7,0.792
SKU00253,food,188.93,344,105,1,12,48,207.03,28.2,0.344
SKU00254,clothing,1832.99,74,35,1,20,82,1725.37,25.3,0.661
SKU00255,clothing,1007.78,316,72,0,18,156,978.29,21.0,0.838
SKU00256,clothing,1935.92,278,114,1,8,110,1852.89,36.0,0.744
SKU00257,electronics,2688.31,21,106,2,10,33,3133.2,22.3,2.541
SKU00258,food,88.45,49,36,1,0,82,89.94,35.7,0.688
SKU00259,personal_care,862.27,488,88,2,16,143,841.36,16.1,0.762
SKU00260,clothing,2372.25,346,100,0,0,95,2732.12,7.5,0.524
SKU00261,electronics,1929.67,372,114,2,7,77,1578.85,7.0,0.561
SKU00262,electronics,3389.86,151,106,6,16,134,2727.78,0.7,0.985
SKU00263,electronics,4583.1,234,109,4,9,61,4589.75,20.8,0.476
SKU00264,clothing,573.36,22,37,4,6,143,646.53,19.2,1.376
SKU00265,food,46.89,391,46,0,9,100,48.56,10.8,0.459
SKU00266,household,652.69,351,44,0,5,94,697.62,6.9,0.439
SKU00267,clothing,1398.55,16,34,6,13,131,1655.19,8.5,1.524
SKU00268,clothing,1558.67,389,49,3,20,105,1322.46,18.3,0.583
SKU00269,clothing,2142.16,153,48,4,9,172,2304.31,23.6,0.844
SKU00270,personal_care,641.14,315,107,0,11,87,686.82,13.0,0.517
SKU00271,personal_care,764.84,27,86,4,3,81,885.86,15.2,1.86
SKU00272,electronics,595.26,185,87,6,20,134,675.44,22.2,0.77
SKU00273,food,128.68,83,88,0,4,38,104.7,33.3,0.776
SKU00274,food,112.09,130,109,2,18,164,100.17,6.5,1.172
SKU00275,electronics,1292.41,406,68,1,2,65,1433.98,39.6,0.344
SKU00276,household,458.7,178,87,0,5,88,521.33,34.9,0.595
SKU00277,household,732.17,369,116,1,21,94,616.17,16.8,0.633
SKU00278,personal_care,1043.21,131,22,5,18,189,1149.29,35.8,0.839
SKU00279,clothing,1825.11,306,85,3,20,156,1843.91,10.4,0.762
SKU00280,electronics,2137.91,59,40,3,15,108,1754.35,20.8,0.865
SKU00281,electronics,1770.97,489,23,5,22,134,1958.76,2.9,0.559
SKU00282,household,781.93,345,32,3,22,135,808.39,7.6,0.586
SKU00283,electronics,4768.39,96,95,2,18,71,3909.92,4.5,0.874
SKU00284,electronics,4668.06,401,34,0,23,119,4888.57,25.4,0.518
SKU00285,electronics,3746.49,366,46,5,23,101,3992.36,0.3,0.467
SKU00286,household,337.28,79,23,0,16,81,321.22,13.4,0.568
SKU00287,personal_care,151.21,1,28,1,1,164,121.95,3.8,7.756
SKU00288,personal_care,744.56,318,35,5,14,124,890.45,36.4,0.551
SKU00289,food,83.14,362,118,3,23,83,79.47,10.2,0.595
SKU00290,household,346.77,371,34,0,23,100,312.41,30.5,0.546
SKU00291,household,720.3,148,61,6,12,181,781.6,1.6,0.929
SKU00292,food,286.34,430,118,5,19,168,322.55,0.2,0.809
SKU00293,clothing,2168.64,492,28,4,9,67,2439.57,9.3,0.296
SKU00294,food,143.83,153,112,5,1,111,121.62,13.4,0.908
SKU00295,personal_care,422.22,207,104,2,13,109,365.17,6.7,0.786
SKU00296,personal_care,141.58,55,92,2,8,41,131.55,13.2,1.085
SKU00297,personal_care,994.38,393,101,2,22,192,1136.65,2.7,0.896
SKU00298,household,791.16,273,23,2,5,101,898.59,12.8,0.446
SKU00299,electronics,2961.63,142,84,3,4,151,2691.27,22.6,0.998
SKU00300,food,174.76,384,22,6,11,171,157.49,29.0,0.813
SKU00301,personal_care,690.27,63,90,4,11,83,719.97,19.2,1.035
SKU00302,food,153.11,172,56,2,11,53,150.03,11.2,0.474
SKU00303,electronics,1735.02,158,52,2,14,74,1432.51,18.9,0.56
SKU00304,personal_care,658.44,389,75,6,23,94,745.76,24.5,0.472
SKU00305,personal_care,506.79,199,109,1,11,31,509.74,1.1,0.397
SKU00306,household,170.97,130,67,1,14,75,179.63,24.8,0.556
SKU00307,food,73.97,316,59,5,22,148,61.05,13.1,0.785
SKU00308,clothing,1855.17,242,87,2,10,29,2065.04,2.4,0.295
SKU00309,electronics,2934.27,254,60,6,1,180,2797.1,7.3,0.938
SKU00310,personal_care,1039.27,81,119,6,21,149,984.9,32.5,1.422
SKU00311,personal_care,1138.51,7,110,5,17,110,1030.6,28.1,7.415
SKU00312,electronics,2579.81,333,49,6,9,95,2538.38,22.2,0.553
SKU00313,clothing,1092.15,371,21,5,8,88,1307.06,1.1,0.38
SKU00314,clothing,2099.6,495,27,3,21,153,1944.41,25.0,0.739
SKU00315,clothing,2477.05,253,31,4,17,100,2491.39,33.5,0.461
SKU00316,food,285.33,432,54,4,4,35,254.08,30.1,0.302
SKU00317,household,414.49,220,33,5,19,136,467.56,8.6,0.619
SKU00318,personal_care,192.75,100,71,3,16,153,186.66,39.5,1.063
SKU00319,clothing,1409.51,242,78,1,5,132,1506.16,21.8,0.688
SKU00320,electronics,3369.16,430,45,6,22,167,2856.1,0.7,0.82
SKU00321,personal_care,1001.68,364,108,4,11,58,1125.16,17.6,0.38
SKU00322,electronics,4402.86,123,95,4,3,74,4399.66,9.1,0.779
SKU00323,food,239.79,271,29,1,19,83,220.1,31.5,0.485
SKU00324,clothing,204.57,221,33,3,20,134,193.9,1.2,0.71
SKU00325,electronics,1487.28,111,90,3,1,24,1327.11,6.2,0.598
SKU00326,food,37.86,72,106,4,9,96,40.42,21.7,1.11
SKU00327,electronics,4917.76,359,40,6,21,223,5561.84,31.8,0.948
SKU00328,food,182.0,61,35,6,4,93,188.61,35.2,0.654
SKU00329,personal_care,981.92,187,37,1,17,65,1161.01,31.3,0.358
SKU00330,personal_care,1149.28,244,71,5,1,122,973.09,17.7,0.733
SKU00331,food,159.7,211,36,3,8,86,171.01,13.1,0.429
SKU00332,electronics,2165.57,116,23,0,22,129,2279.29,24.1,0.614
SKU00333,personal_care,220.88,301,75,6,19,138,201.39,34.5,0.776
SKU00334,personal_care,527.57,53,76,3,23,106,441.63,32.6,1.228
SKU00335,household,116.48,44,104,3,20,109,130.53,16.0,1.592
SKU00336,clothing,624.09,103,66,0,11,68,517.5,22.7,0.689
SKU00337,household,199.7,396,107,3,3,70,212.2,32.6,0.415
SKU00338,food,20.16,77,113,4,21,107,21.62,25.7,1.152
SKU00339,household,152.92,18,52,3,11,105,141.41,34.6,1.888
SKU00340,clothing,2113.55,361,47,6,11,169,2350.32,36.0,0.741
SKU00341,clothing,349.52,25,115,6,0,129,329.72,3.6,2.828
SKU00342,food,239.14,399,95,2,3,106,269.83,2.3,0.543
SKU00343,electronics,1346.05,304,30,3,18,77,1121.77,39.2,0.457
SKU00344,clothing,388.13,280,99,5,11,97,418.55,34.9,0.564
SKU00345,food,146.17,260,21,6,4,157,158.41,4.8,0.668
SKU00346,clothing,2038.37,90,46,5,3,176,2193.61,34.6,0.957
SKU00347,food,153.87,134,114,3,22,161,176.6,25.9,1.066
SKU00348,household,769.19,217,55,1,17,142,746.01,10.1,0.794
SKU00349,clothing,1307.32,277,70,4,22,32,1529.27,36.0,0.254
SKU00350,food,263.49,12,77,4,8,60,218.75,18.9,3.302
SKU00351,electronics,4385.9,181,48,1,11,137,3844.38,1.4,0.78
SKU00352,clothing,1267.91,145,47,2,11,29,1374.17,37.6,0.277
SKU00353,food,225.62,271,103,1,14,71,233.92,31.5,0.473
SKU00354,clothing,1523.17,226,76,4,10,10,1321.28,26.5,0.307
SKU00355,personal_care,1158.22,180,110,4,8,166,1065.93,10.9,1.068
SKU00356,electronics,3131.09,396,62,1,1,32,2787.48,39.0,0.306
SKU00357,food,234.8,350,26,3,19,99,246.61,9.2,0.433
SKU00358,household,702.7,72,79,1,13,33,609.22,1.1,0.773
SKU00359,clothing,796.69,199,101,1,23,151,798.61,29.1,0.857
SKU00360,personal_care,301.7,184,82,2,15,15,355.79,19.7,0.282
SKU00361,food,224.9,219,26,2,16,157,209.02,21.2,0.787
SKU00362,clothing,2267.12,417,85,6,0,154,2507.57,12.9,0.718
SKU00363,personal_care,1000.43,24,119,5,1,119,951.45,15.4,2.956
SKU00364,electronics,2308.3,460,22,5,12,102,1882.23,14.3,0.532
SKU00365,household,196.83,272,60,1,21,51,162.57,10.7,0.414
SKU00366,electronics,774.08,243,107,4,16,90,738.62,9.9,0.679
SKU00367,food,216.31,14,24,0,3,62,187.59,7.5,1.148
SKU00368,electronics,1352.92,232,107,1,8,26,1360.15,23.5,0.334
SKU00369,electronics,627.44,139,72,1,18,149,675.65,39.5,0.853
SKU00370,clothing,819.24,145,77,2,1,84,929.27,3.4,0.6
SKU00371,personal_care,1190.94,367,79,1,1,109,1245.19,22.1,0.543
SKU00372,food,192.18,410,83,4,17,145,163.15,30.4,0.781
SKU00373,personal_care,650.83,469,84,2,1,97,743.59,32.5,0.477
SKU00374,food,238.73,233,54,4,16,63,222.34,40.0,0.467
SKU00375,electronics,953.18,453,69,3,12,94,852.17,23.5,0.552
SKU00376,electronics,3636.92,100,51,1,14,21,4361.48,16.3,0.336
SKU00377,food,248.01,271,78,1,3,68,283.89,14.7,0.415
SKU00378,household,251.87,500,111,0,5,64,294.04,25.9,0.367
SKU00379,electronics,821.55,265,102,4,20,200,767.81,37.0,1.092
SKU00380,clothing,1102.59,195,103,6,22,153,1180.56,26.9,0.875
SKU00381,food,141.86,97,58,6,12,43,119.12,17.2,0.568
SKU00382,household,212.49,381,118,5,7,206,236.06,14.1,0.978
SKU00383,household,659.87,279,108,0,16,60,680.88,17.7,0.433
