departure_id,from_hub,to_hub,travel_time_min,departure_time_min,route_id,vehicle_id,is_express,next_departure_index
67,H25,H08,88,1171,R016,V056,False,1186
68,H25,H11,51,864,R033,V136,False,891
69,H06,H12,43,820,R005,V036,False,839
70,H19,H09,25,486,R006,V060,False,515
71,H01,H25,33,662,R008,V097,False,688
72,H24,H06,52,206,R049,V116,True,225
73,H06,H11,81,1342,R014,V146,False,1359
74,H25,H24,49,955,R014,V110,False,981
75,H22,H02,75,1287,R022,V078,True,1311
76,H22,H05,16,1207,R012,V010,True,1232
77,H22,H08,25,448,R020,V029,True,474
78,H16,H11,57,245,R006,V104,False,263
79,H14,H19,43,848,R030,V139,False,874
80,H05,H07,98,20,R024,V029,False,43
81,H23,H10,66,1316,R039,V038,True,1343
82,H20,H14,40,755,R033,V093,False,771
83,H07,H02,62,224,R030,V119,False,243
84,H18,H14,78,1304,R027,V016,False,1321
85,H23,H09,79,848,R003,V149,True,871
86,H14,H23,88,1022,R020,V122,False,1052
87,H13,H16,49,1071,R002,V033,True,1098
88,H13,H12,80,210,R047,V154,False,225
89,H05,H06,61,983,R040,V126,True,999
90,H10,H06,33,1193,R007,V198,False,1211
91,H15,H21,80,912,R029,V111,True,941
92,H25,H17,27,297,R034,V011,False,319
93,H13,H16,78,1045,R022,V095,False,1067
94,H10,H06,42,161,R018,V060,False,179
95,H23,H12,40,11,R037,V157,False,33
96,H09,H17,51,626,R002,V170,False,653
97,H02,H12,39,730,R021,V200,False,750
98,H04,H17,99,233,R015,V002,False,252
99,H09,H01,52,30,R010,V187,True,51
100,H21,H06,64,413,R011,V192,False,440
101,H24,H08,73,979,R030,V157,False,1008
102,H14,H25,45,1091,R014,V009,False,1120
103,H22,H17,21,1041,R014,V043,True,1069
104,H22,H13,63,798,R036,V050,False,826
105,H02,H04,78,662,R035,V133,True,684
106,H05,H20,85,314,R041,V112,False,333
107,H21,H19,45,840,R042,V073,False,855
108,H04,H16,16,1413,R043,V040,True,1429
109,H06,H13,45,691,R006,V182,False,707
110,H23,H14,62,1387,R022,V062,True,1406
111,H01,H10,67,1137,R014,V005,True,1156
112,H07,H20,84,1168,R040,V136,True,1198
113,H19,H10,85,1373,R043,V114,False,1397
114,H05,H12,78,352,R002,V138,True,372
115,H23,H03,80,40,R019,V133,True,62
116,H16,H08,70,581,R046,V145,False,610
117,H21,H15,33,1298,R029,V116,True,1315
118,H22,H09,46,511,R044,V075,False,537
119,H23,H20,84,202,R011,V011,True,226
120,H11,H13,93,922,R008,V006,False,949
121,H16,H25,63,1033,R028,V074,False,1054
122,H23,H24,38,1043,R046,V029,False,1063
123,H08,H21,28,934,R047,V172,True,964
124,H11,H14,85,1398,R024,V151,False,1420
125,H04,H21,37,1199,R037,V055,False,1217
126,H04,H25,72,696,R019,V195,False,716
127,H02,H05,30,1318,R037,V018,False,1334
128,H03,H18,81,102,R029,V038,False,122
129,H08,H15,90,1018,R031,V025,False,1046
130,H22,H09,96,526,R024,V113,False,549
131,H03,H12,89,98,R030,V108,False,113
132,H02,H23,82,1065,R046,V160,False,1084
133,H25,H22,26,108,R026,V064,False,124
134,H06,H14,90,1060,R034,V010,False,1087
135,H12,H24,101,157,R036,V057,False,182
136,H17,H19,48,557,R048,V195,True,580
137,H22,H02,67,1393,R008,V038,False,1413
138,H16,H14,76,426,R029,V130,True,447
139,H11,H23,66,1057,R032,V112,False,1082
140,H03,H16,57,1147,R012,V005,False,1171
141,H16,H21,91,584,R005,V191,False,605
142,H15,H03,50,1093,R019,V152,True,1114
143,H12,H24,47,278,R001,V105,False,294
144,H21,H02,34,910,R030,V045,False,926
145,H20,H23,86,159,R047,V083,True,187
146,H15,H13,24,927,R011,V080,False,954
147,H22,H23,75,1409,R017,V124,True,1430
148,H02,H03,75,1378,R016,V051,True,1397
149,H04,H24,72,1415,R028,V056,True,1435
150,H21,H04,75,483,R034,V016,False,503
151,H05,H20,73,631,R040,V138,True,648
152,H04,H01,15,728,R049,V182,True,754
153,H03,H20,50,757,R011,V024,False,774
154,H11,H13,63,116,R025,V179,False,143
155,H10,H17,61,587,R032,V056,False,611
156,H14,H11,48,157,R003,V100,True,175
157,H17,H22,26,118,R014,V160,False,139
158,H21,H19,28,199,R003,V007,False,218
159,H06,H03,58,226,R047,V094,False,253
160,H25,H17,25,392,R037,V036,True,417
161,H20,H06,39,726,R034,V098,False,749
162,H20,H18,50,610,R031,V110,False,637
163,H24,H11,31,567,R048,V100,False,589
164,H25,H03,36,1188,R038,V085,False,1207
165,H06,H18,59,988,R048,V087,False,1003
166,H18,H24,49,368,R044,V064,False,383
167,H10,H21,79,982,R021,V131,False,1007
168,H21,H10,96,878,R043,V097,False,902
169,H17,H12,90,1337,R006,V031,True,1362
170,H02,H24,81,228,R045,V023,True,251
171,H15,H04,76,42,R035,V008,True,65
172,H13,H09,96,244,R038,V140,False,274
173,H20,H10,105,1083,R038,V091,False,1103
174,H02,H14,32,725,R033,V065,True,741
175,H16,H03,60,1108,R023,V080,True,1135
176,H04,H17,40,1192,R017,V102,False,1214
177,H12,H14,99,237,R036,V071,False,260
178,H03,H15,67,944,R010,V115,False,961
179,H03,H24,55,952,R001,V131,False,969
180,H07,H16,80,122,R050,V195,False,146
181,H01,H19,95,1088,R032,V158,False,1107
182,H15,H01,52,192,R041,V043,False,221
183,H15,H16,57,1177,R048,V092,False,1192
184,H01,H16,58,1098,R003,V111,False,1118
185,H21,H12,53,1211,R027,V112,False,1238
186,H11,H24,61,902,R015,V198,False,923
187,H11,H10,51,650,R039,V113,False,675
188,H05,H25,84,710,R045,V160,False,730
189,H18,H17,53,554,R019,V066,False,576
190,H07,H21,93,93,R008,V021,False,112
191,H06,H04,95,668,R034,V069,False,686
192,H09,H01,99,1137,R047,V043,False,1161
193,H19,H16,90,230,R032,V094,False,251
194,H07,H06,68,1024,R015,V152,False,1039
195,H18,H05,71,745,R050,V043,False,761
196,H25,H23,65,978,R023,V157,True,1007
197,H09,H25,45,884,R048,V186,False,911
198,H08,H18,43,333,R039,V028,False,352
199,H09,H21,34,1091,R038,V030,False,1116
200,H01,H18,74,190,R016,V081,True,209
201,H04,H12,83,144,R008,V074,False,167
202,H19,H04,81,694,R030,V110,False,721
203,H02,H23,108,5,R027,V005,False,24
204,H04,H11,73,96,R019,V093,False,114
205,H21,H03,23,967,R023,V185,True,992
206,H22,H11,64,1209,R005,V025,False,1233
207,H12,H16,88,681,R031,V120,False,707
208,H01,H22,38,288,R023,V065,True,317
209,H24,H23,70,1277,R014,V102,False,1303
210,H01,H21,58,252,R006,V011,True,274
211,H14,H19,86,479,R027,V055,True,494
212,H02,H09,80,988,R009,V064,False,1006
213,H10,H19,62,533,R008,V001,True,551
214,H22,H07,20,1407,R014,V090,True,1428
215,H18,H01,27,1175,R047,V071,False,1205
216,H09,H12,48,1170,R005,V152,False,1193
217,H22,H02,51,1439,R028,V011,False,1455
218,H19,H08,89,641,R032,V149,True,665
219,H01,H21,59,1007,R026,V004,False,1032
220,H10,H08,37,296,R028,V150,False,325
221,H20,H12,17,38,R008,V083,True,60
222,H10,H06,86,30,R012,V169,False,58
223,H11,H05,94,575,R034,V138,False,592
224,H09,H02,29,1235,R024,V101,False,1254
225,H17,H24,62,919,R018,V022,False,938
226,H02,H08,100,1216,R045,V195,False,1246
227,H20,H17,78,1345,R031,V074,False,1373
228,H15,H05,67,352,R023,V132,False,375
229,H02,H04,60,745,R030,V148,False,764
230,H22,H19,67,359,R002,V055,False,379
231,H09,H01,56,990,R001,V172,False,1016
232,H23,H21,87,1318,R003,V130,False,1333
233,H01,H05,90,4,R028,V026,False,27
234,H18,H21,82,147,R047,V030,False,171
235,H09,H11,43,702,R008,V025,True,727
236,H21,H16,65,576,R012,V051,False,599
237,H20,H02,95,248,R045,V111,False,268
238,H13,H08,27,1087,R043,V177,False,1112
239,H12,H04,50,510,R006,V127,False,529
240,H10,H25,76,736,R042,V062,True,757
241,H19,H23,99,1189,R015,V044,False,1210
242,H10,H15,59,1220,R004,V008,True,1240
243,H23,H21,23,1075,R008,V001,True,1095
244,H19,H15,95,65,R013,V069,False,83
245,H09,H05,52,723,R049,V086,False,752
246,H15,H09,48,828,R025,V100,False,850
247,H10,H05,35,122,R034,V097,True,147
248,H15,H08,69,316,R034,V185,False,334
249,H03,H02,55,574,R045,V194,False,593
250,H24,H06,93,861,R026,V080,False,884
251,H05,H14,106,93,R048,V104,False,113
252,H17,H09,65,1266,R004,V097,True,1296
253,H12,H08,64,221,R037,V174,False,247
254,H01,H23,81,1198,R011,V175,False,1224
255,H23,H14,108,426,R021,V167,False,448
256,H16,H23,85,656,R030,V188,False,682
257,H11,H16,89,1399,R034,V162,False,1419
258,H20,H23,63,969,R048,V123,True,999
259,H16,H22,92,613,R034,V058,False,642
260,H23,H19,82,346,R031,V166,True,367
261,H17,H20,47,822,R026,V049,False,842
262,H09,H25,61,1324,R041,V044,False,1345
263,H21,H11,60,534,R019,V096,True,557
264,H13,H22,39,130,R019,V121,False,155
265,H20,H03,71,939,R027,V020,False,956
266,H13,H10,101,204,R047,V147,False,223
267,H06,H04,65,955,R013,V094,False,975
268,H04,H08,44,744,R008,V121,True,761
269,H05,H10,32,916,R030,V181,False,934
270,H24,H07,45,200,R034,V070,False,223
271,H22,H23,81,332,R036,V124,True,359
272,H06,H22,63,257,R006,V097,False,284
273,H10,H17,72,1361,R006,V119,False,1388
274,H01,H02,48,1429,R017,V067,False,1455
275,H06,H20,30,1263,R003,V026,False,1278
276,H09,H22,57,844,R015,V068,False,874
277,H21,H25,39,688,R018,V103,False,703
278,H03,H06,87,358,R023,V013,False,386
279,H22,H10,95,1025,R039,V044,False,1054
280,H22,H18,86,181,R035,V019,True,211
281,H01,H14,59,506,R045,V116,False,522
282,H21,H04,89,91,R021,V099,False,107
283,H19,H02,60,1349,R029,V099,False,1377
284,H23,H09,21,555,R009,V017,False,578
285,H15,H20,51,169,R043,V030,False,196
286,H19,H05,28,972,R020,V081,False,997
287,H14,H11,90,38,R030,V009,False,58
288,H08,H07,20,1214,R002,V007,True,1243
289,H15,H08,46,429,R035,V183,False,454
290,H18,H24,86,1154,R031,V180,False,1181
291,H01,H18,56,1229,R032,V133,False,1247
292,H15,H24,93,868,R032,V136,False,889
293,H04,H25,46,992,R002,V003,True,1022
294,H01,H15,54,1123,R034,V053,False,1139
295,H11,H24,69,1412,R019,V043,False,1441
296,H15,H01,27,1184,R040,V146,False,1214
297,H18,H25,57,49,R037,V038,True,74
298,H16,H12,93,341,R040,V142,False,360
299,H18,H16,61,1379,R018,V097,False,1394
300,H10,H03,81,900,R023,V100,False,918
301,H21,H02,82,482,R016,V093,False,504
302,H04,H12,39,704,R014,V122,False,730
303,H24,H23,42,844,R015,V028,False,864
304,H09,H24,21,288,R019,V023,True,308
305,H05,H14,48,733,R034,V125,False,758
306,H15,H18,91,578,R011,V025,False,602
307,H08,H21,86,900,R009,V056,True,926
308,H20,H15,83,1237,R027,V113,False,1256
309,H02,H22,61,1404,R006,V164,False,1422
310,H04,H21,88,224,R031,V011,False,247
311,H25,H04,25,1041,R012,V101,False,1069
312,H06,H05,56,684,R038,V023,False,710
313,H03,H10,64,1287,R012,V200,False,1315
314,H06,H17,42,751,R042,V166,False,775
315,H23,H21,45,1026,R045,V136,True,1049
316,H21,H08,31,179,R048,V161,False,202
317,H17,H14,83,554,R008,V183,False,582
318,H11,H24,58,649,R029,V101,False,673
319,H05,H11,49,248,R050,V147,False,274
320,H24,H18,21,788,R012,V170,True,807
321,H16,H23,31,746,R024,V196,False,771
322,H02,H08,100,294,R050,V023,False,309
323,H05,H24,82,512,R038,V173,True,527
324,H22,H13,72,1356,R021,V136,False,1385
325,H03,H21,60,234,R013,V086,False,258
326,H05,H18,67,1077,R020,V152,False,1094
327,H12,H21,96,167,R004,V112,False,195
328,H10,H09,81,615,R035,V012,False,636
329,H01,H06,48,302,R036,V165,True,320
330,H21,H12,61,68,R012,V182,True,95
331,H08,H20,27,926,R048,V148,False,950
332,H05,H04,88,625,R012,V184,False,644
333,H24,H16,102,1150,R005,V092,False,1172
334,H09,H01,66,35,R043,V188,False,63
335,H02,H10,55,1010,R017,V130,False,1035
336,H11,H03,47,308,R022,V070,True,332
337,H24,H14,52,719,R011,V117,False,747
338,H13,H17,92,1156,R044,V149,False,1179
339,H15,H16,77,1261,R030,V023,False,1288
340,H08,H01,60,177,R032,V039,False,193
341,H08,H02,63,501,R004,V065,False,520
342,H13,H20,73,1204,R028,V194,False,1223
343,H09,H13,75,1293,R012,V036,False,1319
344,H13,H03,49,928,R039,V016,False,945
345,H08,H14,32,1006,R023,V110,False,1029
346,H02,H05,58,1311,R044,V004,True,1340
347,H05,H09,80,738,R042,V148,False,766
348,H08,H05,64,568,R049,V011,False,587
349,H04,H20,75,405,R017,V174,False,424
350,H04,H20,96,1335,R023,V064,False,1365
351,H01,H13,36,525,R011,V049,False,544
352,H19,H22,67,899,R027,V190,False,915
353,H25,H01,58,643,R048,V190,False,667
354,H16,H11,39,1252,R033,V161,True,1276
355,H18,H02,51,1062,R010,V001,False,1083
356,H04,H16,24,624,R006,V033,True,648
357,H11,H09,93,1004,R003,V106,False,1029
358,H07,H23,83,434,R041,V028,False,462
359,H20,H05,62,1010,R020,V134,False,1029
360,H02,H06,102,201,R045,V069,False,229
361,H10,H17,18,74,R032,V178,True,104
362,H10,H01,29,779,R035,V197,False,803
363,H10,H04,93,1397,R025,V118,False,1412
364,H25,H24,94,179,R043,V017,False,205
365,H02,H09,94,394,R019,V080,False,413
366,H24,H01,26,551,R029,V059,True,576
367,H02,H18,90,988,R050,V009,False,1005
368,H07,H25,54,691,R027,V083,False,710
369,H25,H09,50,197,R047,V110,False,216
370,H24,H16,72,485,R005,V157,False,501
371,H02,H16,55,134,R048,V089,False,153
372,H14,H03,68,28,R035,V179,False,49
373,H08,H04,88,1122,R027,V188,False,1143
374,H01,H20,53,595,R002,V195,True,616
375,H10,H07,99,1325,R016,V072,False,1344
376,H16,H07,27,844,R024,V017,False,866
377,H02,H19,47,258,R050,V017,True,285
378,H18,H21,60,866,R038,V123,False,886
379,H12,H07,64,1117,R029,V041,False,1143
380,H02,H17,96,87,R034,V101,False,111
381,H24,H01,49,727,R017,V185,False,755
382,H05,H03,75,578,R017,V126,True,595
383,H20,H25,59,1283,R027,V026,True,1307
384,H08,H21,91,125,R015,V157,False,144
385,H16,H22,69,1211,R043,V150,False,1236
386,H17,H07,73,71,R046,V197,False,97
387,H18,H19,101,230,R023,V048,False,253
388,H19,H03,51,1359,R040,V097,False,1377
389,H09,H24,69,396,R028,V121,False,421
390,H05,H17,70,1400,R013,V067,False,1416
391,H04,H01,81,716,R016,V138,False,737
392,H25,H23,60,757,R045,V010,False,781
393,H24,H20,68,598,R006,V152,False,613
394,H06,H09,109,583,R023,V164,False,601
395,H06,H05,45,422,R029,V118,False,449
396,H02,H06,65,219,R003,V030,False,242
397,H03,H07,67,261,R021,V143,False,282
398,H03,H24,82,649,R002,V108,False,675
399,H10,H08,33,517,R011,V155,True,547
400,H15,H21,55,482,R016,V169,False,503
401,H13,H23,79,49,R012,V070,False,71
402,H07,H06,37,1219,R031,V102,True,1246
403,H01,H09,73,754,R028,V158,False,782
404,H12,H11,57,1120,R012,V105,False,1145
405,H13,H02,91,97,R019,V026,False,113
406,H14,H08,52,573,R005,V034,False,602
407,H20,H13,88,515,R020,V041,False,544
408,H12,H13,63,394,R021,V161,False,418
409,H24,H06,45,667,R009,V151,False,689
410,H03,H21,65,681,R011,V191,True,701
411,H08,H17,56,793,R029,V047,False,808
412,H03,H22,99,479,R004,V075,False,501
413,H03,H22,67,988,R023,V071,False,1018
414,H16,H08,90,1061,R020,V071,False,1088
415,H24,H09,32,285,R039,V121,False,313
416,H05,H24,83,1135,R040,V040,False,1158
417,H12,H11,69,900,R015,V155,True,919
418,H21,H14,98,891,R012,V111,False,907
419,H21,H13,99,788,R002,V135,False,805
420,H25,H22,29,898,R013,V068,False,916
421,H23,H05,36,717,R037,V095,False,738
422,H14,H11,79,518,R032,V179,False,534
423,H01,H21,73,1078,R024,V073,True,1106
424,H05,H21,82,465,R018,V072,False,493
425,H22,H11,68,1155,R029,V125,False,1171
426,H21,H01,76,1377,R050,V113,False,1401
427,H22,H06,39,966,R015,V018,True,991
428,H16,H11,40,51,R006,V105,False,66
429,H09,H06,71,484,R042,V047,False,500
430,H13,H07,43,1348,R026,V145,False,1376
431,H14,H17,65,277,R049,V071,False,306
432,H03,H19,73,387,R041,V090,False,417
433,H19,H22,102,870,R037,V089,False,885
434,H03,H07,77,565,R015,V111,False,580
435,H23,H04,36,914,R014,V139,False,938
436,H22,H10,69,656,R037,V155,False,676
437,H10,H19,102,436,R032,V097,False,461
438,H17,H16,34,1154,R049,V172,False,1179
439,H10,H17,25,293,R018,V198,False,309
440,H05,H14,36,117,R019,V006,False,136
441,H22,H05,24,453,R046,V118,True,469
442,H22,H17,49,634,R044,V058,True,657
443,H02,H01,45,55,R019,V037,False,76
444,H16,H08,62,1009,R040,V038,False,1037
445,H08,H23,21,136,R040,V147,True,165
446,H11,H19,39,724,R040,V010,False,749
447,H11,H09,38,910,R010,V190,False,928
448,H01,H24,52,949,R027,V084,False,965
449,H08,H23,39,608,R029,V172,True,635
450,H20,H05,92,291,R018,V136,False,315
451,H11,H05,59,1206,R002,V036,True,1226
452,H02,H20,56,930,R016,V177,True,954
453,H08,H17,36,638,R046,V072,False,666
454,H20,H09,24,368,R048,V080,False,397
455,H01,H13,76,348,R031,V016,False,373
456,H18,H24,43,190,R032,V075,False,208
457,H10,H13,30,1356,R015,V034,False,1381
458,H16,H05,54,168,R015,V021,False,193
459,H25,H05,70,27,R031,V085,False,52
460,H07,H04,66,97,R015,V140,False,114
461,H16,H01,45,367,R007,V171,True,393
462,H04,H14,77,1363,R042,V009,False,1393
463,H14,H17,61,574,R022,V140,False,594
464,H04,H21,60,612,R007,V140,True,633
465,H20,H06,43,140,R049,V157,False,157
466,H10,H05,103,1373,R014,V010,False,1403
467,H25,H24,52,974,R034,V127,False,991
468,H09,H04,90,515,R015,V058,False,534
469,H03,H10,57,1204,R005,V006,False,1231
470,H25,H13,84,607,R007,V163,False,632
471,H01,H09,79,1342,R039,V059,True,1364
472,H09,H23,87,1388,R009,V134,False,1404
473,H04,H07,51,1334,R014,V009,False,1363
474,H05,H01,95,563,R026,V050,False,585
475,H06,H19,60,628,R011,V187,False,644
476,H11,H09,61,246,R016,V090,True,272
477,H11,H19,42,1093,R020,V068,False,1118
478,H21,H12,36,1218,R031,V124,False,1237
479,H15,H20,48,370,R004,V096,False,393
480,H04,H01,85,105,R001,V076,False,127
481,H24,H20,80,801,R041,V005,True,824
482,H01,H17,86,79,R006,V023,True,103
483,H12,H21,44,693,R048,V126,False,714
484,H21,H19,58,728,R015,V128,False,750
485,H07,H12,39,1025,R033,V100,False,1044
486,H13,H17,74,1411,R003,V136,False,1427
487,H02,H06,20,165,R027,V193,True,189
488,H11,H07,91,388,R020,V007,False,409
489,H11,H21,59,558,R021,V048,False,579
490,H09,H07,49,1224,R046,V018,False,1244
491,H16,H13,25,906,R034,V194,True,926
492,H13,H05,58,1223,R023,V021,False,1252
493,H04,H14,59,294,R041,V108,False,323
494,H20,H15,56,1320,R046,V046,True,1345
495,H21,H23,89,1184,R046,V166,False,1207
496,H24,H04,53,490,R012,V100,False,506
497,H04,H11,63,1047,R027,V087,False,1065
498,H18,H15,81,1241,R045,V052,True,1261
499,H12,H16,79,976,R029,V023,False,995
500,H15,H14,84,510,R026,V186,False,540
501,H10,H03,70,609,R033,V035,False,628
502,H01,H13,66,236,R024,V051,False,254
503,H22,H05,63,620,R028,V108,False,639
504,H13,H24,93,224,R025,V120,False,239
505,H03,H04,50,412,R006,V164,False,442
506,H20,H15,42,23,R032,V168,False,53
507,H20,H11,41,707,R041,V053,True,729
508,H01,H08,40,1254,R022,V102,False,1274
509,H19,H23,47,616,R041,V158,False,641
510,H21,H05,79,587,R035,V194,False,612
511,H04,H21,58,568,R042,V009,False,586
512,H17,H11,56,827,R044,V176,False,845
513,H02,H16,56,950,R013,V109,False,976
514,H07,H14,64,519,R011,V098,False,545
515,H02,H06,44,1242,R020,V043,False,1269
516,H16,H19,57,630,R033,V128,False,654
517,H09,H14,38,301,R028,V159,True,317
518,H24,H23,79,1221,R020,V020,True,1246
519,H25,H14,71,60,R037,V079,False,76
520,H07,H03,92,772,R022,V124,False,799
521,H16,H02,61,1137,R012,V039,True,1160
522,H13,H20,36,1433,R022,V158,False,1461
523,H07,H22,92,1159,R031,V109,False,1186
524,H16,H17,71,1433,R016,V159,False,1460
525,H19,H23,69,286,R046,V094,True,304
526,H24,H07,34,485,R004,V076,False,510
527,H25,H05,41,426,R006,V173,False,445
528,H18,H12,71,840,R008,V116,True,862
529,H17,H02,31,1013,R030,V117,False,1035
530,H16,H12,75,495,R026,V160,False,525
531,H10,H15,97,667,R033,V187,False,695
532,H13,H22,38,40,R020,V040,False,68
533,H05,H24,48,39,R006,V050,False,67
534,H14,H24,61,1405,R046,V115,False,1431
535,H17,H22,104,830,R045,V197,False,853
536,H11,H04,98,93,R048,V057,False,114
537,H14,H22,40,500,R043,V111,False,528
538,H19,H02,73,70,R007,V169,False,86
539,H17,H03,69,206,R047,V081,False,227
540,H17,H19,30,351,R023,V169,False,368
541,H03,H06,71,233,R004,V083,False,248
542,H03,H22,32,847,R040,V136,True,875
543,H02,H23,89,79,R012,V035,False,94
544,H21,H07,57,576,R012,V016,False,599
545,H21,H02,41,788,R042,V097,False,808
546,H24,H07,81,1206,R014,V047,False,1236
547,H19,H06,22,1406,R028,V157,True,1433
548,H20,H12,46,1227,R009,V055,False,1245
549,H22,H05,74,425,R001,V021,False,449
550,H04,H15,74,161,R042,V017,False,180
551,H20,H24,24,1289,R025,V066,False,1304
552,H16,H07,64,780,R009,V056,False,808
553,H24,H25,59,327,R002,V058,False,355
554,H07,H14,81,360,R022,V001,False,388
555,H01,H17,90,1347,R030,V113,False,1364
556,H11,H02,85,1331,R036,V193,False,1348
557,H12,H14,31,1373,R038,V022,True,1395
558,H13,H21,80,31,R039,V098,False,56
559,H09,H16,61,756,R028,V078,False,774
560,H13,H17,35,490,R028,V033,True,512
561,H17,H24,37,1364,R031,V197,False,1389
562,H19,H07,43,620,R015,V196,True,637
563,H04,H02,40,332,R043,V131,False,361
564,H10,H23,85,451,R038,V062,True,468
565,H16,H09,84,976,R045,V073,True,994
566,H08,H13,79,1427,R022,V169,False,1454
567,H14,H02,47,950,R021,V021,False,978
568,H23,H20,91,128,R035,V051,False,143
569,H08,H18,95,309,R001,V115,False,336
570,H05,H18,67,606,R050,V032,False,625
571,H08,H20,85,716,R021,V074,False,741
572,H21,H11,34,611,R025,V104,False,633
573,H10,H19,33,684,R037,V006,False,706
574,H03,H21,49,1135,R004,V101,False,1159
575,H21,H20,55,1039,R026,V082,True,1061
576,H04,H15,39,798,R015,V006,False,817
577,H11,H10,16,1106,R016,V008,True,1130
578,H10,H18,95,715,R026,V156,False,737
579,H12,H16,66,1324,R027,V178,True,1350
580,H10,H13,101,8,R028,V056,False,34
581,H07,H19,49,485,R038,V034,True,502
582,H21,H01,63,73,R005,V114,False,94
583,H04,H02,108,709,R023,V195,False,737
584,H02,H07,83,818,R010,V129,True,846
585,H16,H01,64,1416,R006,V093,True,1445
586,H20,H21,75,754,R038,V151,False,775
587,H07,H15,85,1359,R017,V104,False,1375
588,H03,H04,68,1271,R032,V074,False,1298
589,H07,H09,15,1088,R046,V012,True,1103
590,H16,H06,52,412,R006,V105,True,432
591,H16,H21,83,484,R005,V034,True,507
592,H10,H19,97,986,R029,V121,False,1008
593,H05,H15,47,79,R037,V143,False,106
594,H11,H06,74,1203,R005,V017,True,1228
595,H20,H02,78,391,R014,V098,False,417
596,H02,H16,47,114,R033,V044,True,133
597,H24,H23,45,539,R001,V117,False,566
598,H22,H02,38,670,R013,V196,False,687
599,H21,H03,69,275,R028,V101,False,303
600,H19,H20,44,695,R038,V179,False,721
601,H24,H18,80,147,R035,V025,False,167
602,H18,H25,87,986,R038,V052,False,1011
603,H14,H04,56,1187,R013,V176,True,1213
604,H21,H01,33,1012,R041,V005,True,1040
605,H24,H20,96,1155,R041,V097,False,1170
606,H20,H22,48,565,R022,V105,False,585
607,H21,H07,86,572,R036,V094,False,598
608,H19,H23,102,913,R050,V101,False,939
609,H04,H10,87,415,R032,V151,True,441
610,H06,H18,63,1026,R009,V143,False,1055
611,H09,H06,55,1371,R044,V199,False,1400
612,H17,H21,57,126,R033,V039,True,145
613,H24,H01,39,704,R003,V191,False,726
614,H04,H07,89,364,R050,V078,False,381
