scan_id,ticket_id,customer_id,event_id,gate_id,seat_block,scan_time_min,is_duplicate,is_blacklisted,entry_allowed
33,T015652,CUST14764,EVT1002,G8,B17C,7,0,0,1
34,T005708,CUST07330,EVT1001,G1,B3D,87,0,0,1
35,T004291,CUST10733,EVT1002,G9,B5D,36,0,0,1
36,T001273,CUST09811,EVT1002,G5,B6E,140,0,0,1
37,T010439,CUST12949,EVT1002,G10,B13C,92,0,0,1
38,T016943,CUST11461,EVT1001,G8,B18A,49,0,0,1
39,T016158,CUST09247,EVT1001,G1,B8E,80,0,0,1
40,T015481,CUST02217,EVT1001,G9,B17E,136,0,0,1
41,T014607,CUST05797,EVT1002,G1,B5D,128,0,1,0
42,T008249,CUST04499,EVT1002,G8,B18D,23,0,0,1
43,T007778,CUST08528,EVT1002,G10,B10A,140,0,0,1
44,T009550,CUST09463,EVT1002,G5,B9C,68,0,0,1
45,T004631,CUST11190,EVT1001,G1,B5C,68,0,0,1
46,T019202,CUST01071,EVT1002,G8,B4C,123,0,0,1
47,T014809,CUST09807,EVT1002,G9,B1D,86,0,1,0
48,T005754,CUST06169,EVT1001,G8,B7D,149,0,0,1
49,T006002,CUST10236,EVT1002,G6,B5A,103,0,0,1
50,T012436,CUST09686,EVT1001,G5,B5A,88,0,0,1
51,T015809,CUST10455,EVT1001,G6,B11A,48,0,0,1
52,T001829,CUST09300,EVT1001,G6,B14E,150,0,0,1
53,T016770,CUST05203,EVT1002,G6,B19B,73,0,0,1
54,T003218,CUST03742,EVT1001,G7,B1E,67,0,0,1
55,T005329,CUST11420,EVT1001,G9,B4C,59,0,0,1
56,T000686,CUST06213,EVT1001,G4,B1D,41,0,0,1
57,T003086,CUST10377,EVT1001,G1,B4E,117,0,0,1
58,T003086,CUST14531,EVT1002,G6,B11A,63,1,0,0
59,T004121,CUST14210,EVT1002,G2,B20B,33,0,0,1
60,T000256,CUST08200,EVT1001,G9,B11C,58,0,0,1
61,T012620,CUST07691,EVT1002,G9,B11C,27,0,0,1
62,T010390,CUST02657,EVT1002,G4,B5B,83,0,0,1
63,T019832,CUST05697,EVT1001,G7,B10D,94,0,0,1
64,T001937,CUST12295,EVT1001,G10,B14E,82,0,0,1
65,T012620,CUST01936,EVT1001,G6,B8C,50,1,0,0
66,T016086,CUST05557,EVT1002,G5,B2A,59,0,0,1
67,T009383,CUST06995,EVT1002,G8,B20B,27,0,0,1
68,T011950,CUST05098,EVT1001,G5,B18D,40,1,0,0
69,T019608,CUST06433,EVT1001,G2,B19E,37,0,0,1
70,T013598,CUST06893,EVT1001,G6,B5C,125,0,0,1
71,T005477,CUST06641,EVT1001,G7,B13B,14,0,0,1
72,T002096,CUST06520,EVT1001,G9,B13C,20,0,0,1
73,T019846,CUST01446,EVT1001,G8,B13C,42,0,0,1
74,T017515,CUST11641,EVT1002,G5,B3D,69,0,0,1
75,T017849,CUST00942,EVT1001,G4,B9D,7,0,0,1
76,T001521,CUST09680,EVT1002,G6,B20A,66,0,0,1
77,T002334,CUST03249,EVT1002,G8,B9E,116,0,0,1
78,T015802,CUST10805,EVT1001,G1,B13E,79,0,0,1
79,T018211,CUST05788,EVT1001,G1,B18E,113,0,0,1
80,T016851,CUST05957,EVT1001,G6,B14B,17,0,0,1
81,T017899,CUST09899,EVT1002,G1,B12B,89,0,0,1
82,T008064,CUST02226,EVT1002,G4,B11A,48,0,1,0
83,T002334,CUST13019,EVT1001,G7,B19A,38,1,0,0
84,T004172,CUST07315,EVT1002,G5,B11D,109,0,0,1
85,T011039,CUST12138,EVT1001,G1,B16B,64,0,0,1
86,T017538,CUST10405,EVT1002,G10,B10B,20,0,0,1
87,T007258,CUST09041,EVT1002,G8,B1D,126,0,0,1
88,T006041,CUST02576,EVT1001,G7,B16D,41,0,0,1
89,T010466,CUST02059,EVT1002,G7,B9B,44,0,0,1
90,T002254,CUST01466,EVT1002,G5,B17C,100,0,0,1
91,T003532,CUST00345,EVT1002,G1,B5A,123,0,0,1
92,T014199,CUST01819,EVT1001,G4,B5E,62,0,0,1
93,T015678,CUST04661,EVT1001,G6,B5D,49,0,0,1
94,T004041,CUST02955,EVT1002,G2,B18E,6,0,0,1
95,T012842,CUST07301,EVT1002,G5,B5B,137,0,0,1
96,T007547,CUST09467,EVT1002,G3,B2C,6,0,0,1
97,T008887,CUST00893,EVT1001,G5,B2E,39,0,0,1
98,T008479,CUST07874,EVT1001,G9,B11A,68,0,0,1
99,T004613,CUST07979,EVT1001,G9,B4B,42,0,0,1
100,T005684,CUST05370,EVT1001,G3,B20B,150,0,0,1
101,T014467,CUST02505,EVT1001,G9,B8D,67,0,0,1
102,T011713,CUST03809,EVT1002,G7,B12A,78,0,0,1
103,T008641,CUST03011,EVT1002,G9,B15D,54,0,0,1
104,T008288,CUST14062,EVT1001,G5,B11D,137,0,0,1
105,T001829,CUST03355,EVT1002,G1,B17E,8,1,0,0
106,T009905,CUST08657,EVT1001,G8,B10E,83,0,0,1
107,T012076,CUST07474,EVT1002,G7,B14E,76,0,0,1
108,T014898,CUST13989,EVT1001,G1,B2D,132,0,0,1
109,T003657,CUST13808,EVT1002,G3,B9D,123,0,0,1
110,T008103,CUST01637,EVT1002,G4,B20C,60,1,0,0
111,T018177,CUST08747,EVT1001,G2,B8C,68,0,0,1
112,T015538,CUST00236,EVT1002,G6,B3C,55,0,0,1
113,T015724,CUST03756,EVT1002,G8,B20E,83,0,0,1
114,T014809,CUST02131,EVT1001,G4,B2D,46,1,0,0
115,T012671,CUST01152,EVT1001,G10,B8C,36,0,0,1
116,T007271,CUST07983,EVT1002,G8,B11D,138,0,0,1
117,T017879,CUST01223,EVT1002,G2,B1B,96,0,0,1
118,T011049,CUST02500,EVT1002,G8,B12C,96,0,0,1
119,T002059,CUST12724,EVT1001,G6,B13E,105,0,0,1
120,T018859,CUST08781,EVT1002,G6,B5B,150,0,0,1
121,T009453,CUST06970,EVT1002,G10,B15C,58,0,0,1
122,T015890,CUST11509,EVT1001,G1,B3B,125,0,0,1
123,T000827,CUST10004,EVT1001,G2,B9C,116,0,0,1
124,T018536,CUST13173,EVT1002,G3,B16A,16,0,0,1
125,T008426,CUST13229,EVT1002,G4,B1D,131,0,0,1
126,T000372,CUST07399,EVT1002,G2,B16C,86,0,0,1
127,T005140,CUST01023,EVT1001,G3,B1C,45,0,0,1
128,T006176,CUST06188,EVT1002,G5,B15C,20,0,0,1
129,T011497,CUST09876,EVT1002,G7,B12E,98,0,0,1
130,T019116,CUST05286,EVT1002,G10,B15E,28,0,0,1
131,T010561,CUST11524,EVT1001,G4,B20D,3,0,0,1
132,T019729,CUST12925,EVT1002,G3,B6E,75,0,0,1
133,T001273,CUST05197,EVT1002,G9,B19B,114,1,0,0
134,T016249,CUST09828,EVT1002,G3,B5D,13,0,0,1
135,T013813,CUST08768,EVT1002,G9,B17B,126,0,0,1
136,T011479,CUST13136,EVT1001,G2,B2E,131,1,0,0
137,T019451,CUST00208,EVT1002,G3,B17C,68,0,0,1
138,T019116,CUST10065,EVT1002,G10,B12E,38,1,0,0
139,T007550,CUST01341,EVT1002,G7,B6B,49,0,0,1
140,T013323,CUST01436,EVT1002,G6,B13D,93,0,0,1
141,T010912,CUST08740,EVT1001,G3,B18E,150,0,0,1
142,T007135,CUST00552,EVT1002,G3,B10B,147,0,0,1
143,T005031,CUST10552,EVT1002,G1,B12A,5,0,0,1
144,T006411,CUST06723,EVT1002,G1,B10E,29,0,0,1
145,T015021,CUST00199,EVT1002,G2,B3D,23,0,0,1
146,T001953,CUST14916,EVT1001,G6,B20B,42,0,0,1
147,T010324,CUST11578,EVT1001,G2,B11B,46,0,0,1
148,T011950,CUST07732,EVT1002,G7,B14D,58,0,0,1
149,T000748,CUST06106,EVT1002,G3,B4B,37,0,0,1
150,T016628,CUST14641,EVT1001,G7,B18E,144,0,0,1
151,T019031,CUST10864,EVT1002,G5,B3D,149,0,0,1
152,T006575,CUST11359,EVT1002,G4,B14C,88,0,0,1
153,T005637,CUST01162,EVT1002,G1,B12B,93,0,0,1
154,T000183,CUST02249,EVT1002,G4,B5B,4,0,0,1
155,T008384,CUST02791,EVT1002,G5,B15A,24,0,0,1
156,T014740,CUST11842,EVT1001,G1,B2A,117,0,0,1
157,T003426,CUST01609,EVT1001,G10,B2D,87,0,0,1
158,T003111,CUST04293,EVT1002,G1,B12A,0,0,0,1
159,T011504,CUST09900,EVT1002,G4,B5C,58,0,0,1
160,T011248,CUST10479,EVT1001,G7,B11D,54,0,0,1
161,T009595,CUST03019,EVT1001,G3,B10B,130,0,0,1
162,T010806,CUST03289,EVT1001,G4,B8B,39,0,0,1
163,T008079,CUST01096,EVT1001,G3,B16A,9,0,0,1
164,T001785,CUST09336,EVT1002,G5,B17E,52,0,0,1
165,T009777,CUST11896,EVT1002,G10,B5B,133,0,0,1
166,T008400,CUST13294,EVT1002,G8,B20B,75,0,0,1
167,T001440,CUST07123,EVT1001,G5,B3D,5,0,0,1
168,T009125,CUST03825,EVT1002,G4,B15C,16,0,0,1
169,T005111,CUST00024,EVT1002,G10,B18C,29,0,0,1
170,T000965,CUST10324,EVT1002,G3,B5B,74,0,1,0
171,T002107,CUST00473,EVT1001,G9,B2C,41,0,0,1
172,T011209,CUST00017,EVT1001,G4,B9E,25,0,0,1
173,T015405,CUST00233,EVT1002,G5,B11E,29,0,0,1
174,T002353,CUST07265,EVT1001,G5,B13D,56,0,0,1
175,T003460,CUST13879,EVT1001,G10,B14D,124,0,0,1
176,T016788,CUST03263,EVT1002,G8,B18D,123,1,0,0
177,T009352,CUST02759,EVT1001,G9,B11E,128,0,0,1
178,T006295,CUST07733,EVT1001,G9,B8E,35,0,0,1
179,T005760,CUST08448,EVT1002,G5,B6E,64,0,0,1
180,T016967,CUST10999,EVT1001,G8,B1D,144,0,0,1
181,T005729,CUST08138,EVT1002,G4,B13C,65,0,0,1
182,T010157,CUST00443,EVT1002,G9,B13A,49,0,0,1
183,T003939,CUST04949,EVT1002,G7,B17C,88,0,0,1
184,T001453,CUST12339,EVT1002,G3,B8B,140,0,0,1
185,T004696,CUST06881,EVT1001,G8,B17B,99,0,0,1
186,T019676,CUST10614,EVT1001,G10,B18B,7,0,0,1
187,T007326,CUST06870,EVT1002,G6,B19C,23,0,0,1
188,T018942,CUST00946,EVT1001,G4,B11A,0,0,0,1
189,T009598,CUST08988,EVT1002,G7,B2C,27,0,0,1
190,T011876,CUST02998,EVT1002,G1,B6B,80,0,0,1
191,T008723,CUST14858,EVT1001,G1,B19C,9,0,0,1
192,T003460,CUST13748,EVT1001,G6,B14D,116,0,0,1
193,T014647,CUST09728,EVT1001,G6,B20A,9,0,0,1
194,T000097,CUST03903,EVT1001,G10,B15E,7,0,0,1
195,T009176,CUST10104,EVT1001,G9,B17B,128,0,0,1
196,T003752,CUST07808,EVT1002,G7,B18C,33,0,0,1
197,T002937,CUST13781,EVT1001,G7,B16B,145,0,0,1
198,T011087,CUST10773,EVT1001,G6,B3A,132,0,0,1
199,T012204,CUST05113,EVT1002,G4,B12D,91,0,0,1
200,T016313,CUST08085,EVT1001,G1,B13C,37,0,0,1
201,T009253,CUST06478,EVT1001,G8,B2C,71,0,0,1
202,T010923,CUST11500,EVT1002,G1,B11E,9,0,0,1
203,T010944,CUST00820,EVT1002,G3,B2E,21,0,0,1
204,T001602,CUST04668,EVT1002,G8,B3E,73,0,0,1
205,T010527,CUST00685,EVT1001,G8,B19D,57,0,0,1
206,T009449,CUST04818,EVT1002,G8,B3D,60,0,0,1
207,T000823,CUST10706,EVT1002,G2,B4A,63,0,0,1
208,T005879,CUST09320,EVT1002,G4,B11E,131,0,0,1
209,T018276,CUST08049,EVT1002,G1,B16D,91,0,0,1
210,T019510,CUST02008,EVT1001,G9,B10C,94,0,0,1
211,T005118,CUST10394,EVT1002,G7,B3E,7,0,0,1
212,T017593,CUST08869,EVT1002,G10,B18C,103,0,0,1
213,T003723,CUST10675,EVT1001,G3,B5E,144,0,0,1
214,T013336,CUST10520,EVT1002,G10,B13A,24,0,0,1
215,T017412,CUST04170,EVT1002,G2,B4D,53,0,0,1
216,T004197,CUST04544,EVT1001,G3,B14B,125,0,0,1
217,T019044,CUST09524,EVT1002,G8,B19B,145,0,0,1
218,T009363,CUST03798,EVT1002,G7,B11A,43,0,0,1
219,T001370,CUST01704,EVT1001,G9,B7A,84,0,0,1
220,T000626,CUST00730,EVT1001,G1,B3A,22,0,0,1
221,T002941,CUST01599,EVT1002,G5,B14D,81,0,0,1
222,T001400,CUST05586,EVT1001,G4,B7D,102,0,0,1
223,T010559,CUST04187,EVT1001,G1,B16D,43,0,0,1
224,T014212,CUST09410,EVT1001,G5,B4C,116,0,0,1
225,T008355,CUST12817,EVT1001,G10,B1D,112,0,0,1
226,T018093,CUST09982,EVT1002,G5,B1C,4,0,0,1
227,T002985,CUST11532,EVT1001,G7,B9C,60,0,0,1
228,T014761,CUST09987,EVT1002,G7,B9C,127,0,0,1
229,T017531,CUST10767,EVT1002,G6,B13A,3,0,0,1
230,T002943,CUST12837,EVT1002,G4,B1B,22,0,0,1
231,T017684,CUST06610,EVT1002,G8,B8D,128,0,0,1
232,T002804,CUST14619,EVT1002,G8,B15E,94,0,0,1
233,T006669,CUST12878,EVT1002,G9,B6A,31,0,0,1
234,T016266,CUST01064,EVT1001,G5,B8E,65,0,0,1
235,T012851,CUST02467,EVT1002,G4,B20D,9,0,0,1
236,T013438,CUST05240,EVT1002,G1,B6C,129,0,0,1
237,T009506,CUST07799,EVT1001,G5,B16E,148,0,0,1
238,T018628,CUST02491,EVT1001,G9,B1C,93,0,0,1
239,T017810,CUST08650,EVT1002,G5,B13B,98,0,0,1
240,T014761,CUST07657,EVT1002,G1,B13B,3,1,0,0
241,T018508,CUST13861,EVT1002,G7,B11B,70,0,0,1
242,T009926,CUST02943,EVT1001,G6,B16B,14,0,0,1
243,T008460,CUST13858,EVT1001,G6,B19C,92,0,1,0
244,T013087,CUST09378,EVT1002,G4,B11A,122,0,0,1
245,T010111,CUST08582,EVT1001,G9,B16A,79,0,0,1
246,T006723,CUST07124,EVT1002,G8,B9E,115,0,0,1
247,T016275,CUST07290,EVT1001,G6,B20D,131,0,0,1
248,T005328,CUST14806,EVT1002,G9,B8C,38,0,0,1
249,T011339,CUST13649,EVT1001,G1,B3E,16,0,0,1
250,T007931,CUST03886,EVT1001,G1,B5D,38,0,0,1
251,T018508,CUST02368,EVT1001,G2,B11B,21,1,0,0
252,T017889,CUST02165,EVT1002,G4,B18D,114,0,0,1
253,T004506,CUST12575,EVT1002,G1,B4A,11,0,0,1
254,T009272,CUST04306,EVT1001,G2,B4A,37,0,0,1
255,T000347,CUST11076,EVT1001,G6,B4C,57,0,0,1
256,T010123,CUST14384,EVT1001,G6,B1C,61,0,0,1
257,T017927,CUST03981,EVT1002,G3,B19C,31,0,0,1
258,T007256,CUST04616,EVT1002,G2,B14A,11,0,0,1
259,T005703,CUST08576,EVT1002,G9,B4A,86,0,0,1
260,T007914,CUST01112,EVT1001,G10,B7C,12,0,0,1
261,T015395,CUST07552,EVT1002,G10,B14B,147,0,0,1
262,T018800,CUST08809,EVT1001,G8,B1D,25,0,0,1
263,T017048,CUST08729,EVT1001,G7,B11C,106,0,0,1
264,T016600,CUST03752,EVT1002,G8,B18E,143,0,0,1
265,T000317,CUST03486,EVT1002,G6,B20A,101,0,0,1
266,T002825,CUST12407,EVT1002,G1,B6C,53,0,0,1
267,T004590,CUST13253,EVT1002,G5,B11C,123,0,0,1
268,T004179,CUST04080,EVT1002,G4,B20B,128,0,0,1
269,T018126,CUST06355,EVT1002,G9,B14C,40,0,0,1
270,T017332,CUST07745,EVT1002,G7,B19D,109,0,0,1
271,T010595,CUST12470,EVT1002,G9,B8A,41,0,0,1
272,T011766,CUST11530,EVT1001,G8,B20B,66,0,0,1
273,T008607,CUST08331,EVT1002,G7,B5D,69,0,0,1
274,T012629,CUST07097,EVT1002,G9,B11E,116,0,0,1
275,T003933,CUST05291,EVT1001,G4,B20C,39,0,0,1
276,T002125,CUST01714,EVT1002,G2,B1D,57,0,0,1
277,T015143,CUST14652,EVT1002,G2,B2A,113,0,0,1
278,T014485,CUST01888,EVT1001,G8,B15D,46,0,0,1
279,T007080,CUST02252,EVT1002,G5,B14C,98,0,0,1
280,T009842,CUST04495,EVT1002,G3,B17E,39,0,0,1
281,T011593,CUST00300,EVT1002,G4,B10D,19,0,0,1
282,T004458,CUST00279,EVT1002,G1,B8B,65,0,0,1
283,T017568,CUST05255,EVT1002,G5,B17C,31,0,0,1
284,T001134,CUST12554,EVT1001,G3,B16A,29,0,0,1
285,T004401,CUST00419,EVT1001,G9,B7B,101,0,0,1
286,T004303,CUST11986,EVT1001,G3,B4A,80,0,0,1
287,T004808,CUST01367,EVT1001,G2,B8E,3,0,0,1
288,T007001,CUST08673,EVT1002,G9,B8A,33,0,0,1
289,T001387,CUST06969,EVT1001,G8,B1E,4,0,0,1
290,T013860,CUST10452,EVT1002,G1,B12D,142,0,0,1
291,T004171,CUST06277,EVT1002,G10,B15D,104,0,0,1
292,T016895,CUST13409,EVT1001,G4,B4A,15,0,0,1
293,T015398,CUST10566,EVT1002,G2,B1D,115,0,0,1
294,T002752,CUST04816,EVT1002,G10,B18B,117,0,0,1
295,T012577,CUST12860,EVT1002,G7,B9A,60,0,0,1
296,T011243,CUST10887,EVT1002,G5,B17D,9,0,0,1
297,T000955,CUST09525,EVT1001,G6,B14D,1,0,1,0
298,T012715,CUST11445,EVT1001,G4,B5E,49,0,0,1
299,T007455,CUST00726,EVT1002,G5,B10E,28,0,0,1
300,T008587,CUST01750,EVT1001,G8,B10B,142,0,0,1
301,T014653,CUST00135,EVT1002,G1,B10E,6,0,0,1
302,T004344,CUST03554,EVT1001,G8,B3C,88,0,0,1
303,T010267,CUST14784,EVT1002,G9,B20B,97,0,0,1
304,T017101,CUST05850,EVT1002,G4,B14B,82,0,0,1
305,T003239,CUST00625,EVT1001,G5,B1C,89,0,0,1
306,T002100,CUST08632,EVT1001,G4,B11D,11,0,0,1
307,T000183,CUST07174,EVT1002,G6,B20C,45,1,1,0
308,T003999,CUST07324,EVT1002,G7,B13B,136,0,0,1
309,T011625,CUST01762,EVT1001,G2,B6C,71,0,0,1
310,T007028,CUST14552,EVT1001,G8,B14C,49,0,0,1
311,T012841,CUST02513,EVT1002,G9,B8E,26,0,0,1
312,T003722,CUST13346,EVT1002,G7,B7E,143,0,0,1
313,T001797,CUST03727,EVT1002,G6,B10E,138,0,0,1
314,T015244,CUST06959,EVT1001,G3,B1E,148,0,0,1
315,T008215,CUST02051,EVT1002,G9,B6D,5,0,0,1
316,T009248,CUST14144,EVT1001,G9,B1E,91,0,0,1
317,T006703,CUST13030,EVT1001,G2,B12D,9,0,0,1
318,T012442,CUST09461,EVT1001,G6,B4B,131,0,0,1
319,T001250,CUST07539,EVT1001,G3,B12C,37,0,0,1
320,T002867,CUST06875,EVT1002,G9,B2E,106,0,0,1
321,T018522,CUST14594,EVT1002,G4,B11A,89,0,0,1
322,T007229,CUST06137,EVT1002,G9,B20C,38,0,1,0
323,T006408,CUST14399,EVT1002,G8,B8E,78,0,0,1
324,T000373,CUST14342,EVT1001,G2,B10E,14,0,0,1
325,T009589,CUST07516,EVT1002,G1,B20B,97,0,0,1
326,T007157,CUST02316,EVT1002,G2,B13A,66,0,0,1
327,T016623,CUST14612,EVT1002,G4,B2E,25,0,0,1
328,T018352,CUST06961,EVT1002,G7,B10E,120,0,0,1
329,T005364,CUST07271,EVT1002,G6,B5A,87,0,0,1
330,T012940,CUST06075,EVT1001,G4,B17C,35,0,0,1
331,T003494,CUST14836,EVT1002,G1,B8E,8,0,0,1
332,T006874,CUST09933,EVT1001,G6,B8D,108,0,0,1
333,T013193,CUST10172,EVT1002,G2,B4C,81,0,0,1
334,T005458,CUST10147,EVT1002,G6,B5D,51,0,0,1
335,T005111,CUST05597,EVT1002,G3,B12A,31,1,0,0
336,T011243,CUST04180,EVT1002,G2,B17C,42,1,0,0
337,T018583,CUST07954,EVT1002,G1,B16B,34,0,0,1
338,T019815,CUST11216,EVT1002,G5,B7A,50,0,0,1
339,T003835,CUST04816,EVT1002,G9,B19E,59,0,1,0
340,T019539,CUST09513,EVT1001,G9,B8B,54,0,0,1
341,T005657,CUST06403,EVT1001,G6,B9B,64,0,0,1
342,T010460,CUST07586,EVT1002,G1,B12A,144,0,0,1
343,T005580,CUST01425,EVT1001,G4,B12A,47,0,0,1
344,T005269,CUST10308,EVT1001,G6,B3C,49,0,0,1
345,T009292,CUST11041,EVT1001,G3,B11D,137,0,0,1
346,T005483,CUST04857,EVT1001,G9,B5E,62,0,0,1
347,T018773,CUST09563,EVT1002,G2,B16E,27,0,0,1
348,T005644,CUST09094,EVT1001,G6,B15A,128,0,0,1
349,T016968,CUST11621,EVT1001,G8,B10C,4,0,0,1
350,T009970,CUST12254,EVT1001,G5,B7D,23,0,0,1
351,T016367,CUST10846,EVT1002,G7,B13B,77,0,0,1
352,T014212,CUST14788,EVT1001,G3,B3A,117,1,0,0
353,T011479,CUST08809,EVT1001,G6,B15C,1,1,0,0
354,T016680,CUST14827,EVT1001,G10,B1A,140,0,0,1
355,T014027,CUST11227,EVT1001,G8,B14B,2,0,1,0
356,T014218,CUST03923,EVT1001,G9,B11B,89,0,0,1
357,T012810,CUST03248,EVT1002,G5,B10A,80,0,0,1
358,T009503,CUST04315,EVT1002,G8,B13B,129,0,0,1
359,T003430,CUST09481,EVT1001,G6,B12E,106,0,0,1
360,T008296,CUST05869,EVT1002,G4,B15D,14,0,0,1
361,T016583,CUST09930,EVT1002,G4,B12A,124,0,0,1
362,T008271,CUST10210,EVT1002,G7,B15B,142,0,0,1
363,T019515,CUST01736,EVT1001,G1,B8C,136,0,0,1
364,T019309,CUST10190,EVT1002,G7,B1D,130,0,0,1
365,T004173,CUST14093,EVT1001,G10,B10C,121,0,0,1
366,T000267,CUST11091,EVT1001,G4,B13E,55,0,0,1
367,T012033,CUST13505,EVT1001,G7,B16B,149,0,0,1
368,T002040,CUST03759,EVT1001,G10,B15B,130,0,0,1
369,T012715,CUST07863,EVT1002,G6,B3C,136,1,0,0
370,T004756,CUST02200,EVT1002,G9,B13A,114,0,0,1
371,T006918,CUST12221,EVT1002,G7,B10B,109,1,0,0
372,T017810,CUST01880,EVT1002,G2,B3A,39,1,0,0
373,T014378,CUST01963,EVT1001,G9,B14A,63,0,0,1
374,T008106,CUST08041,EVT1002,G7,B17A,70,0,0,1
375,T017899,CUST12827,EVT1002,G10,B20E,10,1,0,0
376,T014316,CUST09474,EVT1002,G7,B6E,63,0,0,1
377,T018688,CUST10630,EVT1001,G3,B6A,140,0,0,1
378,T006928,CUST06279,EVT1002,G10,B1D,25,0,0,1
379,T005079,CUST09960,EVT1001,G5,B8C,19,0,0,1
380,T011283,CUST06661,EVT1001,G3,B10E,23,0,0,1
381,T000113,CUST10034,EVT1002,G8,B18C,17,0,0,1
382,T006520,CUST00125,EVT1002,G8,B16D,9,0,0,1
383,T006471,CUST14495,EVT1001,G7,B9B,48,0,0,1
384,T009022,CUST02580,EVT1002,G9,B20D,50,0,0,1
385,T015243,CUST04073,EVT1001,G3,B8B,21,0,0,1
386,T004089,CUST13311,EVT1002,G6,B20B,4,0,0,1
387,T003941,CUST06237,EVT1002,G8,B13E,52,0,0,1
388,T005729,CUST00994,EVT1001,G5,B17D,108,1,0,0
389,T008131,CUST07792,EVT1002,G8,B1E,1,0,0,1
390,T009705,CUST13215,EVT1001,G10,B9A,3,0,0,1
391,T012874,CUST04577,EVT1001,G2,B7E,144,0,0,1
392,T017347,CUST08667,EVT1001,G5,B13A,63,0,0,1
393,T006233,CUST04594,EVT1002,G7,B8A,87,0,0,1
394,T003793,CUST04733,EVT1002,G9,B13B,20,0,0,1
395,T014837,CUST10700,EVT1002,G8,B7D,106,0,0,1
396,T006019,CUST13008,EVT1001,G9,B2E,134,0,0,1
397,T006263,CUST03726,EVT1001,G1,B15A,106,0,0,1
398,T016633,CUST14191,EVT1002,G3,B11B,132,1,0,0
399,T012956,CUST13360,EVT1001,G7,B17D,65,0,0,1
400,T018988,CUST14842,EVT1002,G7,B12D,47,0,0,1
401,T003460,CUST03345,EVT1002,G9,B12A,38,1,0,0
402,T008045,CUST08510,EVT1002,G8,B15E,71,0,0,1
403,T014771,CUST09824,EVT1002,G3,B6D,139,0,0,1
404,T016367,CUST13650,EVT1001,G5,B19B,28,1,0,0
405,T015712,CUST10198,EVT1002,G4,B11D,113,0,0,1
406,T018041,CUST09679,EVT1001,G9,B6C,80,0,0,1
407,T003079,CUST01819,EVT1002,G4,B2B,128,0,0,1
408,T006375,CUST03143,EVT1002,G1,B4B,130,0,0,1
409,T004754,CUST05924,EVT1001,G2,B2B,14,0,0,1
410,T011395,CUST06436,EVT1002,G5,B9B,71,0,0,1
411,T010800,CUST11305,EVT1001,G3,B8B,56,0,0,1
412,T010683,CUST04646,EVT1002,G8,B15D,87,0,0,1
413,T006014,CUST11973,EVT1001,G9,B16A,72,0,0,1
414,T006373,CUST06910,EVT1001,G7,B16D,57,0,0,1
415,T004468,CUST10915,EVT1001,G2,B17C,56,0,0,1
416,T007997,CUST03199,EVT1001,G5,B5E,81,0,0,1
417,T010652,CUST08581,EVT1002,G6,B9A,148,0,0,1
418,T002316,CUST04092,EVT1001,G8,B17D,59,0,0,1
419,T004824,CUST04369,EVT1002,G4,B8C,102,0,0,1
420,T004696,CUST01843,EVT1001,G5,B3D,115,1,0,0
