complaint_id,citizen_id,raw_text,detected_type,ward_id,lat,lon,severity,waiting_minutes,assigned_team_id,heap_priority_score
CMP000045,CZ02446,Deep pothole near junction,pothole,W20,12.901048,77.54385,1,2027,TEAM10,0.308
CMP000046,CZ00934,Pole light fused,streetlight,W12,12.940113,77.542367,3,276,TEAM07,0.386
CMP000047,CZ00882,Sewage water overflow,water_leak,W09,12.891091,77.491193,2,523,,0.288
CMP000048,CZ05636,Deep pothole near junction,pothole,W19,12.936632,77.45043,3,1912,TEAM05,0.537
CMP000049,CZ05376,Street garbage pile,garbage,W15,12.884975,77.479661,3,1478,TEAM07,0.497
CMP000050,CZ02714,Smell from waste,garbage,W16,12.820897,77.514771,4,579,TEAM01,0.534
CMP000051,CZ03381,Blocked drain,drainage,W20,12.826745,77.524858,4,1172,TEAM04,0.589
CMP000052,CZ04523,Pole light fused,streetlight,W11,12.93006,77.460337,5,771,TEAM10,0.671
CMP000053,CZ06877,Broken road surface,pothole,W20,12.893916,77.551629,3,2650,TEAM10,0.605
CMP000054,CZ03194,Deep pothole near junction,pothole,W16,12.82385,77.447238,1,2448,TEAM09,0.347
CMP000055,CZ03680,Deep pothole near junction,pothole,W14,12.922745,77.490593,5,3629,TEAM01,0.936
CMP000056,CZ06981,Damaged road patch,pothole,W15,12.869842,77.538842,5,922,TEAM07,0.685
CMP000057,CZ01358,Streetlight not working,streetlight,W18,12.944902,77.456473,2,3616,,0.575
CMP000058,CZ05379,Broken road surface,pothole,W04,12.873334,77.451891,5,314,TEAM02,0.629
CMP000059,CZ05982,Pole light fused,streetlight,W02,12.908116,77.439196,4,3088,TEAM04,0.766
CMP000060,CZ04753,Open manhole,drainage,W08,12.928923,77.443444,5,2691,TEAM06,0.849
CMP000061,CZ06939,Street garbage pile,garbage,W15,12.868376,77.547578,5,3012,,0.879
CMP000062,CZ00455,Damaged road patch,pothole,W11,12.855372,77.446176,3,38,TEAM06,0.364
CMP000063,CZ03078,Pole light fused,streetlight,W08,12.88509,77.532952,5,2780,TEAM08,0.857
CMP000064,CZ04801,Big pothole on road,pothole,W01,12.839716,77.546958,1,2493,TEAM07,0.351
CMP000065,CZ04915,Clogged sewage line,drainage,W09,12.835538,77.424935,2,3395,,0.554
CMP000066,CZ06791,Pole light fused,streetlight,W04,12.824722,77.440469,1,63,TEAM06,0.126
CMP000067,CZ05238,Damaged road patch,pothole,W20,12.844565,77.455478,5,2251,TEAM05,0.808
CMP000068,CZ02291,Street garbage pile,garbage,W18,12.850378,77.547842,1,1469,,0.256
CMP000069,CZ04982,Clogged sewage line,drainage,W02,12.833151,77.488925,2,2336,TEAM05,0.456
CMP000070,CZ01450,Deep pothole near junction,pothole,W12,12.890502,77.559909,4,4082,TEAM04,0.858
CMP000071,CZ00247,Garbage not collected,garbage,W03,12.849546,77.474829,1,2761,TEAM04,0.376
CMP000072,CZ04598,Street garbage pile,garbage,W11,12.979235,77.477002,3,2265,TEAM04,0.57
CMP000073,CZ02895,Street garbage pile,garbage,W19,12.843704,77.449619,1,3568,,0.45
CMP000074,CZ04661,Garbage not collected,garbage,W02,12.867119,77.462877,2,2286,TEAM02,0.452
CMP000075,CZ04747,Big pothole on road,pothole,W20,12.83857,77.49697,4,513,TEAM01,0.527
CMP000076,CZ01259,Pipe burst near house,water_leak,W10,12.822977,77.490523,4,2245,TEAM02,0.688
CMP000077,CZ05521,Smell from waste,garbage,W02,12.924342,77.434732,3,325,TEAM08,0.39
CMP000078,CZ03001,Drainage overflowing,drainage,W07,12.918601,77.579885,5,640,TEAM04,0.659
CMP000079,CZ05384,Streetlight not working,streetlight,W01,12.848163,77.43103,2,3458,TEAM05,0.56
CMP000080,CZ04157,Open manhole,drainage,W18,12.96064,77.447712,3,1259,TEAM03,0.477
CMP000081,CZ04311,Dark road no lights,streetlight,W08,12.846038,77.478844,1,1156,TEAM03,0.227
CMP000082,CZ04631,Overflowing dustbin,garbage,W18,12.96411,77.561895,4,3883,TEAM04,0.84
CMP000083,CZ02620,Damaged road patch,pothole,W14,12.902776,77.509963,5,1646,TEAM03,0.752
CMP000084,CZ02468,Flickering street lamp,streetlight,W11,12.875006,77.559606,5,2579,TEAM10,0.839
CMP000085,CZ07693,Garbage not collected,garbage,W18,12.847363,77.429172,1,902,TEAM09,0.204
CMP000086,CZ01810,Water leakage on road,water_leak,W14,12.874041,77.56354,3,1439,TEAM01,0.493
CMP000087,CZ05652,Drainage overflowing,drainage,W13,12.935642,77.444501,4,3426,TEAM10,0.797
CMP000088,CZ05034,Broken road surface,pothole,W13,12.867583,77.520052,1,1580,TEAM08,0.266
CMP000089,CZ06698,Streetlight not working,streetlight,W16,12.979207,77.547054,4,58,TEAM06,0.485
CMP000090,CZ02598,Garbage not collected,garbage,W09,12.890977,77.579577,5,1969,TEAM03,0.782
CMP000091,CZ04117,Street garbage pile,garbage,W06,12.955004,77.486088,2,226,TEAM01,0.261
CMP000092,CZ01358,Clogged sewage line,drainage,W03,12.956924,77.429536,1,2209,TEAM08,0.325
CMP000093,CZ00227,Clogged sewage line,drainage,W08,12.916651,77.510471,5,3177,,0.894
CMP000094,CZ00142,Streetlight not working,streetlight,W01,12.953271,77.538478,2,332,,0.271
CMP000095,CZ00208,Streetlight not working,streetlight,W04,12.88115,77.44673,4,1045,TEAM07,0.577
CMP000096,CZ00451,Dark road no lights,streetlight,W19,12.888621,77.482972,2,2768,,0.496
CMP000097,CZ01581,Smell from waste,garbage,W14,12.916699,77.519834,3,1479,TEAM01,0.497
CMP000098,CZ01040,Damaged road patch,pothole,W16,12.845163,77.555399,3,221,TEAM09,0.38
CMP000099,CZ03072,Damaged road patch,pothole,W12,12.828741,77.443433,2,2003,,0.425
CMP000100,CZ04029,Pole light fused,streetlight,W09,12.905803,77.478138,5,1383,TEAM03,0.728
CMP000101,CZ07554,Water supply leak,water_leak,W14,12.84354,77.497262,4,3045,TEAM02,0.762
CMP000102,CZ03041,Pipe burst near house,water_leak,W07,12.912441,77.499101,3,1410,TEAM02,0.491
CMP000103,CZ00647,Pipe burst near house,water_leak,W17,12.831741,77.458333,4,3425,TEAM06,0.797
CMP000104,CZ02077,Drainage overflowing,drainage,W10,12.959548,77.527093,2,1051,TEAM10,0.337
CMP000105,CZ04396,Pole light fused,streetlight,W16,12.837527,77.535109,5,3857,TEAM09,0.957
CMP000106,CZ00970,Pole light fused,streetlight,W06,12.931922,77.462679,1,3591,TEAM07,0.453
CMP000107,CZ03657,Dark road no lights,streetlight,W01,12.914246,77.463415,1,3657,TEAM08,0.459
CMP000108,CZ05514,Big pothole on road,pothole,W05,12.844285,77.522891,3,503,TEAM02,0.407
CMP000109,CZ02727,Dark road no lights,streetlight,W16,12.972038,77.432581,2,2990,TEAM05,0.517
CMP000110,CZ04985,Broken road surface,pothole,W11,12.835793,77.559405,5,1512,TEAM04,0.74
CMP000111,CZ06058,Pipe burst near house,water_leak,W20,12.897406,77.488638,2,578,TEAM07,0.294
CMP000112,CZ02702,Flickering street lamp,streetlight,W16,12.956177,77.562484,1,2051,TEAM06,0.31
CMP000113,CZ00082,Deep pothole near junction,pothole,W06,12.937565,77.5551,3,2620,,0.603
CMP000114,CZ00715,Water supply leak,water_leak,W13,12.943744,77.502045,3,1444,,0.494
CMP000115,CZ00085,Deep pothole near junction,pothole,W19,12.834439,77.560788,3,1631,TEAM10,0.511
CMP000116,CZ06810,Pole light fused,streetlight,W01,12.955254,77.444345,4,87,TEAM04,0.488
CMP000117,CZ05519,Water leakage on road,water_leak,W20,12.940203,77.456138,3,1378,,0.488
CMP000118,CZ05924,Water supply leak,water_leak,W03,12.826689,77.455494,1,1915,TEAM02,0.297
CMP000119,CZ04068,Dark road no lights,streetlight,W03,12.967667,77.513033,2,40,TEAM01,0.244
CMP000120,CZ02833,Water leakage on road,water_leak,W02,12.863937,77.42392,2,3658,TEAM08,0.579
CMP000121,CZ05650,Damaged road patch,pothole,W15,12.957775,77.533897,3,1639,TEAM10,0.512
CMP000122,CZ05394,Big pothole on road,pothole,W19,12.973934,77.568639,4,3083,TEAM03,0.765
CMP000123,CZ02509,Pole light fused,streetlight,W19,12.875762,77.497536,4,2870,TEAM02,0.746
CMP000124,CZ04635,Open manhole,drainage,W05,12.853792,77.474544,1,1837,TEAM06,0.29
CMP000125,CZ02882,Deep pothole near junction,pothole,W06,12.823408,77.490902,5,1352,TEAM07,0.725
CMP000126,CZ07915,Smell from waste,garbage,W03,12.856954,77.42031,3,2458,TEAM07,0.588
CMP000127,CZ06582,Big pothole on road,pothole,W20,12.964027,77.492553,1,1378,TEAM07,0.248
CMP000128,CZ06006,Open manhole,drainage,W15,12.912572,77.502267,2,3210,TEAM05,0.537
CMP000129,CZ07537,Pole light fused,streetlight,W18,12.95523,77.512527,4,2104,TEAM03,0.675
CMP000130,CZ02065,Blocked drain,drainage,W10,12.890827,77.497547,2,2260,TEAM08,0.449
CMP000131,CZ06830,Deep pothole near junction,pothole,W12,12.936883,77.478359,3,2433,TEAM08,0.585
CMP000132,CZ04797,Sewage water overflow,water_leak,W15,12.882251,77.519742,4,2101,TEAM07,0.675
CMP000133,CZ00309,Street garbage pile,garbage,W12,12.921249,77.462163,1,2157,TEAM01,0.32
CMP000134,CZ07371,Water leakage on road,water_leak,W14,12.901183,77.574436,2,426,TEAM02,0.279
CMP000135,CZ07427,Sewage water overflow,water_leak,W20,12.859969,77.472777,1,910,,0.204
CMP000136,CZ01640,Smell from waste,garbage,W18,12.958177,77.48837,3,2167,TEAM07,0.561
CMP000137,CZ07395,Damaged road patch,pothole,W19,12.847846,77.498771,2,1359,TEAM09,0.366
CMP000138,CZ04600,Broken road surface,pothole,W15,12.922312,77.556865,4,123,TEAM07,0.491
CMP000139,CZ07494,Sewage water overflow,water_leak,W17,12.899997,77.431406,3,1072,TEAM03,0.459
CMP000140,CZ03361,Overflowing dustbin,garbage,W02,12.937576,77.561446,1,236,TEAM08,0.142
CMP000141,CZ02780,Open manhole,drainage,W19,12.939491,77.538915,2,754,TEAM04,0.31
CMP000142,CZ04888,Big pothole on road,pothole,W09,12.891198,77.462149,2,644,TEAM06,0.3
CMP000143,CZ01288,Pipe burst near house,water_leak,W17,12.977194,77.545552,4,3967,TEAM05,0.847
CMP000144,CZ00400,Water supply leak,water_leak,W16,12.931391,77.437696,5,2619,TEAM10,0.843
CMP000145,CZ03398,Big pothole on road,pothole,W10,12.931912,77.457501,3,13,TEAM09,0.361
CMP000146,CZ04247,Water supply leak,water_leak,W04,12.870744,77.454265,1,1603,,0.268
CMP000147,CZ01431,Garbage not collected,garbage,W01,12.829202,77.426316,3,1136,TEAM04,0.465
CMP000148,CZ00130,Deep pothole near junction,pothole,W17,12.966155,77.569502,5,105,TEAM09,0.61
CMP000149,CZ00248,Blocked drain,drainage,W20,12.82558,77.54054,2,589,TEAM03,0.295
CMP000150,CZ00019,Streetlight not working,streetlight,W18,12.966928,77.52995,3,472,TEAM03,0.404
CMP000151,CZ05886,Deep pothole near junction,pothole,W14,12.845704,77.509789,3,3621,TEAM05,0.695
CMP000152,CZ00598,Pipe burst near house,water_leak,W05,12.866945,77.536991,1,218,,0.14
CMP000153,CZ01765,Garbage not collected,garbage,W05,12.92742,77.483169,5,1396,TEAM08,0.729
CMP000154,CZ04621,Broken road surface,pothole,W02,12.826153,77.537948,2,1063,TEAM09,0.338
CMP000155,CZ03693,Pole light fused,streetlight,W20,12.822451,77.510685,1,424,TEAM02,0.159
CMP000156,CZ02241,Pole light fused,streetlight,W16,12.953518,77.490385,3,1918,,0.538
CMP000157,CZ06795,Water leakage on road,water_leak,W10,12.848622,77.431862,5,4154,TEAM05,0.985
CMP000158,CZ07617,Blocked drain,drainage,W11,12.944869,77.519141,4,1106,,0.582
CMP000159,CZ03998,Clogged sewage line,drainage,W20,12.907829,77.553888,4,3105,TEAM10,0.768
CMP000160,CZ01371,Damaged road patch,pothole,W19,12.867411,77.547183,5,3948,,0.966
CMP000161,CZ06254,Overflowing dustbin,garbage,W04,12.950114,77.567724,5,3634,TEAM10,0.936
CMP000162,CZ07251,Smell from waste,garbage,W09,12.938752,77.509788,1,2746,,0.374
CMP000163,CZ02061,Broken road surface,pothole,W05,12.835634,77.489509,4,1706,TEAM05,0.638
CMP000164,CZ07876,Water supply leak,water_leak,W01,12.965324,77.539454,3,1043,,0.457
CMP000165,CZ07247,Water leakage on road,water_leak,W16,12.913981,77.429487,3,477,TEAM01,0.404
CMP000166,CZ07316,Clogged sewage line,drainage,W09,12.854416,77.517429,1,3083,TEAM04,0.405
CMP000167,CZ05243,Water supply leak,water_leak,W09,12.87299,77.437328,1,3003,TEAM05,0.398
CMP000168,CZ03465,Pipe burst near house,water_leak,W11,12.894758,77.540058,4,227,TEAM04,0.501
CMP000169,CZ06827,Clogged sewage line,drainage,W05,12.961955,77.504213,3,2104,TEAM06,0.555
CMP000170,CZ03703,Flickering street lamp,streetlight,W10,12.861922,77.432663,4,3999,TEAM09,0.85
CMP000171,CZ07803,Dark road no lights,streetlight,W10,12.880754,77.57396,2,1988,TEAM09,0.424
CMP000172,CZ02961,Sewage water overflow,water_leak,W20,12.96202,77.481499,1,3019,TEAM03,0.4
CMP000173,CZ00387,Open manhole,drainage,W18,12.85764,77.561878,5,1980,TEAM10,0.783
CMP000174,CZ04777,Deep pothole near junction,pothole,W11,12.921585,77.570407,4,425,TEAM08,0.519
CMP000175,CZ06284,Smell from waste,garbage,W12,12.944428,77.538918,4,2385,TEAM09,0.701
CMP000176,CZ00396,Street garbage pile,garbage,W03,12.846562,77.525141,1,160,TEAM03,0.135
CMP000177,CZ05747,Dark road no lights,streetlight,W02,12.847389,77.466135,1,854,,0.199
CMP000178,CZ03906,Water leakage on road,water_leak,W04,12.822211,77.437565,5,3785,TEAM08,0.95
CMP000179,CZ01961,Damaged road patch,pothole,W01,12.902527,77.520229,1,3501,,0.444
CMP000180,CZ07898,Water leakage on road,water_leak,W19,12.922945,77.570941,1,148,TEAM07,0.134
CMP000181,CZ02278,Water leakage on road,water_leak,W01,12.872623,77.434785,3,4270,TEAM02,0.755
CMP000182,CZ01827,Blocked drain,drainage,W16,12.855815,77.461612,3,2742,TEAM05,0.614
CMP000183,CZ02591,Dark road no lights,streetlight,W10,12.963667,77.4231,1,1014,TEAM07,0.214
CMP000184,CZ04319,Big pothole on road,pothole,W04,12.882398,77.45458,5,492,TEAM03,0.646
CMP000185,CZ01261,Drainage overflowing,drainage,W02,12.939439,77.5218,1,2681,TEAM10,0.368
CMP000186,CZ04710,Open manhole,drainage,W16,12.868671,77.475264,3,2931,TEAM08,0.631
CMP000187,CZ05993,Pipe burst near house,water_leak,W12,12.849296,77.524927,2,4029,TEAM08,0.613
CMP000188,CZ00857,Water supply leak,water_leak,W11,12.956685,77.571524,2,1941,TEAM08,0.42
CMP000189,CZ02834,Dark road no lights,streetlight,W01,12.972788,77.466614,5,509,TEAM10,0.647
CMP000190,CZ05278,Sewage water overflow,water_leak,W01,12.850748,77.52059,3,3866,TEAM10,0.718
CMP000191,CZ00999,Dark road no lights,streetlight,W08,12.959045,77.572173,1,2277,TEAM01,0.331
CMP000192,CZ07698,Deep pothole near junction,pothole,W04,12.96488,77.483618,1,1575,TEAM10,0.266
CMP000193,CZ03776,Damaged road patch,pothole,W03,12.935816,77.547579,5,2312,,0.814
CMP000194,CZ01903,Deep pothole near junction,pothole,W15,12.865774,77.484645,1,736,TEAM07,0.188
CMP000195,CZ06711,Dark road no lights,streetlight,W12,12.887591,77.51464,3,2683,TEAM01,0.608
CMP000196,CZ05439,Drainage overflowing,drainage,W11,12.928225,77.538808,2,585,,0.294
CMP000197,CZ05234,Pipe burst near house,water_leak,W08,12.852713,77.552857,2,1396,TEAM09,0.369
CMP000198,CZ03143,Streetlight not working,streetlight,W17,12.832251,77.547256,1,1154,TEAM08,0.227
CMP000199,CZ07388,Clogged sewage line,drainage,W06,12.869826,77.500043,5,1764,TEAM04,0.763
CMP000200,CZ07622,Deep pothole near junction,pothole,W03,12.861975,77.523262,2,2020,,0.427
CMP000201,CZ03267,Deep pothole near junction,pothole,W15,12.959294,77.573796,5,4148,TEAM02,0.984
CMP000202,CZ00712,Smell from waste,garbage,W06,12.88873,77.445607,1,2650,,0.365
CMP000203,CZ07039,Water leakage on road,water_leak,W17,12.834476,77.477023,3,3160,TEAM01,0.653
CMP000204,CZ06469,Sewage water overflow,water_leak,W10,12.838722,77.474105,4,4236,TEAM10,0.872
CMP000205,CZ05409,Damaged road patch,pothole,W09,12.88099,77.467705,3,1834,TEAM09,0.53
CMP000206,CZ00142,Broken road surface,pothole,W09,12.919261,77.51097,4,3085,TEAM08,0.766
CMP000207,CZ00868,Street garbage pile,garbage,W03,12.868766,77.435883,2,1113,TEAM06,0.343
CMP000208,CZ06271,Blocked drain,drainage,W13,12.927748,77.504152,5,940,TEAM06,0.687
CMP000209,CZ06973,Dark road no lights,streetlight,W02,12.92792,77.452822,2,2296,TEAM03,0.453
CMP000210,CZ06846,Sewage water overflow,water_leak,W03,12.895169,77.469867,2,1952,TEAM01,0.421
CMP000211,CZ04897,Damaged road patch,pothole,W20,12.95809,77.476803,1,223,TEAM03,0.141
CMP000212,CZ05480,Drainage overflowing,drainage,W18,12.843582,77.447026,3,2540,TEAM03,0.595
CMP000213,CZ00256,Water leakage on road,water_leak,W03,12.86868,77.450678,5,3907,TEAM04,0.962
CMP000214,CZ04638,Big pothole on road,pothole,W16,12.935868,77.491808,3,2047,TEAM10,0.55
CMP000215,CZ03086,Pole light fused,streetlight,W19,12.958381,77.520994,4,1956,TEAM06,0.661
CMP000216,CZ03459,Blocked drain,drainage,W20,12.902184,77.578065,3,4,TEAM05,0.36
CMP000217,CZ06158,Deep pothole near junction,pothole,W05,12.938025,77.503582,4,1777,TEAM05,0.645
CMP000218,CZ00455,Dark road no lights,streetlight,W10,12.82394,77.53706,5,1720,TEAM04,0.759
CMP000219,CZ03405,Open manhole,drainage,W09,12.903687,77.544739,5,2742,TEAM09,0.854
CMP000220,CZ02779,Street garbage pile,garbage,W06,12.873958,77.548281,2,1577,TEAM03,0.386
CMP000221,CZ07353,Flickering street lamp,streetlight,W19,12.847477,77.534752,4,460,TEAM06,0.523
CMP000222,CZ02089,Damaged road patch,pothole,W03,12.844031,77.44984,3,2523,TEAM08,0.594
CMP000223,CZ02940,Smell from waste,garbage,W20,12.876144,77.565803,3,2867,TEAM08,0.625
CMP000224,CZ05511,Pipe burst near house,water_leak,W08,12.87912,77.50601,1,1416,TEAM01,0.251
CMP000225,CZ06999,Water supply leak,water_leak,W03,12.844996,77.560163,2,3374,,0.552
CMP000226,CZ00162,Water supply leak,water_leak,W09,12.915481,77.485296,3,1554,TEAM08,0.504
CMP000227,CZ02175,Overflowing dustbin,garbage,W04,12.967019,77.42081,5,3135,TEAM07,0.89
CMP000228,CZ03855,Dark road no lights,streetlight,W05,12.835946,77.566913,2,4228,TEAM10,0.631
CMP000229,CZ06679,Sewage water overflow,water_leak,W20,12.919977,77.577116,5,2694,TEAM03,0.849
CMP000230,CZ06161,Streetlight not working,streetlight,W03,12.898033,77.531524,5,3141,TEAM01,0.891
CMP000231,CZ05822,Drainage overflowing,drainage,W11,12.958327,77.513141,4,2560,TEAM02,0.717
CMP000232,CZ02265,Deep pothole near junction,pothole,W18,12.924688,77.448555,4,3197,TEAM08,0.776
CMP000233,CZ02231,Dark road no lights,streetlight,W02,12.88468,77.566024,4,3922,TEAM08,0.843
CMP000234,CZ04511,Streetlight not working,streetlight,W16,12.887341,77.435473,3,497,TEAM05,0.406
CMP000235,CZ04265,Drainage overflowing,drainage,W10,12.909179,77.451977,3,3371,TEAM01,0.672
CMP000236,CZ02287,Water supply leak,water_leak,W01,12.895502,77.572771,5,2110,TEAM05,0.795
CMP000237,CZ01271,Drainage overflowing,drainage,W04,12.894281,77.5311,5,1898,TEAM10,0.776
CMP000238,CZ05895,Street garbage pile,garbage,W07,12.89645,77.486347,5,1752,TEAM05,0.762
CMP000239,CZ05851,Garbage not collected,garbage,W20,12.969653,77.437132,4,2103,TEAM10,0.675
CMP000240,CZ03829,Broken road surface,pothole,W16,12.891543,77.515331,4,2706,TEAM07,0.731
CMP000241,CZ03662,Broken road surface,pothole,W12,12.894386,77.551112,2,788,TEAM04,0.313
CMP000242,CZ06771,Open manhole,drainage,W02,12.970136,77.476037,1,1007,TEAM10,0.213
CMP000243,CZ00790,Blocked drain,drainage,W03,12.908209,77.458631,5,3891,TEAM01,0.96
CMP000244,CZ03360,Drainage overflowing,drainage,W16,12.930645,77.574675,3,1183,TEAM09,0.47
CMP000245,CZ02201,Broken road surface,pothole,W16,12.923552,77.425704,1,2116,TEAM06,0.316
CMP000246,CZ02142,Pipe burst near house,water_leak,W07,12.823259,77.454348,1,1183,TEAM04,0.23
CMP000247,CZ00909,Broken road surface,pothole,W07,12.870806,77.568868,4,946,TEAM05,0.568
CMP000248,CZ00848,Clogged sewage line,drainage,W06,12.832727,77.425065,4,2485,TEAM03,0.71
CMP000249,CZ05951,Smell from waste,garbage,W08,12.86954,77.537806,5,3803,,0.952
CMP000250,CZ06132,Water leakage on road,water_leak,W03,12.907578,77.520903,5,3968,TEAM01,0.967
CMP000251,CZ00437,Street garbage pile,garbage,W14,12.868475,77.445227,2,26,TEAM10,0.242
CMP000252,CZ06201,Open manhole,drainage,W03,12.951933,77.566824,2,4206,TEAM02,0.629
CMP000253,CZ05109,Water supply leak,water_leak,W11,12.907886,77.516511,4,2928,TEAM06,0.751
CMP000254,CZ02745,Garbage not collected,garbage,W15,12.917917,77.500978,2,2705,TEAM03,0.49
CMP000255,CZ07568,Water leakage on road,water_leak,W02,12.84652,77.473843,3,1585,TEAM03,0.507
CMP000256,CZ03813,Clogged sewage line,drainage,W18,12.902381,77.480055,3,1258,TEAM08,0.476
CMP000257,CZ01710,Water leakage on road,water_leak,W02,12.885929,77.56541,3,350,TEAM05,0.392
CMP000258,CZ03977,Overflowing dustbin,garbage,W10,12.820346,77.507824,3,952,TEAM02,0.448
CMP000259,CZ04832,Deep pothole near junction,pothole,W13,12.887471,77.48519,2,1752,TEAM02,0.402
CMP000260,CZ07711,Big pothole on road,pothole,W20,12.835812,77.5726,4,2309,TEAM09,0.694
CMP000261,CZ03306,Water leakage on road,water_leak,W07,12.969926,77.484412,2,4175,TEAM07,0.627
CMP000262,CZ05782,Garbage not collected,garbage,W13,12.974339,77.430382,3,2639,TEAM06,0.604
CMP000263,CZ00688,Garbage not collected,garbage,W14,12.935885,77.560536,2,1967,TEAM02,0.422
CMP000264,CZ00720,Sewage water overflow,water_leak,W03,12.823461,77.440471,1,3852,TEAM03,0.477
CMP000265,CZ04463,Drainage overflowing,drainage,W03,12.904745,77.458014,1,3079,TEAM07,0.405
CMP000266,CZ04883,Water supply leak,water_leak,W20,12.908115,77.426344,5,3724,TEAM09,0.945
CMP000267,CZ07557,Drainage overflowing,drainage,W06,12.851323,77.514204,4,1845,TEAM10,0.651
CMP000268,CZ05102,Deep pothole near junction,pothole,W18,12.899176,77.516221,5,3897,TEAM06,0.961
