trip_id,rider_id,driver_id,pickup_zone,dropoff_zone,pickup_time_min,trip_distance_km,base_fare,surge_multiplier,final_fare
94,590,581,Z15,Z3,872,15.94,239.34,1.47,351.83
95,293,17,Z4,Z3,118,9.41,136.55,1.34,182.98
96,1267,287,Z11,Z2,1312,22.81,344.16,1.03,354.48
97,264,504,Z12,Z16,783,1.93,48.38,1.15,55.64
98,1505,519,Z14,Z19,35,11.88,159.27,1.47,234.13
99,2152,309,Z19,Z4,998,10.26,150.38,1.11,166.92
100,2431,248,Z18,Z12,1368,10.97,163.94,1.49,244.27
101,632,515,Z5,Z1,96,20.33,308.81,1.23,379.84
102,741,142,Z15,Z5,1033,14.21,216.92,1.02,221.26
103,1972,455,Z3,Z13,1276,15.7,244.05,1.34,327.03
104,2019,453,Z13,Z3,141,16.66,276.37,1.02,281.9
105,629,251,Z2,Z18,253,20.92,277.08,1.34,371.29
106,823,710,Z7,Z1,1426,19.81,246.6,1.28,315.65
107,224,246,Z15,Z7,608,12.92,203.96,1.25,254.95
108,739,766,Z20,Z2,263,23.19,372.67,1.21,450.93
109,102,531,Z1,Z18,210,4.51,95.02,1.04,98.82
110,268,418,Z4,Z3,866,15.7,212.06,1.1,233.27
111,2254,665,Z12,Z4,1230,2.55,63.06,1.01,63.69
112,940,745,Z20,Z18,619,3.65,79.25,1.42,112.53
113,153,359,Z18,Z15,640,19.68,243.58,1.15,280.12
114,1941,564,Z11,Z11,896,8.73,144.75,1.02,147.65
115,1967,640,Z2,Z13,1082,7.61,102.52,1.79,183.51
116,1454,16,Z13,Z4,890,23.91,354.08,1.21,428.44
117,777,62,Z14,Z5,1114,8.53,128.73,1.98,254.89
118,2667,637,Z20,Z13,884,24.23,253.94,1.39,352.98
119,2502,722,Z14,Z11,64,5.06,88.35,1.04,91.88
120,1358,536,Z15,Z20,1137,6.17,94.54,1.42,134.25
121,2820,146,Z3,Z19,372,2.15,56.78,1.39,78.92
122,754,764,Z10,Z15,740,6.01,102.48,1.15,117.85
123,1204,741,Z12,Z3,916,19.73,272.7,1.49,406.32
124,1595,484,Z4,Z19,774,14.8,214.49,1.18,253.1
125,991,296,Z14,Z8,126,16.18,214.54,1.48,317.52
126,1263,734,Z10,Z12,696,16.16,248.47,1.43,355.31
127,404,527,Z16,Z17,1011,16.25,201.6,1.43,288.29
128,1969,795,Z2,Z8,230,4.32,86.62,1.17,101.35
129,2020,600,Z19,Z12,514,19.78,299.8,1.47,440.71
130,2047,14,Z15,Z5,876,3.55,66.88,1.18,78.92
131,2994,103,Z8,Z3,703,2.47,55.74,1.04,57.97
132,2108,333,Z12,Z13,371,18.28,226.12,1.31,296.22
133,1862,782,Z5,Z3,600,16.37,216.97,1.14,247.35
134,1747,766,Z3,Z10,96,8.42,146.35,1.34,196.11
135,1502,478,Z8,Z1,540,11.85,198.25,1.95,386.59
136,1208,295,Z6,Z8,126,2.53,57.22,1.28,73.24
137,1095,280,Z11,Z11,1373,8.05,135.23,1.25,169.04
138,2746,20,Z19,Z20,992,8.64,156.95,1.43,224.44
139,752,386,Z8,Z18,1172,10.33,170.53,1.82,310.36
140,2253,271,Z13,Z11,1094,6.84,116.22,1.22,141.79
141,678,16,Z8,Z13,335,18.11,226.26,1.14,257.94
142,1071,638,Z7,Z1,570,17.84,239.79,1.45,347.7
143,2992,546,Z5,Z19,1094,24.59,282.52,1.02,288.17
144,342,401,Z6,Z18,65,23.32,257.65,1.44,371.02
145,1170,633,Z12,Z9,102,20.56,286.04,1.44,411.9
146,2552,288,Z19,Z7,493,12.83,217.93,1.8,392.27
147,1493,29,Z12,Z17,1237,14.87,203.64,1.09,221.97
148,2515,80,Z13,Z17,1155,16.75,222.12,1.6,355.39
149,1547,69,Z15,Z19,848,3.96,68.91,1.32,90.96
150,2842,495,Z10,Z13,674,21.84,215.92,1.12,241.83
151,1333,177,Z6,Z20,1337,13.28,169.14,1.31,221.57
152,1604,59,Z20,Z20,1202,8.27,137.12,1.03,141.23
153,2904,441,Z18,Z7,706,9.65,168.65,1.17,197.32
154,661,269,Z13,Z9,748,21.73,278.77,1.43,398.64
155,1986,448,Z14,Z19,321,23.41,270.34,1.43,386.59
156,2158,269,Z2,Z9,1055,19.04,268.56,1.11,298.1
157,969,215,Z6,Z17,900,19.3,270.45,1.21,327.24
158,2567,683,Z18,Z11,259,1.65,44.4,1.37,60.83
159,321,375,Z9,Z14,15,6.75,107.95,1.32,142.49
160,1303,481,Z15,Z8,1256,8.96,128.77,1.27,163.54
161,2556,623,Z16,Z12,928,22.52,281.55,1.0,281.55
162,2437,186,Z14,Z1,103,10.08,179.74,1.23,221.08
163,1638,604,Z8,Z13,123,23.02,343.08,1.34,459.73
164,1714,8,Z1,Z13,772,21.7,251.4,1.41,354.47
165,64,353,Z5,Z19,939,18.71,273.89,1.08,295.8
166,77,351,Z6,Z14,275,20.71,220.39,1.35,297.53
167,2280,742,Z4,Z16,1328,15.14,229.34,1.45,332.54
168,1541,285,Z3,Z17,277,24.9,297.81,1.18,351.42
169,1200,780,Z17,Z9,25,22.4,358.23,1.04,372.56
170,2213,43,Z19,Z12,830,12.51,139.15,1.43,198.98
171,2153,545,Z18,Z20,763,3.76,62.71,1.19,74.62
172,1410,259,Z13,Z3,665,24.13,347.61,1.14,396.28
173,625,730,Z3,Z6,1118,9.63,114.21,1.47,167.89
174,406,141,Z7,Z7,231,8.81,108.9,1.17,127.41
175,2634,421,Z15,Z6,1022,3.56,68.94,1.05,72.39
176,2194,528,Z19,Z17,779,14.83,248.19,1.05,260.6
177,2002,575,Z16,Z13,649,22.52,299.68,1.43,428.54
178,1229,366,Z9,Z4,184,5.61,113.88,1.15,130.96
179,247,628,Z13,Z18,406,4.08,78.1,1.39,108.56
180,1173,496,Z14,Z12,646,21.75,287.63,1.14,327.9
181,2676,553,Z13,Z15,6,1.61,49.83,1.1,54.81
182,2596,179,Z20,Z14,1022,9.14,118.35,1.22,144.39
183,1926,102,Z13,Z14,572,7.1,104.26,1.76,183.5
184,1822,682,Z3,Z1,1420,14.92,246.71,1.46,360.2
185,139,451,Z13,Z4,919,9.19,111.58,1.39,155.1
186,673,218,Z18,Z10,1182,17.46,221.53,1.96,434.2
187,1472,220,Z3,Z12,813,10.31,165.5,1.34,221.77
188,1571,499,Z11,Z7,1421,19.58,260.23,1.17,304.47
189,1608,300,Z10,Z11,700,7.52,93.78,1.25,117.22
190,848,24,Z10,Z19,264,2.98,72.24,1.41,101.86
191,2705,314,Z18,Z19,94,4.56,91.87,1.07,98.3
192,2141,260,Z19,Z19,996,4.89,95.18,1.33,126.59
193,2249,797,Z5,Z18,353,14.83,172.07,1.12,192.72
194,207,57,Z14,Z20,694,7.19,121.33,1.08,131.04
195,696,474,Z1,Z15,22,21.35,288.84,1.06,306.17
196,1146,479,Z20,Z11,335,4.34,84.77,1.3,110.2
197,1169,776,Z10,Z2,462,10.48,124.24,1.38,171.45
198,958,416,Z5,Z6,141,21.41,271.79,1.11,301.69
199,901,255,Z13,Z1,572,4.79,91.21,1.18,107.63
200,2984,472,Z8,Z11,429,17.55,190.38,1.11,211.32
201,450,430,Z7,Z4,123,15.25,178.24,1.02,181.8
202,1622,103,Z18,Z17,1181,12.61,181.21,1.32,239.2
203,2262,700,Z7,Z14,1111,20.3,197.34,1.67,329.56
204,419,759,Z9,Z18,532,12.11,193.16,1.73,334.17
205,1082,130,Z12,Z19,1099,6.2,81.83,1.92,157.11
206,678,272,Z3,Z13,985,11.94,152.29,1.01,153.81
207,2416,282,Z2,Z12,570,1.46,43.5,1.13,49.15
208,447,615,Z20,Z8,1381,11.07,132.74,1.28,169.91
209,2654,335,Z8,Z1,491,24.43,226.35,1.35,305.57
210,2268,148,Z7,Z20,283,8.41,120.01,1.09,130.81
211,2164,75,Z16,Z20,1077,16.98,232.88,1.48,344.66
212,1487,237,Z8,Z15,185,14.7,187.43,1.28,239.91
213,1992,540,Z12,Z1,1097,3.78,66.0,1.56,102.96
214,1534,676,Z20,Z11,883,19.46,258.86,1.14,295.1
215,306,371,Z16,Z10,1402,13.0,150.3,1.18,177.35
216,1572,715,Z16,Z5,556,11.18,190.2,1.29,245.36
217,2945,366,Z11,Z17,928,16.48,199.73,1.48,295.6
218,2461,182,Z20,Z19,1280,3.83,67.87,1.28,86.87
219,2840,86,Z16,Z14,402,13.9,219.65,1.25,274.56
220,157,712,Z12,Z20,467,7.1,93.46,1.44,134.58
221,833,184,Z16,Z15,13,16.73,241.45,1.29,311.47
222,1121,347,Z18,Z3,914,14.83,241.3,1.34,323.34
223,1041,476,Z5,Z17,31,3.7,67.69,1.34,90.7
224,588,580,Z3,Z1,126,8.58,132.83,1.33,176.66
225,567,127,Z19,Z4,113,19.46,209.55,1.09,228.41
226,1563,135,Z10,Z10,467,9.44,170.29,1.24,211.16
227,1286,795,Z3,Z2,410,21.69,254.88,1.03,262.53
228,532,286,Z17,Z7,799,22.53,224.86,1.12,251.84
229,923,534,Z3,Z13,1307,23.64,359.28,1.04,373.65
230,793,271,Z17,Z3,1360,8.04,102.2,1.46,149.21
231,2541,72,Z14,Z9,546,22.79,309.88,1.49,461.72
232,2119,128,Z3,Z14,175,22.79,275.4,1.05,289.17
233,2257,278,Z17,Z6,1363,16.03,233.12,1.3,303.06
234,2931,480,Z5,Z17,1009,15.71,254.1,1.3,330.33
235,1449,452,Z14,Z8,146,1.32,47.52,1.42,67.48
236,1143,669,Z11,Z10,185,5.36,83.31,1.49,124.13
237,1101,266,Z14,Z4,1134,18.39,214.64,1.01,216.79
238,1495,307,Z16,Z16,165,23.19,254.37,1.03,262.0
239,423,480,Z11,Z9,1217,20.63,326.49,1.23,401.58
240,2355,159,Z2,Z5,317,18.09,264.16,1.26,332.84
241,2415,95,Z4,Z16,323,4.11,80.35,1.0,80.35
242,2360,694,Z10,Z7,644,3.77,69.27,1.07,74.12
243,2443,515,Z18,Z15,168,9.63,156.57,1.33,208.24
244,572,49,Z7,Z8,987,17.72,280.09,1.35,378.12
245,513,415,Z5,Z20,1056,9.18,112.79,1.47,165.8
246,2156,255,Z8,Z18,1200,11.77,158.32,1.41,223.23
247,658,293,Z17,Z3,436,13.1,160.87,1.44,231.65
248,89,553,Z6,Z17,31,12.02,173.49,1.14,197.78
249,863,360,Z11,Z4,1111,9.44,156.22,1.64,256.2
250,2733,167,Z1,Z5,116,6.72,99.66,1.22,121.59
251,1513,391,Z14,Z17,874,15.23,196.38,1.21,237.62
252,1811,242,Z13,Z17,1252,8.47,137.0,1.24,169.88
253,126,10,Z17,Z6,709,23.83,280.83,1.34,376.31
254,703,434,Z9,Z20,700,11.84,131.94,1.02,134.58
255,237,562,Z5,Z15,980,23.89,379.79,1.14,432.96
256,1526,766,Z9,Z18,209,11.19,177.42,1.25,221.77
257,1161,742,Z10,Z15,466,11.7,148.17,1.48,219.29
258,1036,718,Z13,Z12,586,3.13,57.49,1.17,67.26
259,864,415,Z2,Z18,955,23.65,304.59,1.06,322.87
260,2706,655,Z7,Z12,1046,3.64,62.41,1.32,82.38
261,369,81,Z18,Z10,155,7.33,107.47,1.15,123.59
262,1773,722,Z13,Z4,304,16.81,229.9,1.25,287.38
263,2340,789,Z17,Z6,628,4.37,79.08,1.35,106.76
264,2718,165,Z13,Z10,477,23.2,311.05,1.29,401.25
265,2501,745,Z11,Z6,897,22.52,347.78,1.3,452.11
266,1140,102,Z6,Z7,267,2.69,51.57,1.19,61.37
267,2218,518,Z1,Z2,311,5.53,75.57,1.49,112.6
268,321,626,Z2,Z9,1360,19.6,288.7,1.46,421.5
269,1932,324,Z19,Z18,857,13.67,220.72,1.1,242.79
270,2653,51,Z8,Z8,1391,14.13,198.41,1.38,273.81
271,2552,290,Z3,Z11,667,1.55,48.96,1.25,61.2
272,2331,39,Z5,Z8,262,10.66,173.0,1.38,238.74
273,1202,262,Z7,Z6,189,16.69,200.93,1.45,291.35
274,534,64,Z2,Z8,561,23.9,272.21,1.56,424.65
275,504,46,Z17,Z1,970,18.26,234.19,1.29,302.11
276,2640,52,Z2,Z10,770,2.44,57.46,1.43,82.17
277,2275,86,Z16,Z3,823,3.51,75.51,1.14,86.08
278,505,70,Z14,Z5,144,16.9,233.29,1.12,261.28
279,2320,724,Z19,Z11,1375,1.41,44.18,1.25,55.23
280,163,364,Z6,Z11,896,5.15,85.06,1.11,94.42
281,896,10,Z7,Z1,166,17.27,261.46,1.48,386.96
282,724,778,Z7,Z19,28,12.17,204.05,1.01,206.09
283,2052,21,Z20,Z20,180,2.73,53.46,1.15,61.48
284,2540,70,Z2,Z19,879,10.97,181.07,1.42,257.12
285,1452,546,Z4,Z16,1122,10.94,188.14,1.27,238.94
286,2226,220,Z6,Z16,1126,17.56,175.94,1.53,269.19
287,1186,33,Z10,Z6,548,24.76,371.48,1.68,624.09
288,365,617,Z14,Z6,135,13.95,153.59,1.13,173.56
289,1196,664,Z10,Z14,892,20.44,330.16,1.37,452.32
290,767,113,Z12,Z19,754,22.74,362.07,1.17,423.62
291,748,211,Z1,Z20,1090,16.66,196.18,1.78,349.2
292,2620,170,Z19,Z17,245,8.38,105.23,1.38,145.22
293,2748,531,Z14,Z18,1088,20.14,277.62,1.15,319.26
294,183,747,Z12,Z10,577,1.45,42.36,1.39,58.88
295,1675,653,Z13,Z18,1161,15.07,185.49,1.09,202.18
296,1603,169,Z15,Z11,799,4.74,87.03,1.3,113.14
297,1280,46,Z10,Z2,266,10.37,171.7,1.31,224.93
298,903,277,Z19,Z4,765,12.88,173.26,1.47,254.69
299,2077,265,Z20,Z12,561,5.26,78.02,1.12,87.38
300,709,97,Z1,Z13,1284,15.8,199.44,1.37,273.23
301,2380,364,Z14,Z14,130,15.56,260.97,1.25,326.21
302,2162,547,Z10,Z20,54,8.61,143.58,1.2,172.3
303,2404,446,Z15,Z18,592,12.81,177.56,1.61,285.87
304,1398,68,Z9,Z3,720,21.81,253.46,1.42,359.91
305,788,6,Z6,Z17,1001,22.36,249.2,1.19,296.55
306,198,40,Z7,Z11,389,2.19,58.9,1.17,68.91
307,2178,83,Z20,Z5,672,14.09,174.25,1.39,242.21
308,402,487,Z5,Z5,1069,6.35,82.52,1.16,95.72
309,1491,128,Z10,Z14,1055,12.04,128.11,1.32,169.11
310,1693,175,Z11,Z19,434,24.1,248.92,1.35,336.04
311,979,261,Z6,Z14,1135,14.65,239.98,1.58,379.17
312,1866,308,Z6,Z19,1189,3.71,71.84,1.67,119.97
313,2658,104,Z9,Z19,797,13.19,180.91,1.43,258.7
314,1096,576,Z11,Z11,1300,11.59,182.93,1.35,246.96
315,474,344,Z13,Z5,227,14.58,227.29,1.3,295.48
316,345,321,Z12,Z9,988,17.67,292.6,1.48,433.05
317,730,331,Z2,Z14,1282,23.69,331.05,1.46,483.33
318,746,211,Z7,Z20,1243,16.48,248.85,1.45,360.83
319,478,654,Z3,Z10,483,8.46,138.59,1.51,209.27
320,2586,188,Z1,Z3,943,1.38,44.21,1.14,50.4
321,2633,102,Z5,Z7,426,6.53,121.6,1.08,131.33
322,1798,244,Z12,Z13,922,13.47,180.95,1.21,218.95
323,705,1,Z1,Z4,356,9.85,157.37,1.38,217.17
324,2642,485,Z3,Z19,710,20.25,204.67,1.46,298.82
325,1949,492,Z13,Z19,326,9.31,146.11,1.29,188.48
326,2715,551,Z2,Z1,1087,9.33,108.0,1.32,142.56
327,612,759,Z4,Z15,1220,16.81,201.05,1.19,239.25
328,673,191,Z15,Z15,477,11.35,183.12,1.33,243.55
329,913,555,Z8,Z1,1156,16.51,239.91,1.78,427.04
330,1819,352,Z20,Z20,535,5.39,91.99,1.65,151.78
331,2885,111,Z14,Z16,1026,21.11,235.65,1.21,285.14
332,111,723,Z8,Z8,651,21.93,285.46,1.16,331.13
333,2024,717,Z16,Z9,798,12.48,179.91,1.04,187.11
334,1876,541,Z20,Z18,1161,16.88,281.34,1.27,357.3
335,861,94,Z12,Z11,1025,7.43,137.24,1.11,152.34
336,1600,261,Z10,Z16,406,24.65,281.19,1.33,373.98
337,1437,790,Z14,Z3,830,14.79,222.47,1.18,262.51
338,2034,136,Z14,Z8,54,24.09,255.01,1.2,306.01
339,2518,75,Z19,Z15,421,10.54,133.76,1.22,163.19
340,678,783,Z14,Z2,355,20.77,268.26,1.47,394.34
341,7,25,Z16,Z19,66,18.07,190.85,1.18,225.2
342,108,152,Z15,Z6,622,8.87,141.05,1.2,169.26
343,889,510,Z16,Z6,482,22.78,334.15,1.06,354.2
344,1809,329,Z19,Z7,1020,9.32,110.42,1.29,142.44
345,914,406,Z12,Z6,537,24.3,320.24,1.89,605.25
346,2839,87,Z6,Z3,1048,10.05,125.17,1.14,142.69
347,1581,332,Z12,Z8,1277,20.13,209.28,1.41,295.08
348,2911,152,Z11,Z2,1140,23.57,314.73,1.64,516.16
349,1876,573,Z2,Z18,476,17.83,195.7,1.21,236.8
350,1499,637,Z9,Z14,493,6.3,95.75,1.15,110.11
351,2488,581,Z14,Z13,917,6.45,94.49,1.01,95.43
352,2501,222,Z3,Z2,211,14.39,189.0,1.44,272.16
353,2804,530,Z10,Z4,1011,5.12,88.74,1.19,105.6
354,556,442,Z11,Z7,155,1.32,42.3,1.14,48.22
355,440,515,Z9,Z16,365,18.93,264.14,1.36,359.23
356,1091,205,Z19,Z2,1209,6.38,123.33,1.21,149.23
357,2995,287,Z16,Z15,628,24.43,275.05,1.23,338.31
358,2932,413,Z19,Z15,185,8.18,132.31,1.36,179.94
359,649,18,Z16,Z8,478,11.95,161.12,1.11,178.84
360,769,487,Z14,Z15,9,15.65,181.7,1.27,230.76
361,730,215,Z4,Z15,511,4.43,88.32,1.07,94.5
362,172,45,Z14,Z10,594,16.53,268.56,1.18,316.9
363,684,665,Z16,Z4,1414,1.02,42.32,1.24,52.48
364,224,189,Z6,Z9,166,4.67,89.71,1.16,104.06
365,2649,21,Z4,Z15,999,2.16,48.33,1.1,53.16
366,636,769,Z20,Z19,978,11.62,156.26,1.43,223.45
367,286,474,Z2,Z20,866,18.75,192.58,1.35,259.98
368,1543,600,Z14,Z11,1304,23.02,261.53,1.03,269.38
369,916,291,Z18,Z11,835,4.12,88.99,1.32,117.47
370,2662,281,Z10,Z10,1186,22.48,257.0,1.99,511.43
371,89,84,Z2,Z17,67,1.05,40.11,1.38,55.35
372,1519,469,Z7,Z4,877,21.72,241.6,1.27,306.83
373,1196,425,Z12,Z7,666,18.97,258.25,1.2,309.9
374,1792,229,Z6,Z10,622,6.95,107.85,1.3,140.2
375,2198,247,Z18,Z7,126,1.81,55.88,1.39,77.67
376,2809,597,Z15,Z20,1312,4.84,90.68,1.26,114.26
377,255,621,Z4,Z17,423,16.7,269.24,1.38,371.55
378,1380,404,Z2,Z17,1255,20.82,281.53,1.31,368.8
379,809,438,Z5,Z7,470,6.03,106.0,1.38,146.28
380,687,67,Z5,Z17,321,18.38,204.91,1.44,295.07
381,2239,587,Z3,Z1,1416,17.8,234.51,1.33,311.9
382,2835,316,Z19,Z6,1258,4.97,102.32,1.0,102.32
383,342,272,Z2,Z3,212,4.67,70.43,1.21,85.22
384,2578,531,Z4,Z6,771,12.34,146.87,1.29,189.46
385,2503,587,Z5,Z14,329,10.61,121.27,1.41,170.99
386,2019,498,Z8,Z5,1245,20.94,300.02,1.13,339.02
387,1451,715,Z9,Z14,762,19.63,249.1,1.4,348.74
388,637,452,Z17,Z17,655,10.37,164.04,1.01,165.68
389,515,720,Z18,Z4,932,6.44,82.66,1.2,99.19
390,1143,514,Z12,Z2,705,13.95,153.61,1.36,208.91
391,1367,99,Z13,Z4,178,3.98,84.78,1.14,96.65
392,1322,763,Z14,Z8,671,7.66,100.25,1.34,134.34
393,337,328,Z1,Z9,929,24.83,321.08,1.19,382.09
394,1219,754,Z8,Z1,680,4.67,85.05,1.08,91.85
395,179,197,Z3,Z14,478,3.95,62.64,1.23,77.05
396,992,616,Z18,Z8,274,24.51,284.32,1.48,420.79
397,2773,747,Z5,Z14,1317,23.14,342.37,1.38,472.47
398,1047,591,Z19,Z6,465,15.77,158.67,1.06,168.19
399,2598,113,Z5,Z5,1107,10.86,157.05,1.61,252.85
400,224,605,Z6,Z8,310,23.59,247.06,1.02,252.0
401,1799,594,Z8,Z11,5,19.51,279.81,1.45,405.72
402,1286,556,Z13,Z12,760,22.36,234.84,1.18,277.11
403,1131,482,Z6,Z9,159,11.34,181.75,1.08,196.29
404,2261,701,Z15,Z7,175,9.24,158.82,1.4,222.35
405,2514,422,Z3,Z11,17,5.61,106.0,1.23,130.38
406,2669,396,Z5,Z18,733,8.9,162.97,1.13,184.16
407,2094,351,Z13,Z10,645,7.59,104.95,1.05,110.2
408,2338,195,Z20,Z14,852,2.25,59.61,1.31,78.09
409,1892,622,Z9,Z11,1303,7.83,92.76,1.46,135.43
410,47,376,Z3,Z2,90,3.67,81.62,1.18,96.31
411,1184,368,Z18,Z13,232,2.42,58.79,1.09,64.08
412,925,760,Z20,Z15,568,2.42,64.63,1.16,74.97
413,2910,371,Z14,Z12,115,5.04,89.44,1.12,100.17
414,1581,648,Z11,Z8,707,19.5,189.95,1.17,222.24
415,2107,444,Z4,Z1,309,13.95,154.02,1.32,203.31
416,2339,364,Z5,Z8,276,11.1,165.93,1.5,248.9
417,2427,137,Z19,Z3,323,6.2,111.51,1.02,113.74
418,96,387,Z15,Z9,1314,4.03,88.4,1.24,109.62
419,1580,124,Z6,Z11,1201,18.44,230.05,1.35,310.57
420,78,385,Z13,Z19,1095,19.23,212.67,1.11,236.06
421,2477,100,Z19,Z20,1089,13.7,175.41,1.27,222.77
