order_id,picker_id,zone_from,zone_to,start_time_min,num_items,total_distance_m,estimated_time_min,priority
86,254,Z15,Z6,170,32,2124,50.6,LOW
87,11,Z27,Z27,296,4,612,11.5,LOW
88,169,Z9,Z3,860,7,1655,37.4,LOW
89,238,Z28,Z20,292,22,1647,37.9,MEDIUM
90,34,Z21,Z28,593,8,678,9.3,MEDIUM
91,168,Z26,Z11,1089,22,679,15.0,MEDIUM
92,250,Z29,Z11,1350,5,1919,47.0,LOW
93,231,Z3,Z9,553,16,1009,19.3,MEDIUM
94,246,Z9,Z25,322,18,1741,28.9,LOW
95,16,Z11,Z10,772,5,145,2.1,LOW
96,35,Z25,Z24,1165,3,703,15.6,MEDIUM
97,279,Z17,Z11,1309,6,1890,33.0,LOW
98,135,Z9,Z7,810,32,1712,39.1,MEDIUM
99,268,Z2,Z23,74,25,1340,22.7,LOW
100,180,Z17,Z23,1434,11,1611,22.3,MEDIUM
101,25,Z9,Z13,352,27,1158,18.0,HIGH
102,219,Z10,Z1,905,29,748,9.6,LOW
103,147,Z29,Z20,282,19,938,21.2,HIGH
104,120,Z30,Z9,375,34,2494,34.6,LOW
105,299,Z21,Z29,295,9,234,3.4,LOW
106,251,Z21,Z22,354,32,2132,27.8,HIGH
107,290,Z15,Z9,133,33,1946,32.9,MEDIUM
108,48,Z30,Z22,1119,38,988,13.8,MEDIUM
109,217,Z8,Z4,849,30,724,16.4,LOW
110,250,Z22,Z26,410,25,1614,35.2,LOW
111,190,Z11,Z12,830,33,171,2.6,LOW
112,123,Z6,Z24,1038,9,2041,26.8,LOW
113,59,Z23,Z26,1222,11,970,13.1,LOW
114,33,Z24,Z4,1235,31,1564,35.4,MEDIUM
115,99,Z25,Z11,18,7,2263,39.2,MEDIUM
116,225,Z26,Z15,179,17,2495,51.4,MEDIUM
117,236,Z20,Z10,1265,35,373,4.8,MEDIUM
118,153,Z12,Z13,77,16,1811,23.8,LOW
119,95,Z12,Z3,398,18,2389,43.9,LOW
120,192,Z21,Z12,451,8,1486,30.0,LOW
121,62,Z17,Z20,566,15,1962,39.9,MEDIUM
122,212,Z21,Z25,35,25,1095,20.5,MEDIUM
123,278,Z9,Z3,458,39,142,2.1,LOW
124,54,Z14,Z7,1127,29,156,2.7,LOW
125,202,Z2,Z12,1202,33,432,6.1,LOW
126,62,Z19,Z11,245,21,535,7.6,HIGH
127,210,Z30,Z14,882,14,1009,17.5,HIGH
128,280,Z19,Z4,1124,6,886,18.2,MEDIUM
129,296,Z12,Z25,1346,9,221,3.3,LOW
130,70,Z8,Z16,637,19,514,6.5,MEDIUM
131,22,Z13,Z26,993,19,366,7.2,MEDIUM
132,291,Z27,Z16,1247,24,2039,26.6,HIGH
133,117,Z1,Z9,1296,1,310,4.3,LOW
134,13,Z20,Z16,1287,11,2111,52.2,HIGH
135,5,Z28,Z29,602,21,1771,43.6,LOW
136,117,Z20,Z3,300,34,1033,21.2,LOW
137,165,Z8,Z17,542,7,834,11.3,LOW
138,158,Z14,Z16,932,8,881,14.1,MEDIUM
139,94,Z26,Z23,474,26,2223,36.7,MEDIUM
140,80,Z2,Z22,301,3,549,8.8,MEDIUM
141,33,Z12,Z28,297,28,1433,19.3,LOW
142,34,Z22,Z10,1226,40,769,13.4,MEDIUM
143,159,Z3,Z1,290,21,2241,28.7,MEDIUM
144,203,Z3,Z22,382,12,434,5.8,LOW
145,222,Z13,Z21,130,17,852,13.3,LOW
146,76,Z1,Z25,385,31,2444,52.6,MEDIUM
147,289,Z6,Z22,1406,9,1089,19.9,LOW
148,95,Z29,Z17,223,13,1650,35.2,LOW
149,69,Z11,Z16,608,33,313,4.1,MEDIUM
150,170,Z30,Z18,267,12,2037,49.3,MEDIUM
151,131,Z29,Z9,181,1,1337,24.4,MEDIUM
152,191,Z3,Z9,1165,23,2445,47.3,LOW
153,266,Z8,Z12,247,23,1004,15.8,LOW
154,285,Z6,Z12,340,6,2384,37.6,LOW
155,250,Z11,Z21,402,1,1425,20.6,MEDIUM
156,142,Z27,Z8,1428,16,709,9.8,LOW
157,169,Z28,Z27,630,38,374,6.0,MEDIUM
158,227,Z5,Z22,411,8,1927,32.5,MEDIUM
159,165,Z25,Z29,10,17,1838,39.1,MEDIUM
160,203,Z5,Z26,1011,19,2064,27.7,HIGH
161,32,Z20,Z13,643,3,1402,20.6,MEDIUM
162,90,Z6,Z2,1116,1,2385,43.1,LOW
163,215,Z9,Z7,579,3,744,10.6,LOW
164,127,Z23,Z15,1164,20,84,1.1,LOW
165,259,Z22,Z28,259,4,222,4.4,HIGH
166,274,Z15,Z23,638,22,993,13.6,HIGH
167,125,Z26,Z12,283,27,2110,28.9,LOW
168,38,Z6,Z23,78,35,677,12.0,LOW
169,142,Z1,Z26,522,12,1409,17.7,MEDIUM
170,71,Z19,Z2,1035,6,2378,38.3,HIGH
171,260,Z9,Z30,1422,15,1580,30.6,LOW
172,85,Z21,Z10,329,5,1268,19.8,LOW
173,148,Z17,Z27,1182,29,1948,31.5,HIGH
174,206,Z19,Z29,214,6,381,7.7,LOW
175,139,Z28,Z11,84,18,941,15.6,LOW
176,296,Z10,Z26,1189,4,1121,26.4,MEDIUM
177,6,Z14,Z11,866,38,2251,49.6,MEDIUM
178,272,Z12,Z6,1267,17,1106,24.6,LOW
179,201,Z1,Z7,831,35,611,8.1,MEDIUM
180,147,Z24,Z29,1380,40,658,14.2,LOW
181,25,Z17,Z25,939,23,1726,30.3,LOW
182,102,Z25,Z27,900,22,1790,28.2,LOW
183,237,Z29,Z8,252,34,1399,28.1,MEDIUM
184,240,Z7,Z25,640,28,717,9.8,LOW
185,13,Z19,Z15,1098,17,680,13.0,HIGH
186,276,Z14,Z25,466,10,1571,31.6,LOW
187,117,Z3,Z25,639,35,2362,42.2,HIGH
188,198,Z20,Z4,969,18,437,10.7,HIGH
189,84,Z25,Z8,1343,30,271,4.7,LOW
190,7,Z25,Z3,316,34,2314,37.7,LOW
191,289,Z26,Z26,453,20,363,5.7,LOW
192,31,Z19,Z18,551,34,178,3.0,MEDIUM
193,82,Z15,Z30,204,3,1362,22.0,HIGH
194,131,Z9,Z30,694,13,412,5.8,MEDIUM
195,78,Z14,Z4,210,5,1756,28.2,LOW
196,246,Z10,Z6,544,5,2259,45.9,MEDIUM
197,27,Z6,Z16,754,16,1511,32.0,HIGH
198,65,Z10,Z16,1031,1,1822,27.2,LOW
199,246,Z9,Z4,201,35,1387,20.6,LOW
200,241,Z17,Z12,209,19,1897,40.7,LOW
201,102,Z1,Z14,595,1,511,8.6,LOW
202,22,Z20,Z16,862,4,224,3.5,MEDIUM
203,20,Z25,Z19,19,17,2429,32.3,LOW
204,222,Z1,Z18,232,36,1036,19.6,LOW
205,181,Z25,Z24,731,33,1407,20.1,LOW
206,89,Z9,Z29,720,1,842,19.0,LOW
207,91,Z16,Z22,227,8,229,2.9,MEDIUM
208,4,Z12,Z24,1062,22,1541,32.5,MEDIUM
209,274,Z26,Z1,1152,17,1222,19.7,HIGH
210,82,Z9,Z14,1246,5,481,7.0,LOW
211,183,Z26,Z30,1007,4,2155,28.8,LOW
212,259,Z13,Z6,864,17,205,3.8,LOW
213,21,Z4,Z23,1210,25,1836,28.3,MEDIUM
214,32,Z11,Z2,554,35,935,12.0,MEDIUM
215,186,Z20,Z20,359,18,734,9.7,MEDIUM
216,118,Z25,Z21,739,12,866,13.1,LOW
217,83,Z25,Z30,646,7,560,9.9,HIGH
218,58,Z16,Z10,59,21,789,10.0,MEDIUM
219,242,Z19,Z21,1329,15,1683,27.4,LOW
220,168,Z19,Z29,448,21,2045,41.2,LOW
221,244,Z17,Z17,979,35,829,10.7,MEDIUM
222,14,Z30,Z7,497,7,2326,32.9,MEDIUM
223,31,Z17,Z11,523,20,122,2.7,LOW
224,151,Z1,Z28,1382,27,391,6.4,HIGH
225,19,Z15,Z7,64,26,2021,25.5,HIGH
226,217,Z1,Z18,787,15,2429,55.5,MEDIUM
227,184,Z12,Z9,880,23,1550,31.9,LOW
228,220,Z24,Z15,1261,33,917,19.4,MEDIUM
229,94,Z8,Z16,106,4,1144,18.5,LOW
230,129,Z13,Z20,461,31,2084,35.3,HIGH
231,240,Z3,Z12,677,24,2409,34.8,MEDIUM
232,255,Z7,Z7,1119,26,1571,35.3,MEDIUM
233,77,Z7,Z14,762,18,1833,30.2,MEDIUM
234,26,Z12,Z16,1352,34,2414,41.1,MEDIUM
235,99,Z18,Z9,1034,24,149,3.0,MEDIUM
236,260,Z4,Z29,1133,17,627,12.1,HIGH
237,274,Z10,Z8,1384,17,804,12.2,MEDIUM
238,127,Z4,Z4,693,30,892,17.0,MEDIUM
239,215,Z1,Z16,194,1,645,9.0,HIGH
240,179,Z12,Z29,824,27,410,8.0,LOW
241,119,Z12,Z5,1298,4,966,22.2,MEDIUM
242,225,Z29,Z15,734,32,123,1.6,HIGH
243,101,Z1,Z30,641,15,1248,30.2,LOW
244,60,Z4,Z19,1354,9,141,2.4,MEDIUM
245,87,Z23,Z29,147,34,1473,19.7,MEDIUM
246,16,Z18,Z21,75,35,528,10.4,LOW
247,28,Z19,Z24,637,17,352,5.7,MEDIUM
248,34,Z27,Z29,1410,6,932,16.3,MEDIUM
249,88,Z30,Z15,1222,31,631,9.9,HIGH
250,207,Z8,Z22,935,36,697,10.6,LOW
251,147,Z22,Z9,61,33,1438,24.1,HIGH
252,183,Z19,Z23,246,29,742,16.7,LOW
253,34,Z29,Z25,1346,40,373,5.2,MEDIUM
254,18,Z2,Z25,415,22,1530,32.2,LOW
255,287,Z16,Z21,534,30,83,1.9,MEDIUM
256,47,Z28,Z18,968,10,2367,30.7,MEDIUM
257,199,Z25,Z13,356,31,675,15.1,MEDIUM
258,61,Z4,Z29,815,30,1462,32.9,LOW
259,163,Z21,Z21,1397,28,309,6.1,LOW
260,272,Z27,Z24,777,2,467,11.4,HIGH
261,65,Z29,Z1,1342,29,2351,45.7,MEDIUM
262,110,Z24,Z2,770,18,545,9.5,MEDIUM
263,9,Z5,Z6,926,29,139,2.7,LOW
264,286,Z29,Z28,538,30,2139,27.2,MEDIUM
265,139,Z12,Z16,1175,34,2130,50.9,LOW
266,83,Z22,Z25,1322,37,97,1.2,LOW
267,169,Z13,Z14,793,16,1112,21.5,LOW
268,162,Z2,Z27,112,11,386,5.7,MEDIUM
269,250,Z27,Z9,586,37,1401,18.4,MEDIUM
270,30,Z2,Z16,1026,9,1317,26.0,LOW
271,297,Z15,Z6,188,3,1575,26.1,MEDIUM
272,32,Z14,Z11,1177,35,261,4.1,MEDIUM
273,269,Z28,Z7,603,22,746,16.0,HIGH
274,237,Z25,Z18,502,16,1286,21.7,MEDIUM
275,114,Z21,Z10,1430,30,223,4.7,LOW
276,100,Z22,Z24,135,30,986,17.1,MEDIUM
277,180,Z15,Z9,1122,18,1925,30.2,LOW
278,263,Z9,Z5,946,40,503,7.1,HIGH
279,296,Z28,Z11,989,16,175,2.5,LOW
280,15,Z21,Z9,154,30,231,3.3,MEDIUM
281,248,Z21,Z22,831,27,1345,23.2,LOW
282,242,Z30,Z27,962,22,763,11.2,HIGH
283,143,Z9,Z23,1024,26,513,12.8,LOW
284,146,Z11,Z30,326,23,442,6.9,HIGH
285,18,Z17,Z15,237,21,2008,41.0,LOW
286,164,Z2,Z19,354,14,2090,40.0,HIGH
287,77,Z6,Z10,1289,28,2145,47.7,MEDIUM
288,180,Z6,Z12,132,31,2100,28.6,MEDIUM
289,179,Z24,Z11,694,19,800,11.6,MEDIUM
290,69,Z8,Z21,1346,40,203,3.5,LOW
291,291,Z29,Z10,621,20,1086,15.5,MEDIUM
292,245,Z14,Z11,458,3,600,14.3,LOW
293,230,Z29,Z4,287,9,2373,36.0,MEDIUM
294,165,Z27,Z19,910,17,2071,31.1,LOW
295,187,Z26,Z12,1155,3,1005,18.1,HIGH
296,30,Z12,Z8,462,37,1656,33.2,MEDIUM
297,256,Z4,Z16,256,19,1987,31.6,MEDIUM
298,102,Z18,Z25,1396,12,1327,24.1,MEDIUM
299,244,Z14,Z12,295,40,1829,26.0,HIGH
300,290,Z18,Z11,998,38,2039,38.5,HIGH
301,266,Z7,Z29,1231,20,2104,30.7,LOW
302,165,Z29,Z5,153,25,1991,31.0,LOW
303,233,Z12,Z17,30,25,2398,56.1,MEDIUM
304,102,Z20,Z14,796,24,1951,30.0,MEDIUM
305,219,Z17,Z27,707,4,506,9.7,LOW
306,115,Z9,Z12,1215,33,1670,22.3,HIGH
307,183,Z11,Z25,329,1,255,5.2,LOW
308,160,Z2,Z29,1167,33,1843,39.6,LOW
309,57,Z1,Z12,1103,16,582,9.2,LOW
310,47,Z22,Z14,568,32,2166,45.9,MEDIUM
311,34,Z14,Z14,218,12,2306,51.3,LOW
312,296,Z1,Z13,830,3,84,1.7,LOW
313,246,Z19,Z20,1342,35,1513,26.6,MEDIUM
314,8,Z28,Z9,720,12,1268,16.7,MEDIUM
315,109,Z18,Z20,345,31,851,14.7,MEDIUM
316,32,Z16,Z27,1039,19,2379,58.3,LOW
317,249,Z26,Z14,1164,18,1219,16.7,LOW
318,240,Z17,Z27,780,31,1589,23.5,MEDIUM
319,128,Z22,Z16,1259,17,1049,16.6,HIGH
320,123,Z29,Z26,960,30,2300,30.7,MEDIUM
321,124,Z3,Z30,696,6,473,8.7,MEDIUM
322,148,Z7,Z25,317,27,2202,50.2,MEDIUM
323,74,Z14,Z23,1085,17,2141,33.5,MEDIUM
324,194,Z7,Z20,1297,19,590,8.8,LOW
325,180,Z6,Z13,332,25,765,13.9,MEDIUM
326,254,Z30,Z30,57,25,911,12.7,LOW
327,223,Z13,Z1,234,38,965,19.9,MEDIUM
328,126,Z21,Z7,1119,25,505,7.7,MEDIUM
329,295,Z11,Z27,543,10,455,7.8,MEDIUM
330,197,Z24,Z12,1288,34,615,11.4,MEDIUM
331,244,Z5,Z29,867,29,210,3.4,LOW
332,129,Z3,Z2,905,40,1020,18.3,HIGH
333,246,Z14,Z21,725,33,1514,30.7,LOW
334,291,Z12,Z25,686,19,1311,22.9,LOW
335,300,Z5,Z7,436,38,1595,34.8,HIGH
336,289,Z15,Z8,447,18,1614,32.4,LOW
337,112,Z1,Z3,456,19,1057,23.0,LOW
338,11,Z16,Z4,219,26,1369,20.1,LOW
339,122,Z2,Z7,431,26,1253,27.7,LOW
340,244,Z26,Z5,679,14,1063,21.3,MEDIUM
341,103,Z21,Z20,348,22,235,5.6,LOW
342,214,Z19,Z17,959,11,1463,35.0,MEDIUM
343,1,Z21,Z11,673,27,781,11.1,MEDIUM
344,71,Z5,Z22,177,40,236,4.3,HIGH
345,70,Z14,Z24,704,3,1883,46.9,LOW
346,7,Z11,Z5,1292,21,1333,28.2,HIGH
347,283,Z30,Z7,1133,31,659,15.7,LOW
348,251,Z26,Z22,242,5,1772,26.1,MEDIUM
349,178,Z3,Z14,595,15,745,11.5,LOW
350,275,Z20,Z28,1220,10,1309,18.1,HIGH
351,92,Z29,Z3,751,35,1010,18.1,LOW
352,185,Z22,Z19,48,8,120,1.6,MEDIUM
353,148,Z16,Z12,376,27,725,14.5,MEDIUM
354,155,Z19,Z21,672,1,735,16.5,LOW
355,57,Z15,Z13,682,18,1806,38.4,LOW
356,69,Z18,Z23,94,4,1558,20.0,HIGH
357,269,Z20,Z22,845,33,677,10.1,LOW
358,99,Z25,Z9,253,3,2421,54.2,LOW
359,196,Z26,Z22,449,39,2193,28.1,MEDIUM
360,140,Z12,Z13,159,7,2202,30.1,LOW
361,265,Z22,Z9,163,8,1848,35.3,LOW
362,275,Z3,Z29,143,31,2493,35.7,HIGH
363,174,Z13,Z27,755,8,483,6.1,LOW
364,112,Z29,Z10,1084,19,1800,25.1,MEDIUM
365,150,Z16,Z3,110,9,2120,39.3,LOW
366,83,Z24,Z27,470,39,1610,32.0,LOW
367,266,Z9,Z16,353,11,2358,40.7,LOW
368,122,Z7,Z5,664,31,918,22.1,MEDIUM
369,192,Z17,Z16,1300,11,942,14.5,MEDIUM
370,112,Z30,Z7,900,20,639,8.0,LOW
371,103,Z18,Z30,30,40,986,20.6,LOW
372,144,Z21,Z16,989,27,1864,32.2,MEDIUM
373,223,Z18,Z25,1365,22,1408,25.1,LOW
374,19,Z23,Z4,35,33,1957,27.6,HIGH
375,105,Z12,Z26,259,4,2245,31.0,MEDIUM
376,285,Z15,Z14,1010,29,1252,22.3,LOW
377,53,Z29,Z25,640,40,2403,47.7,LOW
378,175,Z23,Z14,715,11,2119,51.0,HIGH
379,181,Z26,Z23,663,12,193,4.2,LOW
380,12,Z4,Z27,882,30,1183,15.7,LOW
381,90,Z14,Z18,811,15,1110,20.1,MEDIUM
382,189,Z8,Z8,61,11,980,15.4,MEDIUM
383,106,Z11,Z3,1126,2,1281,29.0,MEDIUM
384,114,Z29,Z20,91,36,268,6.3,LOW
385,158,Z7,Z10,1239,21,1433,20.9,LOW
386,161,Z2,Z14,683,40,535,13.3,LOW
387,294,Z30,Z16,207,25,345,6.4,LOW
388,86,Z4,Z2,1418,40,1947,33.0,MEDIUM
389,22,Z2,Z1,529,32,1348,26.4,MEDIUM
390,296,Z30,Z27,359,40,1504,34.9,MEDIUM
391,90,Z6,Z6,427,22,2328,55.5,MEDIUM
392,136,Z6,Z6,1093,10,1095,17.5,MEDIUM
393,56,Z28,Z3,1087,1,374,5.3,MEDIUM
394,135,Z5,Z7,724,25,568,7.6,MEDIUM
395,247,Z28,Z3,1079,7,1076,17.9,MEDIUM
396,44,Z10,Z2,25,30,1246,16.5,LOW
397,98,Z8,Z24,608,15,1971,25.6,LOW
398,233,Z7,Z26,1358,9,2389,38.9,LOW
399,189,Z5,Z7,531,15,1247,22.6,LOW
400,115,Z19,Z24,409,28,1658,38.2,LOW
401,131,Z12,Z29,24,28,2093,49.8,MEDIUM
402,283,Z22,Z7,727,36,633,8.7,LOW
403,293,Z1,Z18,1073,20,775,16.2,MEDIUM
404,214,Z9,Z20,1378,14,2257,30.4,MEDIUM
405,278,Z12,Z4,1140,28,483,7.7,MEDIUM
406,93,Z20,Z19,1138,29,628,10.9,MEDIUM
407,264,Z14,Z9,253,30,2010,29.7,MEDIUM
408,127,Z22,Z25,178,30,538,7.9,LOW
409,164,Z21,Z10,1244,9,1579,20.0,MEDIUM
410,263,Z8,Z4,774,23,2418,59.3,LOW
411,129,Z13,Z30,1121,25,874,13.4,HIGH
412,183,Z9,Z19,1367,11,795,11.7,LOW
413,98,Z19,Z23,596,39,870,19.7,MEDIUM
414,60,Z24,Z9,29,7,1860,26.1,LOW
415,149,Z30,Z22,676,6,2353,35.2,LOW
416,33,Z19,Z12,506,28,505,6.6,LOW
417,54,Z1,Z27,1182,12,799,18.3,LOW
418,34,Z14,Z23,225,12,1013,24.9,HIGH
419,141,Z18,Z8,488,12,2358,30.2,HIGH
420,76,Z6,Z24,509,7,1450,20.7,HIGH
421,182,Z11,Z13,899,15,2189,33.1,LOW
422,236,Z4,Z21,517,24,195,2.8,MEDIUM
423,90,Z18,Z28,412,29,398,7.5,MEDIUM
424,281,Z2,Z29,664,15,1664,30.1,MEDIUM
425,68,Z24,Z29,643,30,1623,34.0,MEDIUM
426,105,Z21,Z23,299,40,2064,34.9,MEDIUM
427,250,Z25,Z30,195,24,576,8.4,MEDIUM
428,156,Z1,Z3,1329,23,2202,46.1,LOW
429,30,Z6,Z30,849,5,330,7.7,MEDIUM
430,296,Z5,Z13,518,32,2389,34.4,LOW
431,61,Z6,Z27,438,33,1467,29.3,MEDIUM
432,63,Z14,Z27,1224,25,232,3.6,LOW
433,257,Z21,Z24,895,1,576,12.2,MEDIUM
434,154,Z20,Z23,228,4,770,14.5,LOW
435,112,Z22,Z6,216,13,1417,24.3,MEDIUM
436,261,Z28,Z10,653,3,278,4.5,LOW
437,180,Z15,Z25,791,40,1464,18.5,MEDIUM
438,140,Z21,Z15,690,7,1774,30.4,HIGH
439,53,Z25,Z7,119,36,695,11.3,MEDIUM
440,52,Z3,Z18,1385,33,1294,27.4,LOW
441,120,Z28,Z28,822,38,152,2.2,LOW
442,263,Z13,Z26,567,35,822,15.3,LOW
443,218,Z12,Z4,384,36,118,1.7,HIGH
444,72,Z23,Z4,1238,38,2361,36.6,LOW
445,192,Z2,Z19,896,26,1127,21.0,MEDIUM
446,46,Z14,Z15,601,10,664,14.5,MEDIUM
447,86,Z10,Z16,665,38,1195,18.4,MEDIUM
448,53,Z23,Z22,1147,3,2074,27.7,HIGH
449,240,Z14,Z8,1307,24,2413,43.3,LOW
450,246,Z20,Z20,751,6,1866,26.9,HIGH
451,282,Z2,Z9,1193,3,1178,25.9,LOW
452,142,Z21,Z16,863,9,2307,30.8,MEDIUM
453,137,Z25,Z28,470,1,2335,45.9,HIGH
454,213,Z15,Z26,1189,21,2230,33.9,MEDIUM
455,152,Z14,Z12,63,7,863,20.1,LOW
456,131,Z9,Z27,796,25,2154,34.3,MEDIUM
457,23,Z2,Z4,188,25,819,17.5,LOW
458,85,Z28,Z25,1303,23,200,3.1,LOW
459,67,Z21,Z27,1149,8,1669,31.7,LOW
460,102,Z24,Z15,1053,12,770,10.2,LOW
461,117,Z11,Z21,1044,27,2468,41.8,MEDIUM
462,57,Z22,Z11,40,28,629,12.2,MEDIUM
463,102,Z19,Z11,1148,37,763,13.0,LOW
464,23,Z21,Z19,274,22,2278,38.5,LOW
465,175,Z22,Z10,410,5,2057,49.3,MEDIUM
466,183,Z6,Z25,383,36,257,5.4,HIGH
467,141,Z10,Z5,576,36,2123,33.7,HIGH
468,87,Z14,Z5,1352,29,2289,38.7,HIGH
469,9,Z23,Z24,711,36,552,10.2,LOW
470,225,Z11,Z22,871,11,2174,35.1,MEDIUM
471,220,Z5,Z12,504,37,2464,40.8,LOW
472,44,Z21,Z11,815,38,2302,29.8,LOW
473,99,Z14,Z1,178,20,2014,29.1,LOW
474,239,Z12,Z26,784,34,2495,54.3,MEDIUM
475,110,Z24,Z21,693,38,92,1.3,MEDIUM
476,210,Z1,Z16,184,18,1964,46.3,MEDIUM
477,272,Z11,Z17,403,34,2091,28.1,LOW
478,275,Z29,Z1,1107,5,1645,33.8,LOW
479,276,Z15,Z26,790,30,420,5.5,MEDIUM
480,189,Z23,Z25,256,34,1857,23.9,MEDIUM
481,2,Z7,Z27,310,15,1664,36.1,LOW
482,89,Z10,Z27,1097,3,790,15.3,LOW
483,258,Z17,Z10,1066,34,2031,30.8,MEDIUM
484,114,Z17,Z9,690,11,1159,18.2,LOW
485,269,Z14,Z1,35,7,488,9.0,LOW
486,78,Z27,Z19,769,21,350,4.4,MEDIUM
487,161,Z4,Z27,906,34,1770,31.8,MEDIUM
488,215,Z15,Z24,3,25,2475,46.1,MEDIUM
489,165,Z7,Z1,255,40,126,2.0,HIGH
490,130,Z15,Z8,964,28,583,11.0,HIGH
491,142,Z11,Z9,1218,24,121,2.7,MEDIUM
492,19,Z14,Z5,1043,7,297,4.6,MEDIUM
