record_id,pole_id,zone,timestamp_min,ambient_lux,traffic_density,dimming_level_pct,power_kw
155,480,Z5,23,53.8,35,58,0.116
156,1084,Z10,1030,13346.3,179,13,0.026
157,1118,Z6,484,19654.4,192,1,0.002
158,762,Z15,1401,149.6,188,97,0.194
159,1759,Z18,361,12671.9,115,8,0.016
160,45,Z6,1133,12.0,87,71,0.142
161,1241,Z14,97,136.8,69,67,0.134
162,1371,Z4,167,17.6,48,62,0.124
163,882,Z9,950,8910.7,197,13,0.026
164,946,Z9,1056,17277.1,35,1,0.002
165,840,Z17,300,97.3,100,75,0.15
166,1555,Z14,1213,57.0,13,53,0.106
167,439,Z7,723,15808.9,127,20,0.04
168,1201,Z1,1438,65.1,129,82,0.164
169,505,Z12,1168,154.0,117,79,0.158
170,422,Z1,631,7056.5,55,19,0.038
171,1913,Z4,1100,6.6,77,69,0.138
172,434,Z14,210,133.3,159,89,0.178
173,1105,Z7,1086,25.9,119,79,0.158
174,1688,Z17,466,6878.2,9,9,0.018
175,1446,Z5,602,15950.6,35,0,0.0
176,1849,Z17,1408,72.5,43,60,0.12
177,600,Z7,1168,73.4,161,90,0.18
178,1019,Z11,637,15174.4,168,1,0.002
179,23,Z2,101,24.4,19,54,0.108
180,307,Z3,89,9.1,157,89,0.178
181,1358,Z15,251,157.6,25,56,0.112
182,1807,Z2,240,99.0,18,54,0.108
183,1249,Z13,187,66.4,99,74,0.148
184,589,Z6,1286,180.5,162,90,0.18
185,605,Z13,227,21.6,173,93,0.186
186,663,Z11,617,16830.0,182,2,0.004
187,170,Z7,530,12743.5,161,14,0.028
188,1799,Z12,1395,60.0,135,83,0.166
189,135,Z11,434,5011.3,160,8,0.016
190,520,Z14,1416,34.8,45,61,0.122
191,1586,Z2,845,14795.4,71,16,0.032
192,1244,Z9,1066,8619.4,77,4,0.008
193,673,Z7,630,6931.0,55,12,0.024
194,1648,Z8,1123,140.7,116,79,0.158
195,1506,Z16,1136,183.9,117,79,0.158
196,216,Z14,912,6729.8,93,1,0.002
197,1307,Z2,236,56.7,17,54,0.108
198,1036,Z4,1119,74.8,41,60,0.12
199,913,Z10,1349,10.5,192,98,0.196
200,600,Z8,1356,153.4,45,61,0.122
201,666,Z11,666,7542.8,172,3,0.006
202,1195,Z8,862,12389.9,67,20,0.04
203,377,Z5,622,17033.1,0,1,0.002
204,1213,Z14,1274,70.2,67,66,0.132
205,380,Z7,1354,183.0,122,80,0.16
206,792,Z13,1008,12014.6,121,3,0.006
207,1037,Z15,267,145.4,158,89,0.178
208,1476,Z15,551,5702.5,195,18,0.036
209,1635,Z1,790,15491.7,105,20,0.04
210,29,Z13,891,13470.8,25,16,0.032
211,121,Z14,356,185.9,79,69,0.138
212,1631,Z1,1068,6028.1,61,17,0.034
213,975,Z5,938,13005.4,50,11,0.022
214,27,Z2,513,7788.8,198,3,0.006
215,740,Z11,1057,6477.6,90,6,0.012
216,754,Z18,941,14653.5,106,20,0.04
217,1122,Z18,442,15688.9,51,19,0.038
218,750,Z10,604,14924.2,22,20,0.04
219,680,Z17,369,17834.0,149,13,0.026
220,1607,Z5,1438,64.2,88,72,0.144
221,787,Z8,1334,110.7,179,94,0.188
222,1415,Z3,1342,51.4,3,50,0.1
223,352,Z7,1103,17.7,123,80,0.16
224,939,Z17,1258,73.3,78,69,0.138
225,1867,Z5,149,179.3,88,72,0.144
226,669,Z12,1264,61.2,194,98,0.196
227,285,Z12,148,111.4,66,66,0.132
228,306,Z15,134,55.7,0,50,0.1
229,558,Z18,600,17113.3,164,6,0.012
230,520,Z5,344,59.1,159,89,0.178
231,1307,Z6,423,14387.6,147,17,0.034
232,41,Z18,90,112.6,100,75,0.15
233,1999,Z3,691,12702.8,16,7,0.014
234,788,Z5,495,5791.6,26,17,0.034
235,1660,Z8,1126,3.0,109,77,0.154
236,950,Z6,1003,7732.5,178,1,0.002
237,552,Z12,206,72.8,174,93,0.186
238,1161,Z17,342,161.4,84,71,0.142
239,333,Z9,1022,15238.5,112,9,0.018
240,1810,Z2,1374,174.0,132,83,0.166
241,868,Z17,1430,147.8,122,80,0.16
242,810,Z2,1191,137.1,4,51,0.102
243,1063,Z13,700,5564.6,79,6,0.012
244,263,Z14,947,14443.5,11,17,0.034
245,1167,Z9,1431,86.1,195,98,0.196
246,1092,Z19,1296,161.2,135,83,0.166
247,1554,Z5,47,10.6,56,64,0.128
248,201,Z11,796,12795.9,48,3,0.006
249,1840,Z14,409,11583.1,170,10,0.02
250,1994,Z3,299,143.2,11,52,0.104
251,1350,Z18,707,8691.7,191,2,0.004
252,287,Z19,491,9291.4,94,7,0.014
253,1901,Z10,1209,92.5,137,84,0.168
254,1044,Z11,355,114.0,4,51,0.102
255,744,Z7,99,60.0,187,96,0.192
256,1520,Z9,481,14540.9,72,18,0.036
257,1218,Z17,1008,15418.8,178,19,0.038
258,1739,Z17,899,7537.9,113,4,0.008
259,151,Z9,240,70.2,48,62,0.124
260,1569,Z12,344,149.5,150,87,0.174
261,1176,Z12,1419,52.4,88,72,0.144
262,1792,Z20,304,176.0,93,73,0.146
263,342,Z17,1434,26.7,105,76,0.152
264,1688,Z14,225,51.5,36,59,0.118
265,1501,Z4,226,53.8,114,78,0.156
266,119,Z11,325,26.3,128,82,0.164
267,1405,Z20,403,12982.2,79,12,0.024
268,1398,Z12,105,184.1,111,77,0.154
269,1006,Z14,341,19.6,115,78,0.156
270,1169,Z17,620,16139.9,149,4,0.008
271,779,Z20,1304,174.7,4,51,0.102
272,785,Z2,524,10079.7,122,20,0.04
273,819,Z13,767,13590.6,61,5,0.01
274,1050,Z11,338,12.7,82,70,0.14
275,1956,Z18,1417,135.6,92,73,0.146
276,213,Z4,1030,10030.7,38,2,0.004
277,1208,Z12,781,14429.5,48,2,0.004
278,1746,Z17,1209,4.8,15,53,0.106
279,1957,Z1,84,105.2,57,64,0.128
280,1453,Z2,665,8193.8,5,9,0.018
281,464,Z9,367,15646.6,62,8,0.016
282,695,Z11,867,6122.3,93,13,0.026
283,625,Z10,1410,100.8,58,64,0.128
284,1362,Z20,277,179.1,50,62,0.124
285,52,Z9,537,15641.1,170,16,0.032
286,217,Z9,547,18100.5,14,10,0.02
287,1035,Z15,38,58.4,173,93,0.186
288,1629,Z1,1246,34.3,25,56,0.112
289,1242,Z12,641,13047.4,104,14,0.028
290,965,Z16,56,122.6,26,56,0.112
291,1488,Z20,1061,12983.5,122,12,0.024
292,1345,Z5,244,128.8,27,56,0.112
293,1777,Z12,385,16337.5,182,14,0.028
294,1822,Z15,1054,19536.9,147,3,0.006
295,1638,Z11,1343,192.3,12,53,0.106
296,1830,Z14,328,124.5,110,77,0.154
297,1222,Z6,273,105.6,21,55,0.11
298,1802,Z10,199,184.7,99,74,0.148
299,1332,Z18,278,168.9,100,75,0.15
300,1221,Z20,1134,21.9,154,88,0.176
301,730,Z18,799,19341.2,75,10,0.02
302,814,Z11,1184,136.9,186,96,0.192
303,1136,Z8,58,136.9,92,73,0.146
304,1180,Z14,1076,17739.5,8,0,0.0
305,1853,Z12,606,15873.1,115,2,0.004
306,376,Z19,223,178.1,163,90,0.18
307,1549,Z4,990,8489.2,45,1,0.002
308,816,Z9,1186,175.4,59,64,0.128
309,925,Z17,370,5959.5,89,1,0.002
310,420,Z12,1391,19.4,131,82,0.164
311,901,Z2,91,174.6,173,93,0.186
312,90,Z1,1256,74.0,174,93,0.186
313,1457,Z4,1403,15.4,86,71,0.142
314,1218,Z6,42,13.7,36,59,0.118
315,418,Z5,1106,119.8,89,72,0.144
316,1054,Z13,375,10658.1,199,7,0.014
317,167,Z20,1222,153.6,18,54,0.108
318,531,Z14,22,83.2,198,99,0.198
319,703,Z10,594,9902.1,169,1,0.002
320,1295,Z11,308,69.9,89,72,0.144
321,1243,Z19,1170,197.6,57,64,0.128
322,1347,Z5,318,126.1,167,91,0.182
323,1391,Z6,1067,8802.4,133,14,0.028
324,1686,Z12,1228,159.5,136,84,0.168
325,321,Z4,1109,27.7,49,62,0.124
326,624,Z14,163,84.0,147,86,0.172
327,819,Z5,540,7659.5,33,15,0.03
328,1874,Z8,1256,97.0,71,67,0.134
329,1215,Z1,79,89.3,143,85,0.17
330,1609,Z12,716,14460.3,165,8,0.016
331,8,Z19,124,152.0,166,91,0.182
332,1028,Z4,1363,6.9,6,51,0.102
333,640,Z12,235,36.0,143,85,0.17
334,569,Z8,1119,108.1,142,85,0.17
335,1450,Z5,1315,185.7,88,72,0.144
336,1508,Z4,379,13368.8,15,4,0.008
337,543,Z1,1132,62.2,90,72,0.144
338,213,Z4,1095,89.1,59,64,0.128
339,1602,Z5,1159,22.4,22,55,0.11
340,1762,Z20,1354,157.7,97,74,0.148
341,1979,Z16,420,5691.9,182,9,0.018
342,689,Z10,31,124.3,97,74,0.148
343,405,Z13,382,14821.7,97,2,0.004
344,1566,Z4,1296,166.7,71,67,0.134
345,1931,Z15,895,18029.5,7,13,0.026
346,1338,Z15,894,14028.0,161,20,0.04
347,796,Z10,1104,181.5,62,65,0.13
348,715,Z10,1328,31.9,133,83,0.166
349,907,Z6,957,19959.2,67,7,0.014
350,1510,Z12,1129,42.8,39,59,0.118
351,828,Z19,1223,133.2,148,87,0.174
352,1333,Z4,281,76.3,172,93,0.186
353,1275,Z7,1317,63.5,60,65,0.13
354,1273,Z13,51,130.1,50,62,0.124
355,1299,Z14,88,191.7,189,97,0.194
356,33,Z14,1334,87.5,20,55,0.11
357,424,Z16,303,188.4,44,61,0.122
358,1622,Z5,66,195.6,34,58,0.116
359,1837,Z3,667,12792.3,58,20,0.04
360,1708,Z3,362,8491.5,105,7,0.014
361,679,Z20,284,51.9,72,68,0.136
362,1854,Z7,1360,182.2,44,61,0.122
363,1089,Z12,43,77.6,75,68,0.136
364,1218,Z16,806,6023.7,43,15,0.03
365,92,Z13,185,175.5,4,51,0.102
366,461,Z19,230,106.6,157,89,0.178
367,1401,Z8,458,19188.5,53,18,0.036
368,227,Z8,1186,74.7,139,84,0.168
369,1757,Z13,352,34.8,53,63,0.126
370,1734,Z7,1053,7839.7,69,2,0.004
371,923,Z15,283,1.6,96,74,0.148
372,811,Z13,951,7547.9,187,12,0.024
373,949,Z4,305,184.3,8,52,0.104
374,1659,Z7,850,7422.5,134,18,0.036
375,279,Z15,761,13108.3,181,11,0.022
376,917,Z7,803,19772.6,51,16,0.032
377,770,Z18,645,16189.5,12,13,0.026
378,801,Z19,936,16872.1,67,12,0.024
379,108,Z15,411,5982.3,189,19,0.038
380,1109,Z2,30,197.5,114,78,0.156
381,776,Z10,1193,125.9,75,68,0.136
382,1153,Z8,1281,173.8,40,60,0.12
383,1647,Z17,115,42.9,107,76,0.152
384,1221,Z4,79,100.2,50,62,0.124
385,1711,Z9,584,13720.2,167,4,0.008
386,1368,Z15,562,11639.4,166,4,0.008
387,681,Z13,95,117.4,179,94,0.188
388,527,Z7,467,15625.7,70,0,0.0
389,1139,Z5,693,12665.5,173,6,0.012
390,1742,Z3,220,2.1,168,92,0.184
391,1896,Z13,1300,105.7,93,73,0.146
392,768,Z18,352,22.1,22,55,0.11
393,692,Z7,442,5723.3,143,7,0.014
394,1932,Z19,655,16548.1,167,17,0.034
395,435,Z2,758,6003.8,193,13,0.026
396,647,Z9,1422,119.6,62,65,0.13
397,464,Z12,740,19230.7,78,15,0.03
398,370,Z3,1068,5321.8,109,6,0.012
399,1252,Z18,591,5498.6,168,11,0.022
400,223,Z17,612,10781.2,35,13,0.026
401,678,Z18,328,47.0,174,93,0.186
402,1495,Z10,385,5913.6,132,7,0.014
403,926,Z17,1217,22.9,61,65,0.13
404,1602,Z17,1193,199.3,59,64,0.128
405,760,Z14,1087,189.0,45,61,0.122
406,993,Z2,404,18464.9,82,13,0.026
407,545,Z2,1119,40.3,106,76,0.152
408,1427,Z16,1420,180.0,141,85,0.17
409,595,Z11,295,14.7,38,59,0.118
410,322,Z10,1204,135.5,151,87,0.174
411,708,Z1,63,131.7,103,75,0.15
412,75,Z8,1199,135.0,134,83,0.166
413,509,Z14,104,151.8,7,51,0.102
414,1168,Z6,1335,189.3,117,79,0.158
415,785,Z11,1405,129.4,190,97,0.194
416,1454,Z11,64,131.7,2,50,0.1
417,389,Z7,1053,12938.9,35,13,0.026
418,752,Z6,102,140.4,44,61,0.122
419,1794,Z5,421,13891.1,7,14,0.028
420,421,Z5,265,10.0,136,84,0.168
421,1399,Z17,488,10724.8,191,15,0.03
422,631,Z10,735,5633.7,95,14,0.028
423,49,Z20,155,57.4,100,75,0.15
424,1134,Z9,944,19131.0,1,11,0.022
425,1671,Z19,362,18482.8,46,6,0.012
426,1525,Z9,738,8322.7,155,16,0.032
427,546,Z13,184,185.7,64,66,0.132
428,1223,Z18,633,15793.4,93,5,0.01
429,1390,Z3,253,107.4,127,81,0.162
430,382,Z17,1059,15020.1,50,17,0.034
431,1489,Z10,1002,10787.6,19,17,0.034
432,1480,Z5,1316,191.5,49,62,0.124
433,1432,Z9,1373,147.9,177,94,0.188
434,765,Z8,445,5954.0,6,19,0.038
435,633,Z15,113,179.4,14,53,0.106
436,1041,Z12,619,19611.8,127,16,0.032
437,1740,Z20,202,74.0,78,69,0.138
438,664,Z16,518,8161.2,189,20,0.04
439,203,Z16,158,91.0,88,72,0.144
440,1690,Z13,306,5.9,104,76,0.152
441,634,Z3,734,13569.1,167,12,0.024
442,857,Z1,949,9612.2,81,8,0.016
443,620,Z7,676,7434.7,7,5,0.01
444,1945,Z19,1141,62.5,139,84,0.168
445,541,Z17,884,10168.5,0,10,0.02
446,541,Z3,377,15327.5,118,3,0.006
447,430,Z4,9,27.6,146,86,0.172
448,187,Z15,16,161.3,19,54,0.108
449,22,Z7,472,14374.1,137,12,0.024
450,423,Z9,978,17050.8,188,2,0.004
451,641,Z15,51,137.1,179,94,0.188
452,576,Z15,1088,88.7,178,94,0.188
453,1584,Z18,278,53.0,50,62,0.124
454,1530,Z4,1152,123.1,45,61,0.122
455,1266,Z20,975,5874.5,105,16,0.032
456,1586,Z11,916,19247.5,23,7,0.014
457,579,Z2,615,14270.7,143,16,0.032
458,1451,Z12,243,16.5,133,83,0.166
459,1838,Z9,895,15651.4,140,4,0.008
460,891,Z10,1151,151.5,171,92,0.184
461,299,Z20,799,19989.3,17,15,0.03
462,633,Z6,196,15.1,22,55,0.11
463,545,Z3,560,9579.6,186,18,0.036
464,910,Z18,1378,149.1,83,70,0.14
465,1862,Z6,703,9262.8,93,9,0.018
466,1150,Z2,530,17894.6,28,10,0.02
467,1262,Z12,60,180.4,128,82,0.164
468,1208,Z12,35,142.8,187,96,0.192
469,40,Z10,48,116.3,131,82,0.164
470,786,Z9,231,196.7,137,84,0.168
471,1836,Z3,1418,143.8,82,70,0.14
472,955,Z6,73,15.1,35,58,0.116
473,299,Z3,696,15956.6,126,16,0.032
474,840,Z11,978,16790.9,175,9,0.018
475,1617,Z18,873,16061.8,199,6,0.012
476,1653,Z1,375,5038.7,70,9,0.018
477,1716,Z17,601,16814.6,160,7,0.014
478,1138,Z1,1299,182.2,170,92,0.184
479,1940,Z12,1418,141.8,175,93,0.186
480,1423,Z16,472,5837.6,94,4,0.008
481,579,Z3,1434,94.2,19,54,0.108
482,637,Z10,914,13651.0,168,15,0.03
483,16,Z16,1299,64.4,33,58,0.116
484,1173,Z17,743,11455.8,56,19,0.038
485,864,Z14,614,8619.4,16,14,0.028
486,94,Z20,1154,45.6,22,55,0.11
487,1619,Z1,1213,82.4,52,63,0.126
488,948,Z5,102,74.5,45,61,0.122
489,1380,Z20,460,9450.7,71,15,0.03
490,1760,Z17,1170,16.0,43,60,0.12
491,1023,Z18,123,48.6,89,72,0.144
492,1580,Z19,148,180.9,69,67,0.134
493,1118,Z5,1305,123.2,93,73,0.146
494,775,Z14,547,17731.8,94,0,0.0
495,1315,Z9,1414,100.3,70,67,0.134
496,988,Z1,1088,126.7,88,72,0.144
497,663,Z6,3,63.5,187,96,0.192
498,663,Z3,1192,184.2,22,55,0.11
499,1943,Z7,1181,52.5,35,58,0.116
500,990,Z18,1216,110.4,26,56,0.112
501,1143,Z11,420,9383.3,186,14,0.028
502,699,Z14,147,58.4,101,75,0.15
503,1774,Z1,491,15048.2,94,3,0.006
504,25,Z4,468,5483.7,110,13,0.026
505,508,Z16,1174,147.6,5,51,0.102
506,274,Z9,1297,107.3,184,96,0.192
507,414,Z15,895,13521.7,49,1,0.002
508,1348,Z12,218,99.5,165,91,0.182
509,1737,Z16,1275,94.5,184,96,0.192
510,587,Z1,226,68.5,179,94,0.188
511,1781,Z8,554,16461.1,30,9,0.018
512,1738,Z11,901,16794.3,55,5,0.01
513,1493,Z7,1368,118.5,77,69,0.138
514,705,Z9,148,22.8,121,80,0.16
515,1081,Z3,996,18723.0,73,6,0.012
516,384,Z19,30,83.7,125,81,0.162
517,225,Z2,798,10046.0,111,19,0.038
518,423,Z3,977,19157.7,63,19,0.038
519,1629,Z9,1005,5905.7,42,13,0.026
520,445,Z14,501,16935.2,194,16,0.032
521,305,Z10,1168,186.1,53,63,0.126
522,1376,Z11,1285,109.1,141,85,0.17
523,1163,Z2,940,16800.2,99,0,0.0
524,1398,Z6,102,66.7,198,99,0.198
525,1378,Z15,839,16682.2,178,15,0.03
526,1942,Z9,515,18190.1,39,9,0.018
527,1211,Z19,1002,10290.0,47,13,0.026
528,1420,Z19,326,63.4,144,86,0.172
529,1536,Z7,654,6007.4,49,6,0.012
530,921,Z3,1004,17592.7,177,10,0.02
531,673,Z18,1317,73.3,100,75,0.15
532,1777,Z7,171,153.8,21,55,0.11
533,1479,Z15,977,17183.6,117,8,0.016
534,1565,Z3,69,73.5,96,74,0.148
535,204,Z19,706,10897.1,126,7,0.014
536,669,Z9,344,199.6,22,55,0.11
537,1901,Z5,647,15814.1,51,5,0.01
538,105,Z8,1030,8582.2,77,6,0.012
539,1291,Z6,706,17244.0,90,6,0.012
540,685,Z17,1271,0.3,116,79,0.158
541,115,Z10,1217,133.2,21,55,0.11
542,1210,Z12,679,11700.6,30,2,0.004
543,411,Z14,978,10726.4,69,14,0.028
544,186,Z3,255,98.3,140,85,0.17
545,1606,Z12,468,5329.8,34,17,0.034
546,195,Z3,751,13162.7,155,15,0.03
547,44,Z7,711,11329.6,29,15,0.03
548,287,Z16,357,192.1,162,90,0.18
549,192,Z12,1227,67.9,181,95,0.19
550,1962,Z4,1319,84.7,93,73,0.146
551,1032,Z7,1065,12055.0,76,9,0.018
552,1798,Z11,612,17629.3,61,15,0.03
553,642,Z13,1320,188.6,198,99,0.198
554,498,Z19,487,14398.4,66,13,0.026
555,1469,Z9,1270,63.6,143,85,0.17
556,183,Z16,150,188.6,154,88,0.176
557,910,Z17,18,58.9,112,78,0.156
558,544,Z8,1253,138.3,53,63,0.126
559,1350,Z15,522,14742.9,110,7,0.014
560,822,Z7,264,108.3,61,65,0.13
561,546,Z13,1109,107.1,189,97,0.194
562,280,Z16,303,174.8,61,65,0.13
563,793,Z20,412,14826.6,108,9,0.018
564,719,Z7,575,19107.7,11,18,0.036
565,1196,Z20,87,178.3,110,77,0.154
566,1122,Z2,754,6711.9,63,0,0.0
567,1365,Z13,477,11368.8,3,19,0.038
568,538,Z7,114,131.5,122,80,0.16
569,252,Z12,711,9545.7,38,1,0.002
570,1589,Z12,1112,74.1,21,55,0.11
571,1441,Z11,487,15790.5,82,4,0.008
572,692,Z13,1323,34.6,150,87,0.174
573,135,Z14,570,8469.5,200,16,0.032
574,1941,Z1,1429,33.0,155,88,0.176
575,576,Z3,156,156.8,122,80,0.16
576,567,Z20,825,5876.8,36,1,0.002
577,1131,Z2,939,9899.4,141,15,0.03
578,1655,Z13,626,18186.6,182,14,0.028
579,1863,Z19,1030,12632.6,175,10,0.02
580,1700,Z9,250,35.7,122,80,0.16
581,671,Z7,1380,91.1,129,82,0.164
582,665,Z9,830,16486.9,29,18,0.036
583,217,Z6,1183,14.4,40,60,0.12
584,1817,Z6,346,11.6,175,93,0.186
585,121,Z9,1363,41.8,126,81,0.162
586,284,Z11,495,17840.7,79,15,0.03
587,1008,Z11,562,10206.5,111,13,0.026
588,1337,Z14,482,19489.0,66,17,0.034
589,1492,Z2,401,10396.0,94,3,0.006
590,1101,Z19,723,16595.7,101,2,0.004
591,1389,Z10,369,8505.0,64,10,0.02
592,1185,Z20,129,158.9,69,67,0.134
593,1936,Z12,386,10082.2,156,10,0.02
594,1100,Z10,242,190.1,1,50,0.1
595,712,Z6,72,198.4,18,54,0.108
596,1981,Z19,969,9027.2,20,17,0.034
597,535,Z18,620,8965.2,156,16,0.032
