record_id,intersection_id,approach_road_id,timestamp_min,queue_length_vehicles,avg_wait_time_sec,cycle_time_sec,green_time_sec
209,123,3,10,20,136,90,42
210,279,1,614,12,48,60,27
211,145,4,1157,10,115,150,47
212,102,2,693,2,119,90,24
213,110,3,1100,41,89,150,78
214,190,4,140,0,80,90,22
215,232,4,580,50,49,150,87
216,56,4,445,15,109,150,52
217,110,2,1339,9,156,60,24
218,235,2,979,18,88,150,55
219,78,2,1236,1,160,150,38
220,124,1,1190,44,78,120,74
221,156,1,383,18,155,120,48
222,297,1,1124,59,166,150,96
223,181,1,1148,24,27,60,39
224,95,3,710,1,168,90,23
225,133,1,1114,19,133,90,41
226,115,3,990,4,37,90,26
227,289,2,303,10,84,60,25
228,41,2,95,30,51,90,52
229,46,2,603,16,65,150,53
230,262,1,751,3,156,120,33
231,286,4,1022,36,168,150,73
232,80,1,817,22,21,60,37
233,136,1,6,21,168,150,58
234,81,1,375,19,65,90,41
235,257,1,729,2,172,120,32
236,1,1,70,6,132,90,28
237,163,3,644,25,45,120,55
238,210,2,572,12,33,150,49
239,37,4,1071,32,47,120,62
240,206,4,743,26,68,90,48
241,227,1,1206,19,139,150,56
242,204,4,1198,29,107,150,66
243,166,2,280,27,153,150,64
244,204,4,755,9,63,150,46
245,273,2,1334,25,33,60,40
246,246,1,421,56,18,90,78
247,222,1,1073,58,57,120,88
248,50,1,30,21,154,120,51
249,185,4,1,20,107,90,42
250,34,3,1435,4,71,120,34
251,85,4,26,1,73,90,23
252,7,2,613,2,158,120,32
253,199,2,625,11,69,150,48
254,98,4,415,15,140,150,52
255,162,4,70,17,51,120,47
256,44,3,707,16,31,60,31
257,147,3,1005,3,14,150,40
258,51,3,961,28,39,120,58
259,185,1,1244,21,27,60,36
260,114,3,946,27,56,90,49
261,96,3,939,1,126,150,38
262,48,3,683,29,43,150,66
263,243,1,1344,20,164,60,35
264,162,2,762,1,130,150,38
265,160,1,849,30,171,120,60
266,120,3,260,1,144,150,38
267,168,4,332,1,100,90,23
268,257,2,740,30,158,150,67
269,87,3,410,23,143,150,60
270,157,1,626,4,113,120,34
271,39,4,629,26,19,90,48
272,63,1,968,14,40,90,36
273,41,3,202,4,80,120,34
274,209,1,974,16,24,90,38
275,291,4,28,30,11,90,52
276,202,3,137,25,11,120,55
277,14,2,15,15,127,150,52
278,106,2,527,30,38,120,60
279,216,1,432,20,101,150,57
280,82,1,97,24,103,90,46
281,282,4,306,20,68,150,57
282,90,2,792,0,33,150,37
283,270,1,424,14,110,150,51
284,81,4,1200,24,171,150,61
285,85,2,154,13,51,60,28
286,168,3,694,1,44,150,38
287,256,1,381,16,93,90,38
288,233,4,1161,13,43,60,28
289,90,3,132,28,179,60,43
290,30,3,1,25,168,150,62
291,215,4,1095,14,127,90,36
292,70,4,1060,11,131,120,41
293,116,3,856,29,106,60,44
294,35,1,772,24,141,150,61
295,214,1,545,29,122,90,51
296,84,4,97,11,18,90,33
297,231,2,1172,50,144,150,87
298,28,1,1390,22,101,120,52
299,93,1,414,26,124,150,63
300,152,1,419,26,179,90,48
301,11,1,170,23,63,60,38
302,179,1,99,14,106,60,29
303,288,3,747,13,148,120,43
304,61,4,810,4,159,90,26
305,88,3,212,22,89,120,52
306,235,4,381,26,24,90,48
307,277,4,377,13,10,120,43
308,183,4,1135,24,92,150,61
309,50,4,855,17,80,120,47
310,244,2,141,28,147,90,50
311,74,2,1278,11,28,60,26
312,125,3,1435,9,17,60,24
313,36,1,703,26,146,60,41
314,193,3,208,26,31,150,63
315,72,1,1131,37,30,90,59
316,5,4,435,42,55,120,72
317,134,4,448,19,171,60,34
318,60,2,1143,23,170,90,45
319,147,1,1095,52,83,120,82
320,125,2,233,30,44,150,67
321,84,4,1420,23,127,120,53
322,259,2,1252,13,62,120,43
323,4,1,790,14,12,120,44
324,41,4,806,29,54,60,44
325,43,2,1033,41,166,120,71
326,299,1,1196,51,11,90,73
327,218,2,964,21,142,120,51
328,30,2,1221,30,150,60,45
329,101,2,883,30,161,120,60
330,231,1,1243,18,86,120,48
331,77,1,1050,16,106,150,53
332,171,4,1061,21,46,60,36
333,65,3,877,6,35,60,21
334,147,4,1055,50,145,90,72
335,289,2,777,29,28,150,66
336,96,3,260,16,143,150,53
337,50,4,857,12,164,120,42
338,231,1,492,55,78,120,85
339,228,4,879,16,173,60,31
340,238,2,968,13,170,60,28
341,203,2,532,51,90,150,88
342,83,1,50,3,66,150,40
343,57,1,417,20,79,120,50
344,144,1,544,20,177,60,35
345,103,3,1031,59,95,120,89
346,92,4,125,10,160,120,40
347,202,4,666,17,56,120,47
348,175,4,655,3,18,120,33
349,116,4,52,19,175,60,34
350,178,1,725,26,95,60,41
351,14,1,677,18,26,90,40
352,289,2,476,18,105,90,40
353,93,2,1164,60,159,60,50
354,109,1,940,30,127,90,52
355,112,1,639,24,13,60,39
356,111,1,259,11,67,120,41
357,189,2,1250,30,14,90,52
358,179,2,633,2,81,90,24
359,185,4,958,8,167,90,30
360,25,2,688,1,145,60,16
361,227,2,1306,25,51,90,47
362,214,3,1302,24,89,150,61
363,6,4,718,25,173,120,55
364,123,4,819,22,95,90,44
365,291,3,424,40,178,150,77
366,172,1,1368,14,114,150,51
367,33,1,1126,31,129,90,53
368,22,3,391,0,36,90,22
369,258,4,589,45,118,60,50
370,86,3,694,8,170,150,45
371,245,4,841,14,109,150,51
372,57,3,136,18,43,120,48
373,230,2,959,5,178,60,20
374,93,1,553,57,144,120,87
375,158,1,1033,56,66,150,93
376,148,3,1068,36,149,120,66
377,67,1,1361,11,26,60,26
378,273,2,1266,22,25,90,44
379,59,1,558,29,135,120,59
380,10,4,311,12,169,120,42
381,65,2,657,25,39,150,62
382,5,3,1061,50,25,60,50
383,46,1,909,20,120,120,50
384,166,2,324,25,137,60,40
385,108,3,785,8,100,120,38
386,10,2,1114,34,129,150,71
387,177,4,181,14,15,150,51
388,11,3,396,0,56,120,30
389,246,1,633,20,140,60,35
390,281,1,94,16,107,150,53
391,89,2,263,9,115,90,31
392,104,4,663,5,179,90,27
393,272,1,143,17,85,60,32
394,96,2,822,18,138,60,33
395,153,3,1109,33,63,150,70
396,231,2,342,9,153,120,39
397,31,3,970,7,132,60,22
398,267,1,192,22,84,60,37
399,41,2,812,7,50,150,44
400,123,2,260,17,98,60,32
401,57,4,867,22,92,120,52
402,176,1,324,11,37,90,33
403,183,4,163,4,106,120,34
404,46,1,1258,15,116,120,45
405,58,4,1075,48,83,120,78
406,284,2,455,26,31,90,48
407,17,2,798,18,119,150,55
408,290,2,1148,17,113,90,39
409,145,2,758,10,95,120,40
410,17,1,835,13,166,150,50
411,157,2,813,1,98,120,31
412,241,1,1195,16,91,90,38
413,300,3,645,10,89,60,25
414,97,4,967,0,32,60,15
415,80,1,378,9,75,150,46
416,147,2,290,11,105,120,41
417,44,3,119,17,31,150,54
418,206,4,1396,2,111,150,39
419,153,2,1247,14,110,90,36
420,58,2,280,0,58,60,15
421,290,3,236,26,31,150,63
422,139,4,425,49,141,120,79
423,51,2,548,19,14,60,34
424,39,4,352,19,78,90,41
425,85,3,1424,27,126,90,49
426,43,4,1006,24,16,90,46
427,261,4,599,11,157,60,26
428,183,4,548,19,163,90,41
429,30,4,921,12,90,90,34
430,105,1,788,0,19,120,30
431,175,4,769,24,141,90,46
432,279,2,282,18,144,60,33
433,239,3,723,2,66,90,24
434,121,1,1099,48,29,150,85
435,50,1,1401,23,90,120,53
436,64,3,460,58,92,150,95
437,8,2,59,29,104,90,51
438,261,2,508,39,162,90,61
439,74,3,1102,27,18,90,49
440,102,1,71,21,180,60,36
441,222,4,694,14,74,150,51
442,247,3,166,15,116,90,37
443,75,1,188,27,74,60,42
444,225,3,11,29,156,120,59
445,298,4,178,26,19,60,41
446,290,4,1371,1,10,90,23
447,95,4,215,14,53,90,36
448,214,1,181,18,112,150,55
449,211,2,213,30,87,90,52
450,263,2,1106,39,72,150,76
451,158,1,420,27,152,90,49
452,109,2,155,20,56,60,35
453,66,2,472,13,15,120,43
454,96,3,1288,13,61,150,50
455,109,1,829,7,47,150,44
456,62,3,1296,17,61,60,32
457,96,4,268,5,175,90,27
458,214,3,367,1,101,150,38
459,141,3,24,20,28,60,35
460,170,3,732,27,59,150,64
461,300,1,671,6,64,60,21
462,178,2,1047,35,108,120,65
463,255,2,822,26,58,90,48
464,11,1,316,7,157,90,29
465,7,1,1177,12,96,90,34
466,157,3,281,8,113,60,23
467,237,1,1008,3,129,120,33
468,226,3,352,25,60,60,40
469,245,2,1215,0,135,90,22
470,17,2,1252,10,157,90,32
471,80,2,413,7,10,60,22
472,172,3,571,37,167,90,59
473,119,4,1009,26,171,120,56
474,236,2,1153,42,109,150,79
475,165,2,433,32,48,90,54
476,251,4,414,22,66,120,52
477,131,3,853,28,150,150,65
478,13,2,908,18,57,150,55
479,145,2,482,41,58,60,50
480,87,4,1395,14,75,60,29
481,168,1,1133,36,177,90,58
482,196,1,1,10,122,150,47
483,267,3,635,19,121,120,49
484,61,1,1282,8,65,120,38
485,13,3,1229,27,90,90,49
486,157,4,419,29,60,90,51
487,99,4,453,45,65,60,50
488,216,3,619,20,47,120,50
489,85,2,433,11,65,90,33
490,140,3,581,46,154,120,76
491,31,1,830,17,51,90,39
492,207,4,416,1,83,150,38
493,126,2,488,20,98,60,35
494,269,2,507,59,46,60,50
495,186,1,102,6,66,150,43
496,11,2,92,8,99,90,30
497,247,1,1306,0,24,150,37
498,212,2,1028,13,135,90,35
499,52,2,1062,12,159,150,49
500,79,4,331,7,11,120,37
501,213,1,833,3,126,90,25
502,149,4,638,20,148,90,42
503,242,3,920,28,132,90,50
504,144,2,902,11,26,90,33
505,216,4,861,20,164,60,35
506,165,4,323,13,172,120,43
507,259,3,599,40,65,150,77
508,90,1,504,35,117,90,57
509,202,2,617,11,150,150,48
510,256,4,158,28,170,120,58
511,196,4,1334,23,74,60,38
512,14,4,744,29,36,90,51
513,52,1,1384,15,68,60,30
514,217,3,1265,18,128,120,48
515,290,2,1208,26,12,60,41
516,204,4,654,6,17,150,43
517,41,1,276,2,42,120,32
518,23,2,753,14,154,150,51
519,55,3,857,15,101,120,45
520,262,4,94,7,34,90,29
521,99,3,76,7,54,90,29
522,193,4,596,27,156,120,57
523,67,4,1012,18,19,90,40
524,235,2,55,26,49,60,41
525,74,1,439,45,139,90,67
526,102,2,646,9,137,90,31
527,111,4,21,8,50,120,38
528,101,3,1138,31,44,120,61
529,67,3,811,12,20,150,49
530,174,4,1438,9,111,120,39
531,293,4,1192,21,179,90,43
532,9,1,1165,48,55,90,70
533,49,4,107,8,120,120,38
534,159,3,578,52,53,60,50
535,160,2,1252,8,141,120,38
536,261,4,540,57,93,90,79
537,273,4,210,16,127,150,53
538,148,2,1142,54,40,90,76
539,282,4,173,3,30,60,18
540,228,1,1277,7,125,150,44
541,275,1,1231,22,49,90,44
542,285,2,108,15,54,120,45
543,113,3,165,17,34,60,32
544,238,4,1175,47,112,150,84
545,180,1,252,16,123,60,31
546,96,1,573,10,163,150,47
547,258,4,1116,39,75,60,50
548,115,4,805,28,60,90,50
549,236,2,329,30,22,60,45
550,23,4,550,33,27,90,55
551,34,3,958,8,110,150,45
552,126,3,357,15,96,120,45
553,295,1,1228,20,71,120,50
554,231,1,25,14,155,60,29
555,273,3,1388,16,141,150,53
556,113,4,464,57,168,120,87
557,272,3,727,1,38,90,23
558,228,2,991,24,139,90,46
559,221,4,846,14,40,60,29
560,264,4,158,21,30,60,36
561,169,1,1076,33,115,90,55
562,71,4,1051,12,16,60,27
563,218,2,1403,20,69,150,57
564,78,1,210,18,175,60,33
565,182,1,1327,13,179,150,50
566,126,1,97,23,162,90,45
567,255,4,1217,23,23,120,53
568,67,1,1309,18,159,90,40
569,43,3,1349,0,59,60,15
570,78,2,205,20,111,60,35
571,197,4,1010,16,80,120,46
572,255,2,383,19,170,120,49
573,227,1,29,7,170,90,29
574,175,2,622,23,35,60,38
575,244,3,1102,49,37,150,86
576,296,3,191,0,168,60,15
577,8,2,802,18,64,60,33
578,133,4,520,59,13,120,89
579,191,2,210,5,44,90,27
580,40,1,782,2,178,150,39
581,249,4,764,6,117,60,21
582,157,4,381,30,168,90,52
583,293,4,798,19,26,60,34
584,170,4,1058,52,113,90,74
585,92,2,611,20,153,60,35
586,45,3,1361,29,54,90,51
587,98,3,565,32,171,120,62
588,265,2,8,2,135,90,24
589,88,3,989,23,179,150,60
590,53,3,533,43,28,90,65
591,251,4,1072,58,115,120,88
592,141,2,673,27,163,60,42
593,200,1,1156,55,140,120,85
594,75,4,455,31,14,90,53
595,27,1,1256,5,15,90,27
596,186,3,396,2,77,90,24
597,273,4,218,5,171,90,27
598,85,3,483,57,37,150,94
599,57,2,498,25,172,90,47
600,300,1,421,55,152,120,85
601,166,4,1333,4,140,60,19
602,83,3,150,19,169,60,34
603,129,1,1119,40,25,150,77
604,250,4,284,4,119,120,34
605,23,2,511,35,79,150,72
606,277,3,980,3,105,150,40
607,57,4,1401,21,47,60,36
608,77,4,1266,1,148,90,23
609,191,3,1098,31,149,120,61
610,141,4,1003,2,83,150,39
611,182,1,887,17,174,60,32
612,173,1,345,30,175,90,52
613,109,1,1322,2,155,60,17
614,44,4,966,14,25,150,51
615,187,4,1142,46,42,150,83
616,39,4,585,19,104,90,41
617,292,1,966,29,139,90,51
618,94,4,560,30,141,120,60
619,193,4,963,6,92,150,43
620,36,1,212,15,56,120,45
621,101,4,89,7,34,150,44
622,56,1,1174,12,54,150,49
623,71,1,1124,53,111,150,90
624,91,4,647,28,10,60,43
625,182,3,518,58,166,120,88
626,247,1,462,21,172,90,43
627,84,1,98,0,104,60,15
628,94,4,864,17,170,90,39
629,131,3,935,30,15,120,60
630,37,1,816,27,152,90,49
631,72,1,283,18,105,90,40
632,258,3,1433,28,74,120,58
633,76,3,960,29,153,90,51
634,116,3,672,14,146,120,44
635,182,3,139,14,119,150,51
636,196,3,522,27,142,60,42
637,240,1,802,11,168,90,33
638,96,3,148,5,81,90,27
639,207,3,146,11,17,60,26
640,194,2,274,26,81,90,48
641,194,3,1324,25,89,150,62
642,119,2,435,51,32,120,81
643,102,4,944,30,69,60,45
644,239,3,3,14,146,120,44
645,292,3,1135,31,166,90,53
646,150,2,1360,0,161,150,37
647,177,4,779,21,117,120,51
648,163,4,744,8,74,120,38
649,27,2,139,15,45,90,37
650,118,4,512,50,136,150,87
651,259,2,911,22,119,120,52
652,1,1,43,10,10,150,47
653,21,4,542,25,105,150,62
654,217,3,583,13,46,150,50
655,130,1,1051,26,132,120,56
656,197,2,785,26,71,150,63
657,263,4,487,37,64,90,59
658,8,2,1289,16,58,90,38
659,47,1,1274,9,106,90,31
660,283,4,917,29,43,60,44
661,197,3,1071,43,164,90,65
662,248,3,5,23,30,90,45
663,209,3,139,0,172,150,37
664,222,3,1028,27,79,90,49
665,49,4,563,53,65,90,75
666,198,2,729,5,166,60,20
667,50,1,860,19,89,60,34
668,80,4,715,21,135,120,51
669,195,2,953,17,128,150,54
670,101,3,233,29,96,150,66
671,294,1,665,3,58,60,18
672,218,1,452,35,53,120,65
673,233,4,39,15,150,60,30
674,109,4,967,17,93,120,47
675,116,1,123,12,25,120,42
676,227,2,191,2,148,90,24
677,269,3,536,10,175,60,25
678,7,4,113,10,54,120,40
679,198,2,80,17,136,150,54
680,296,3,469,49,21,120,79
681,59,4,940,14,53,120,44
682,115,3,489,16,52,60,31
683,97,2,940,26,102,120,56
684,162,1,1275,13,121,90,35
685,116,3,694,17,132,90,39
686,203,3,918,7,130,60,22
687,232,3,227,15,70,90,37
688,45,1,977,13,128,150,50
689,32,4,49,20,87,90,42
690,246,3,897,9,63,120,39
691,241,3,1088,20,141,90,42
692,227,1,1308,8,167,120,38
693,111,4,478,33,66,90,55
694,73,1,791,26,150,120,56
695,56,1,613,14,88,120,44
696,246,2,442,57,144,150,94
697,245,4,702,8,89,150,45
698,243,1,84,25,97,90,47
699,265,2,179,6,142,120,36
700,176,3,1052,19,85,120,49
701,8,1,1149,37,72,90,59
702,11,4,652,11,54,60,26
703,156,2,1079,27,152,150,64
704,181,1,1218,20,31,90,42
705,178,1,701,18,179,60,33
706,96,3,600,40,149,60,50
707,143,1,732,18,162,150,55
708,224,3,1305,21,144,150,58
709,27,4,479,14,154,90,36
710,35,1,814,26,95,150,63
711,172,2,1426,28,138,60,43
712,115,1,390,1,125,150,38
713,10,3,429,56,25,60,50
714,27,1,1079,32,160,90,54
715,45,4,44,29,28,90,51
716,163,2,367,14,26,120,44
717,165,1,104,7,45,90,29
718,195,4,1010,23,118,150,60
719,19,3,1224,2,60,60,17
720,71,4,135,16,36,120,46
721,214,3,548,51,59,120,81
722,235,4,592,31,87,120,61
723,191,2,920,26,24,120,56
724,149,3,1019,22,21,90,44
725,232,2,1157,12,172,60,27
726,278,1,1019,5,14,60,20
727,20,1,1035,47,87,150,84
728,229,3,1082,33,128,150,70
729,152,3,1326,22,178,60,37
730,73,4,192,22,159,90,44
731,213,2,686,16,137,120,46
732,64,4,1279,17,148,60,32
733,291,4,239,29,62,90,51
734,38,3,1045,58,117,90,80
735,284,4,743,8,12,150,45
736,58,3,526,14,141,150,51
737,200,3,838,2,79,90,24
738,77,4,407,6,121,150,43
739,195,1,1174,31,51,150,68
740,177,2,658,0,26,60,15
741,142,4,437,57,28,60,50
742,262,1,568,32,35,120,62
743,150,3,1410,18,43,150,55
744,69,3,591,12,75,60,27
745,87,1,128,7,110,60,22
746,240,3,265,14,99,120,44
747,139,4,1154,58,85,150,95
748,24,1,923,29,149,90,51
749,191,3,1269,12,145,150,49
750,128,1,527,10,42,150,47
751,83,2,358,29,142,90,51
752,67,2,765,3,175,90,25
753,277,3,93,9,111,150,46
754,223,4,194,3,103,120,33
755,98,3,838,14,68,150,51
756,262,4,1202,20,55,150,57
757,274,1,676,18,12,150,55
758,29,1,828,15,69,150,52
759,48,1,1262,24,75,60,39
760,114,4,526,33,139,120,63
761,184,2,501,52,151,150,89
762,179,1,1212,15,113,60,30
763,180,4,515,49,20,60,50
764,123,2,1257,9,165,90,31
765,191,3,1397,22,64,150,59
766,258,1,397,14,131,120,44
767,96,3,170,29,44,120,59
768,21,2,1409,9,98,90,31
769,203,4,1292,12,91,90,34
770,35,1,425,22,13,90,44
771,14,4,882,9,63,120,39
772,96,1,543,15,119,90,37
773,12,1,717,15,34,90,37
774,171,3,1065,20,143,60,35
775,181,1,1198,59,148,60,50
776,28,2,6,13,121,60,28
777,245,2,181,7,83,90,29
778,241,3,260,22,30,150,59
779,174,1,41,3,74,60,18
780,188,3,308,23,50,120,53
781,151,4,710,25,54,90,47
782,272,3,118,18,164,150,55
783,33,1,381,1,67,150,38
784,40,1,1061,20,161,150,57
785,174,3,949,16,26,120,46
786,120,4,565,18,173,120,48
787,21,2,51,7,83,120,37
788,82,4,852,10,106,120,40
789,245,1,825,16,108,60,31
790,211,2,695,9,101,60,24
791,195,3,1126,50,114,150,87
792,114,1,268,28,132,120,58
793,36,2,727,13,67,150,50
794,22,1,981,28,67,120,58
795,197,1,220,27,122,150,64
796,179,3,1198,58,168,120,88
797,32,4,200,15,125,150,52
798,256,3,1153,44,171,90,66
799,74,3,413,0,90,60,15
800,158,3,807,12,31,60,27
801,137,1,657,23,160,90,45
802,78,2,620,30,25,120,60
803,189,4,1214,7,24,150,44
804,12,2,822,20,59,150,57
805,93,2,648,21,146,90,43
806,293,4,688,11,25,90,33
807,223,2,1172,44,120,150,81
808,101,1,356,10,138,150,47
809,215,3,1348,15,71,90,37
810,231,3,1278,24,158,90,46
811,39,2,955,28,73,150,65
812,125,4,0,29,103,60,44
813,8,2,187,17,178,120,47
814,29,3,1103,12,129,150,49
815,113,4,1120,33,23,90,55
816,81,4,173,1,52,120,31
817,290,4,1048,43,52,60,50
818,178,4,1031,60,171,120,90
819,21,4,871,10,141,90,32
820,172,2,360,29,87,150,66
821,190,4,501,55,97,90,77
822,25,2,1064,39,168,60,50
823,128,2,205,0,164,60,15
824,74,1,325,26,171,120,56
825,205,3,1125,43,117,120,73
826,281,1,1437,27,36,60,42
827,50,2,1117,12,145,60,27
828,97,3,1123,34,25,60,49
829,249,1,718,16,173,90,38
830,94,1,657,27,42,150,64
831,211,2,1058,23,163,60,38
832,8,1,52,24,58,60,39
833,231,1,6,13,65,90,35
834,49,1,629,27,83,150,64
835,115,3,163,30,107,150,67
836,173,4,974,8,62,120,38
837,235,1,1251,29,163,90,51
838,197,4,182,16,72,120,46
839,89,4,818,16,152,150,53
840,212,1,569,18,77,90,40
841,107,2,843,3,170,120,33
842,20,2,1119,54,85,60,50
843,91,4,1322,23,47,90,45
844,182,1,542,18,69,90,40
845,221,2,1002,4,148,150,41
846,295,1,436,51,174,90,73
847,7,1,281,12,73,150,49
848,233,4,312,15,64,150,52
849,294,3,836,4,138,90,26
850,145,2,1336,22,86,120,52
851,272,4,1035,26,46,120,56
