segment_id,pipe_id,from_node,to_node,length_m,diameter_mm,flow_lps,pressure_bar
555,890,189,485,71,100,59.83,2.18
556,1989,91,418,1897,250,6.14,3.8
557,986,290,298,770,100,81.18,4.54
558,271,424,69,764,200,8.62,2.48
559,1493,126,386,2619,400,104.55,2.91
560,1871,76,352,2955,300,130.49,4.64
561,1107,439,460,599,200,116.64,1.81
562,446,453,75,148,300,74.48,4.75
563,1217,289,149,1282,200,103.49,4.75
564,1127,409,45,2321,300,128.42,5.3
565,639,461,215,109,200,130.57,4.56
566,487,11,58,770,400,100.25,5.27
567,551,153,213,924,200,150.28,4.3
568,1265,136,221,767,100,144.87,5.13
569,946,52,48,439,400,7.04,2.41
570,1543,316,257,1082,400,58.51,5.08
571,408,197,98,1071,150,52.51,4.92
572,1838,464,3,1016,300,192.43,4.44
573,440,451,85,1925,200,98.15,1.57
574,198,61,257,2042,150,102.99,3.95
575,1892,437,377,1088,300,59.43,4.53
576,507,7,251,1974,100,30.86,4.15
577,903,238,100,561,300,8.39,3.48
578,678,432,418,2061,150,4.47,2.0
579,1362,271,389,962,400,51.29,4.44
580,646,336,271,2314,200,139.47,2.63
581,1084,171,38,1027,200,80.53,2.79
582,575,452,482,1162,400,96.8,1.28
583,16,411,311,58,250,56.02,3.96
584,1089,426,37,204,150,63.08,5.04
585,910,490,464,2641,200,74.54,2.25
586,830,201,411,1957,100,72.54,1.86
587,1012,460,263,2528,150,161.73,3.35
588,1688,189,45,2121,150,176.83,3.23
589,415,209,400,1421,250,42.12,2.11
590,792,294,336,989,250,148.21,3.87
591,241,133,1,154,400,27.37,2.87
592,717,165,384,1908,150,109.19,2.08
593,524,19,310,839,250,107.31,1.87
594,1452,150,220,1112,100,131.53,2.78
595,119,32,399,2742,250,125.35,2.41
596,448,28,380,174,300,11.13,1.48
597,1312,362,491,2489,300,136.39,1.19
598,1639,89,248,1270,150,160.89,1.74
599,1661,115,99,35,150,14.27,3.5
600,1569,318,149,2490,300,73.09,4.37
601,337,366,394,2929,250,37.78,4.8
602,1403,367,255,2300,250,3.74,4.31
603,1951,361,457,848,400,119.23,1.27
604,143,127,117,1046,250,9.53,3.92
605,1271,353,190,2803,100,115.65,3.79
606,223,91,384,2084,250,101.46,4.47
607,461,444,93,2455,150,25.94,3.16
608,1316,122,393,1160,250,77.78,5.67
609,1717,13,282,2402,200,94.82,3.23
610,1665,153,287,1693,150,13.35,3.98
611,865,449,374,279,400,49.3,3.79
612,349,251,425,791,100,66.14,2.97
613,1325,397,34,2585,100,87.51,1.47
614,994,17,2,721,200,55.27,5.57
615,835,183,60,2273,250,7.39,5.39
616,1937,159,193,2367,300,161.98,1.97
617,1316,475,463,1998,100,75.07,1.39
618,110,486,230,1206,250,121.37,4.6
619,1377,138,451,882,400,131.73,5.17
620,1779,70,92,236,100,133.39,5.02
621,1646,476,463,2659,200,144.68,1.7
622,1656,390,238,1562,100,82.55,4.1
623,1004,121,86,2065,150,123.66,2.25
624,638,259,456,612,250,63.92,4.87
625,1312,346,311,792,100,182.83,5.75
626,1838,258,161,2833,250,181.37,2.96
627,888,342,497,947,250,35.01,4.97
628,38,494,164,263,100,102.7,4.68
629,356,475,393,104,250,4.4,3.49
630,1845,418,282,369,250,163.56,3.9
631,1385,237,409,368,200,76.44,5.52
632,1745,147,444,1759,150,177.15,2.34
633,1307,217,357,2613,200,140.15,2.96
634,318,121,236,920,250,55.07,2.43
635,1594,234,318,479,100,155.64,3.13
636,1786,241,97,2363,400,81.32,1.75
637,465,232,73,1056,400,90.57,3.32
638,403,322,346,252,150,121.97,5.34
639,1153,341,417,2435,100,115.63,0.85
640,1548,41,192,1842,150,85.34,4.83
641,1918,482,228,2379,100,111.92,4.64
642,1318,262,50,698,250,144.56,4.69
643,1793,20,429,1701,400,59.79,1.73
644,1540,65,10,753,200,109.51,2.46
645,776,173,332,1131,200,188.53,2.04
646,1980,307,116,1752,200,77.89,2.81
647,1486,143,269,1529,250,7.89,4.04
648,382,234,404,1858,100,160.75,4.28
649,1729,81,284,1235,300,66.71,4.62
650,1986,247,388,1070,200,126.84,1.6
651,1121,480,61,1909,200,58.25,1.1
652,626,7,127,1983,200,173.52,4.15
653,1036,156,295,2699,200,47.72,1.88
654,538,99,464,1055,200,38.0,5.57
655,1468,439,208,207,250,138.17,4.44
656,506,266,386,2578,400,31.64,3.31
657,676,125,476,479,100,193.96,2.58
